ID Number,xx speckey,xx Scientific Name
CMNPYM09078,1135329,xxPenstemon calycosus
CMNPYM03189,1135333,xxPenstemon procerus
CMNPYM12845,1136077,xxNeslia paniculata
CMNPYM03919,1135242,xxCastilleja elegans
CMNPYM03185,1135244,xxCastilleja occidentalis
CMNPYM03390,1135245,xxCastilleja pallida
CMNPYM14230,1135250,xxCymbalaria muralis
CMNPYM09047,1137450,xxAndrosace filiformis
CMNPYM03359,1137462,xxPrimula incana
CMNPYM03844,1133037,xxLinnaea borealis
CMNPYM00662,1133037,xxLinnaea borealis
CMNPYM02334,1133037,xxLinnaea borealis
CMNPYM03237,1133043,xxLonicera utahensis
CMNPYM00800,1133045,xxSymphoricarpos albus
CMNPYM00660,1133046,xxSymphoricarpos occidentalis
CMNPYM04677,1134056,xxNymphoides peltata
CMNPYM03309,1134070,xxCollomia linearis
CMNPYM00756,1134078,xxPhlox divaricata
CMNPYM03372,1134079,xxPhlox hoodii
CMNPYM01553,1134080,xxPhlox paniculata
CMNPYM00492,1134081,xxPhlox pilosa
CMNPYM03393,1134083,xxPolemonium acutiflorum
CMNPYM03874,1134083,xxPolemonium acutiflorum
CMNPYM01527,1136043,xxEutrema edwardsii
CMNPYM03931,1136043,xxEutrema edwardsii
CMNPYM03280,1134085,xxPolemonium pulcherrimum
CMNPYM03365,1134085,xxPolemonium pulcherrimum
CMNPYM00103,1132706,xxHymenoxys odorata
CMNPYM04249,1137016,xxMalva alcea
CMNPYM00596,1137019,xxMalva moschata
CMNPYM00527,1137019,xxMalva moschata
CMNPYM03120,1137019,xxMalva moschata
CMNPYM07649,1137020,xxMalva neglecta
CMNPYM10385,1137022,xxMalva parviflora
CMNPYM04199,1137027,xxMalvaviscus arboreus
CMNPYM12441,1137494,xxSalix candida
CMNPYM01904,1137495,xxSalix caroliniana
CMNPYM01891,1137497,xxSalix commutata
CMNPYM12440,1137498,xxSalix cordata
CMNPYM04519,1137499,xxSalix daphnoides
CMNPYM00631,1137501,xxSalix eriocephala
CMNPYM01581,1137505,xxSalix herbacea
CMNPYM01892,1137506,xxSalix hookeriana
CMNPYM14408,1137507,xxSalix humboldtiana
CMNPYM00621,1137508,xxSalix humilis
CMNPYM10832,1137512,xxSalix laevigata
CMNPYM01893,1137516,xxSalix lasiolepis
CMNPYM00619,1137517,xxSalix lucida
CMNPYM00606,1137517,xxSalix lucida
CMNPYM01905,1137517,xxSalix lucida
CMNPYM01894,1137518,xxSalix lutea
CMNPYM01580,1137519,xxSalix myricoides
CMNPYM00121,1132737,xxThelesperma megapotamicum
CMNPYM10942,1133472,xxCentaurium pulchellum
CMNPYM13455,1135438,xxAmaranthus hybridus
CMNPYM03286,1135440,xxAmaranthus retroflexus
CMNPYM11593,1135440,xxAmaranthus retroflexus
CMNPYM09130,1135442,xxAmaranthus spinosus
CMNPYM04101,1137879,xxHelianthemum canadense
CMNPYM04103,1137882,xxHelianthemum corymbosum
CMNPYM01509,1136533,xxCassiope tetragona
CMNPYM03863,1136533,xxCassiope tetragona
CMNPYM02925,1133051,xxViburnum dentatum
CMNPYM08758,1133051,xxViburnum dentatum
CMNPYM01600,1133052,xxViburnum edule
CMNPYM08759,1133054,xxViburnum nudum
CMNPYM00379,1136547,xxGaylussacia baccata
CMNPYM08714,1136547,xxGaylussacia baccata
CMNPYM00969,1136549,xxKalmia angustifolia
CMNPYM00364,1136549,xxKalmia angustifolia
CMNPYM10910,1136549,xxKalmia angustifolia
CMNPYM00403,1135100,xxUtricularia intermedia
CMNPYM03277,1135756,xxClaytonia sarmentosa
CMNPYM03941,1135758,xxMontia fontana
CMNPYM11993,1135764,xxTalinum triangulare
CMNPYM10911,1136558,xxLedum palustre
CMNPYM08717,1136568,xxMenziesia ferruginea
CMNPYM01890,1137490,xxSalix barclayi
CMNPYM00625,1137491,xxSalix bebbiana
CMNPYM02341,1137491,xxSalix bebbiana
CMNPYM01899,1137492,xxSalix bonplandiana
CMNPYM01578,1137493,xxSalix brachycarpa
CMNPYM11554,1133067,xxKnautia arvensis
CMNPYM12327,1133802,xxCallitriche heterophylla
