ID Number,id,mkey,part_measured,measurement_type,imperial,dimension1,unit1,dimension2,unit2,dimension3,unit3,dimension4,unit4,weight1,wunit1,weight2,wunit2,cdimension1,cunit1,cdimension2,cunit2,cdimension3,cunit3,cdimension4,cunit4,cweight1,cwunit1,cweight2,cwunit2,display,note,prior_attribution
JgMf-0016:000001,42748,733421,Length x Width x Thickness,,false,42.0,mm,22.0,mm,4.0,mm,,,,,,,"1,65354",in,",86614",in,",15748",in,,,,,,,Length x Width x Thickness: 42 mm x 22 mm x 4 mm,,false,,,,,,,
JgMf-0017:000001,42749,733422,Length of Shank x Width across Points x Gap between Points and Shank,,false,85.0,mm,46.0,mm,4.0,mm,,,,,,,"3,34646",in,"1,81102",in,",15748",in,,,,,,,Length of Shank x Width across Points x Gap between Points and Shank: 85 mm x 46 mm x 4 mm,,false,,,,,,,
LhNr-0008:000001,42757,735908,Length x Width x Height,,false,47.49,mm,11.9,mm,11.9,mm,,,,,,,"1,86969",in,",4685",in,",4685",in,,,,,,,Length x Width x Height: 47.49 mm x 11.9 mm x 11.9 mm,,false,,,,,,,
LhNr-0009:000001,42758,735976,Length x Width x Thickness,,false,165.8,mm,89.92,mm,11.93,mm,,,,,,,"6,52756",in,"3,54016",in,",46969",in,,,,,,,Length x Width x Thickness: 165.8 mm x 89.92 mm x 11.93 mm,,false,,,,,,,
LhNr-0009:000002,42759,736046,Length x Width x Thickness,,false,238.1,mm,122.37,mm,12.35,mm,,,,,,,"9,37402",in,"4,81772",in,",48622",in,,,,,,,Length x Width x Thickness: 238.1 mm x 122.37 mm x 12.35 mm,,false,,,,,,,
LhNr-0009:000003,42760,736048,Length x Width x Thickness,,false,17.9,mm,84.99,mm,12.01,mm,,,,,,,",70472",in,"3,34606",in,",47283",in,,,,,,,Length x Width x Thickness: 17.9 mm x 84.99 mm x 12.01 mm,,false,,,,,,,
LhNr-0009:000004,42761,736053,Length x Width x Thickness,,false,17.6,mm,62.27,mm,12.68,mm,,,,,,,",69291",in,"2,45157",in,",49921",in,,,,,,,Length x Width x Thickness: 17.6 mm x 62.27 mm x 12.68 mm,,false,,,,,,,
LhNr-0009:000005,42762,736055,Length x Width x Thickness,,false,114.33,mm,69.25,mm,8.79,mm,,,,,,,"4,50118",in,"2,72638",in,",34606",in,,,,,,,Length x Width x Thickness: 114.33 mm x 69.25 mm x 8.79 mm,,false,,,,,,,
LhNr-0009:000006,42763,736059,Length x Width x Thickness,,false,142.03,mm,88.2,mm,15.78,mm,,,,,,,"5,59173",in,"3,47244",in,",62126",in,,,,,,,Length x Width x Thickness: 142.03 mm x 88.2 mm x 15.78 mm,,false,,,,,,,
LhNr-0009:000007,42764,736061,Length x Width x Thickness,,false,36.29,mm,22.85,mm,14.13,mm,,,,,,,"1,42874",in,",89961",in,",5563",in,,,,,,,Length x Width x Thickness: 36.29 mm x 22.85 mm x 14.13 mm,,false,,,,,,,
LhNr-0010:000001,42765,736065,Length x Width x Thickness,,false,20.51,mm,13.17,mm,2.86,mm,,,,,,,",80748",in,",5185",in,",1126",in,,,,,,,Length x Width x Thickness: 20.51 mm x 13.17 mm x 2.86 mm,,false,,,,,,,
KdLh-0011:000085,42778,737877,,weight,false,,,,,,,,,59.01,g,,,,,,,,,,,2.08153,oz,,,"59,01 g",,false,,,,,,,
KdLh-0011:000086,42779,737878,,weight,false,,,,,,,,,13.34,g,,,,,,,,,,,0.47056,oz,,,"13,34 g",,false,,,,,,,
KdLh-0011:000087,42780,737879,,weight,false,,,,,,,,,52.41,g,,,,,,,,,,,1.84872,oz,,,"52,41 g",,false,,,,,,,
KdLh-0011:000088,42781,737880,,weight,false,,,,,,,,,3.17,g,,,,,,,,,,,0.11182,oz,,,"3,17 g",,false,,,,,,,
KdLh-0011:000090,42782,737881,,weight,false,,,,,,,,,252.4,g,,,,,,,,,,,8.90319,oz,,,"252,4 g",,false,,,,,,,
LcLh-0023:000004,42785,738092,,weight,false,,,,,,,,,3.7,g,,,,,,,,,,,0.13051,oz,,,"3,7 g",,false,,,,,,,
LcLh-0023:000001,42786,738089,,weight,false,,,,,,,,,13.4,g,,,,,,,,,,,0.47267,oz,,,"13,4 g",,false,,,,,,,
LcLh-0023:000002,42787,738090,,weight,false,,,,,,,,,40.0,g,,,,,,,,,,,1.41097,oz,,,40 g,,false,,,,,,,
LcLh-0023:000003,42788,738091,,weight,false,,,,,,,,,3.9,g,,,,,,,,,,,0.13757,oz,,,"3,9 g",,false,,,,,,,
