186057,1174573,Phobosuchus,synonym,,"Colbert & Bird, 1954",,,,,false,,
188335,1176628,Triceratops albertensis,synonym,,"Sternberg, 1949",,,,,false,,
190116,1178001,Monoclonius lowei,synonym,,"Sternberg, 1940",,,,,false,,
192587,1051389,Esox lacustris,,,Bernard Lebeau,1993,,,,false,,
192658,1173334,Platecarpus coryphaeus,synonym,,"Cope, 1872",,,,,true,,
207664,1160020,Vasula,,,"Vermeij, G.J.",2001,,,,false,,
207668,1157185,Carychium exile canadense,synonym,,Nekola & Barthel,2002,,"""Thus, the division of C. exile into distinct subspecies does not appear warranted.""","Clapp, 1906",true,,
208422,1183464,Prenocephale,,,"Maryanska & Osmolska, 1974",,,,,false,,
210111,1185083,Sparactolambda,synonym,,"Patterson, 1939",,,,,false,,
210113,1185085,Sparactolambda looki,,,"Patterson, 1939",,,,,false,,
210761,1174245,Vagaceratops irvinensis,,,"Sampson, Loewen, Farke et al",2010-09,,,,false,,
211399,1169883,Ophiodeirus,synonym,,"Broom, 1913",,,,,false,,
211400,1170852,Stypolophus,synonym,,"Cope, 1872",,,,,false,,
211401,1170852,Triacodon,synonym,,"Marsh, 1871",,,,,false,,
211410,1170885,Didymictis curtidens,synonym,,"Cope, 1882",,,,,false,,
211413,1170742,Macrotherium,synonym,,"Lartet, 1837",,,,,false,,
211421,1170279,Claenodon,synonym,,"Scott, 1892",,,,,false,,
211423,1170289,Gujaratia,synonym,,Bajpai et al. 2005,,,,,false,,
211446,1170737,Pseudoprotoceras semicinctus,synonym,,"Cope, 1889",,,,,false,,
211451,1169399,Platyspondylus,synonym,,"Haug, 1905",,,,,false,,
211459,1167109,Champsosaurus natator,synonym,,"Parks, 1933",,,,,false,,
211460,1167109,Champsosaurus brevicollis,synonym,,"Cope, 1876",,,,,false,,
211463,1166080,Caenagnathus,synonym,,"Sternberg, 1932",,,,,false,,
211464,1169517,Enneles,synonym,,"Jordan & Branner, 1908",,,,,false,,
211482,1172437,Blastomeryx gemmifer,synonym,,"Cope, 1874",,,,,false,,
211490,1174516,Eobrachyopidae,synonym,,"Shishkin, 1964",,,,,false,,
211491,1174517,Dendrerpeton oweni,synonym,,"Dawson, 1863",,,,,false,,
211492,1174012,Therizinosauridae,synonym,,"Maleev, 1954",,,,,false,,
211499,1173332,Polycotylus osborni,synonym,,"Watson, 1951",,,,,false,,
211500,1173332,Trinacromerum osborni,synonym,,"Williston, 1908",,,,,false,,
211501,1173334,Platecarpus tympaniticus,synonym,,"Cope, 1869",,,,,false,,
211502,1173334,Platecarpus latifrons,synonym,,"Marsh, 1872",,,,,false,,
211506,1172770,Cervalces latifrons,,,"Johnson, 1874",,,,,false,,
211510,1174143,Leptalestes krejcii,,,"Clemens, 1966",,,,,false,,
211521,1175001,Ctenochasma elegans,,,"Wagner, 1861",,,,,false,,
211522,1175001,Ctenochasma gracile,synonym,,"Oppel, 1862",,,,,false,,
211526,1173880,Desmatotherium intermedius,synonym,,"Osborn, 1878",,,,,false,,
211530,1173904,Harpalodon,synonym,,"Marsh, 1872",,,,,false,,
211531,1173906,Platychoerops daubrei,alternative combination,,"Lemoine, 1880",,,,,false,,
211533,1173908,Cantius frugivorus,synonym,,"Cope, 1875",,,,,false,,
211541,1152878,Diphyodus,alternative combination,,"Lambe, 1902",,,,,false,,
211542,1170057,Peripristidae,synonym,,"Eastman, 1902",,,,,false,,
211544,1169620,Bayloria,synonym,,"Olson, 1941",,,,,false,,
211545,1169620,Ectocynodon,synonym,,"Cope, 1878",,,,,false,,
211547,1169624,Tetheodus,synonym,,"Cope, 1874",,,,,false,,
211548,1171015,Aftonius,synonym,,"Hay, 1913",,,,,false,,
211549,1171016,Euceratherium americanum,synonym,,"Gidley, 1913",,,,,false,,
211550,1172633,Chasmaporthetes ossifragus,synonym,,"Hay, 1921",,,,,false,,
211551,1170753,Megalagus turgidus,alternative combination,,"Cope, 1873",,,,,false,,
211552,1170753,Palaeolagus triplex,synonym,,"Cope, 1873",,,,,false,,
211553,1170753,Tricium paniense,synonym,,"Cope, 1873",,,,,false,,
211554,1170754,Archaeolagus striatus,synonym,,"Walker, 1931",,,,,false,,
211555,1170754,Palaeolagus agapetillus,synonym,,"Cope, 1873",,,,,false,,
211556,1170754,Protolagus affinus,synonym,,"Walker, 1931",,,,,false,,
211557,1170754,Tricium annae,synonym,,"Cope, 1873",,,,,false,,
211558,1170798,Zeuglodontinae,synonym,,"Slijper, 1936",,,,,false,,
