1143651,"Mimosoideae, Adenanthereae","1143652,1143653"
1143654,"Mimosoideae, Ingeae","1143655,1143656,1143657,1143658,1143659,1143660,1143661,1143662,1143663,1143664"
1143665,"Mimosoideae, Mimoseae","1143666,1143667"
1143668,"Mimosoideae, Parkieae","1143669,1143670"
1143928,"Papilionoideae, Dalbergieae","1143929,1143930,1143931,1143932,1143933,1143934,1143935,1143936,1143937"
1143938,"Papilionoideae, Fabeae",""
1143948,"Papilionoideae, Galegeae","1143952,1143953,1143954,1143955,1143956,1143957,1143958,1143959,1143960,1143961,1143962,1143963,1143964,1143965,1143966,1143967,1143968,1143969,1143970,1143971,1143972,1143973,1143976,1143978,1143979,1143980"
1143981,"Papilionoideae, Genisteae","1143982,1143983,1143984,1143985"
1143986,"Papilionoideae, Hedysareae",1143992
1143994,"Papilionoideae, Loteae","1143995,1143996"
1143997,"Papilionoideae, Phaseoleae","1143998,1143999,1144000,1144001,1144002,1144004,1144003,1144005,1144006,1144007,1144008,1144010,1144011,1144012,1144013,1144014,1144015,1144016,1144009,1144017,1144038,1144039,1144040,1144041,1144042,1144043,1144044,1144045,1144046,1144047,1144048,1144049,1144050,1144051,1144052,1144053,1144054,1144056,1144057,1144058,1144059,1144060,1144061,1144062,1144064,1144065,1144066,1144067,1144069,1144070,1144071,1144072,1144073,1144023,1144024,1144025,1144026,1144028,1144029,1144030,1144031,1144032,1144033,1144035,1144018,1144019,1144020,1144021,1144036,1144037,1144075,1144076,1144077,1144078,1144079,1144081,1144082,1144083,1144084,1144085,1144087,1144088,1144089,1144090,1144080,1144086,1144022,1144027,1144034,1144055,1144063,1144068,1144074,1144131,1144146,1144154,1144132,1144091,1144128,1144129,1144130,1144092,1144093,1144094,1144095,1144096,1144097,1144098,1144099,1144100,1144101,1144102,1144103,1144104,1144105,1144107,1144108,1144109,1144110,1144111,1144112,1144114,1144115,1144116,1144117,1144118,1144120,1144121,1144122,1144123,1144124,1144125,1144127,1144106,1144113,1144119,1144126"
1144157,"Papilionoideae, Sophoreae","1144158,1144159,1144160,1144161,1144162"
1144163,"Papilionoideae, Trifolieae","1144166,1144167,1144168,1144169,1144170"
