speckey,xxScientific Name,Taxonomic System
1171064,xxAntennaria media subsp. compacta,Botany
1166932,xxTrimorpha acris var. kamtschatica,Botany
1166475,xxAntennaria compacta,Botany
1165891,xxArctophila tricopoda,Botany
1182116,xxCardamine pratensis subsp. polemonioides var. angustifolia,Botany
1174491,xxHieracium kalmii var. subintegrum,Botany
1175984,xxArnica lonchophylla subsp. lonchophylla,Botany
1172624,xxArabis boivinii,Botany
1171006,xxJuncus alpinoarticulatus subsp. nodulosus,Botany
1169806,xxAgropyron latiglume,Botany
1169028,xxNeobeckia aquatica,Botany
1170944,xxAndropogon capillipes,Botany
1179664,xxDraba incerta var. peasei,Botany
1010542,xxJungermannia exsertifolia var. pendletonii,Botany
1178928,xxPedicularis arctica,Botany
1009318,xxAnoectangium tenuinerve,Botany
1175687,xxJuncus pylaei,Botany
1010148,xxGrimmia pulvinata var. africana,Botany
1108487,xxVernonia fasciculata subsp. corymbosa,Botany
1107575,xxPrenanthes racemosa subsp. multiflora,Botany
1143490,xxGymnocladus dioica,Botany
1082414,xxMontia fontana subsp. variabilis,Botany
1096692,xxCatharanthus,Botany
1146505,xxEncalypta alpina,Botany
1135298,xxMimulus guttatus,Botany
1138020,xxCasearia arborea,Botany
1144756,xxComandra pallida,Botany
1108125,xxSolidago uliginosa var. terrae-novae,Botany
1131027,xxXyris indica,Botany
1133358,xxCalotropis,Botany
1137944,xxEchinocystis,Botany
1137953,xxFevillea cordifolia,Botany
1135970,xxBarbarea,Botany
1096595,xxLeiphaimos,Botany
1103888,xxAntennaria gaspensis,Botany
1086212,xxDraba glabella var. pycnosperma,Botany
1079809,xxCaltha leptosepala subsp. howellii,Botany
1087627,xxAndrosace chamaejasme subsp. chamaejasme var. arctica,Botany
1087634,xxAndrosace septentrionalis var. glandulosa,Botany
1087639,xxAndrosace septentrionalis var. subumbellata,Botany
1104104,xxArtemisia rupestris subsp. woodii,Botany
1085812,xxArabis lyrata var. glabra,Botany
1078190,xxAsplenium sintenisii,Botany
1089159,xxPotentilla concinna var. macounii,Botany
1085873,xxArabis sparsiflora var. subvillosa,Botany
1080599,xxCeltis occidentalis var. canina,Botany
1079726,xxAnemone multifida var. hudsoniana f. sanguinea,Botany
1009650,xxAnisothecium crispum,Botany
1193947,xxCephalozia extensa,Botany
1193977,xxCephalozia multiflora,Botany
1194060,xxSolenostoma gracillimum,Botany
1194086,xxChiloscyphus cuspidatus,Botany
1194360,xxSolenostoma rubrum,Botany
1187737,xxCalypogeia meylanii,Botany
1187541,xxCalamagrostis neglecta,Botany
1193994,xxCephaloziella starkei,Botany
1147579,xxPhanerophlebia,Botany
1192239,xxPohlia beringiense,Botany
1192243,xxCentaurium muehlenbergii,Botany
1193635,xxSolenostoma crenulatum,Botany
1133302,xxRhabdadenia,Botany
1187369,xxCarex ÌÑgardneri,Botany
1144312,xxLuetkea,Botany
1146720,xxCampylostelium,Botany
1146762,xxSphagnum sp.,Botany
1136025,xxDraba corrugata,Botany
1146616,xxMeesia longiseta,Botany
1147676,xxBolbitis,Botany
