speckey,xxScientific Name,Taxonomic System
1089252,xxPotentilla pensylvanica var. pectinata,Botany
1089255,xxPotentilla pensylvanica var. virgulata,Botany
1088034,xxChrysosplenium wrightii var. wrightii,Botany
1096490,xxChondrophylla,Botany
1096651,xxAmsonia hirtella,Botany
1095032,xxRhus aromatica var. arenaria,Botany
1095034,xxRhus aromatica var. serotina,Botany
1095052,xxRhus trilobata var. racemulosa,Botany
1094324,xxCeanothus americanus var. americanus,Botany
1100205,xxCallitriche verna,Botany
1103893,xxAntennaria manicouagana,Botany
1100305,xxPolypremum,Botany
1104196,xxSymphyotrichum dumosum var. strictior,Botany
1096571,xxGentianella tenella subsp. pribilofii,Botany
1096572,xxGentianella tenella subsp. tenella,Botany
1096729,xxPlumeria krugii,Botany
1105933,xxAgeratina altissima var. angustata,Botany
1106595,xxHieracium kalmii var. fasciculatum,Botany
1104620,xxBidens waianensis,Botany
1104658,xxBrachyactis,Botany
1104662,xxBradburia,Botany
1105319,xxDendranthema arcticum subsp. polare,Botany
1106070,xxGnaphalium norvegicum,Botany
1104511,xxBidens coronata,Botany
1104540,xxBidens frondosa f. anomala,Botany
1104007,xxArnica parryi subsp. sonnei,Botany
1103803,xxAgoseris gaspensis,Botany
1104078,xxArtemisia ludoviciana subsp. redolens,Botany
1104079,xxArtemisia ludoviciana subsp. sulcata,Botany
1104080,xxArtemisia macrobotrys,Botany
1104112,xxArtemisia tilesii subsp. elatior,Botany
1104113,xxArtemisia tilesii subsp. gormanii,Botany
1103873,xxAntennaria acuta,Botany
1104283,xxAster nahanniensis,Botany
1103977,xxArnica amplexicaulis,Botany
1103910,xxAntennaria petaloidea,Botany
1103960,xxArgyroxiphium forbesii,Botany
1111346,xxCalamovilfa Southworth,Botany
1110047,xxCarex raymondii,Botany
1111945,xxFestuca richardsonii,Botany
1111952,xxFestuca rubra var. mutica,Botany
1111954,xxFestuca rubra var. rubra f. prolifera,Botany
1110247,xxCladium jamaicense,Botany
1110248,xxCladium leptostachyum,Botany
1110411,xxCyperus strigosus var. capitatus,Botany
1110413,xxCyperus strigosus var. robustior,Botany
1110414,xxCyperus strigosus var. stenolepis,Botany
1110790,xxScirpus setaceus,Botany
1110795,xxScirpus tuberosus,Botany
1110161,xxCarex supergoodenoughii,Botany
1110867,xxAgrostis alaskana,Botany
1110868,xxAgrostis altissima,Botany
1110515,xxEriophorum angustifolium subsp. scabriusculum,Botany
1110744,xxScirpus californicus,Botany
1110751,xxScirpus cubensis,Botany
1110763,xxScirpus hallii,Botany
1111493,xxDeschampsia cespitosa subsp. cespitosa var. glauca,Botany
1111496,xxDeschampsia congestiformis,Botany
1110782,xxScirpus pumilus,Botany
1110785,xxScirpus robustus,Botany
1110854,xxAgropyron cristatum subsp. pectinatum,Botany
1111289,xxCalamagrostis californica,Botany
1111297,xxCalamagrostis crassiglumis,Botany
1111298,xxCalamagrostis densa,Botany
1111301,xxCalamagrostis fernaldii,Botany
1111306,xxCalamagrostis hyperborea,Botany
1111311,xxCalamagrostis labradorica,Botany
1111312,xxCalamagrostis lactea,Botany
1111470,xxDanthonia canadensis,Botany
1110888,xxAgrostis exarata var. monolepis,Botany
1110889,xxAgrostis exarata var. pacifica,Botany
1110542,xxEriophorum sorensenii,Botany
1111235,xxBromus inermis subsp. pumpellianus var. pumpellianus,Botany
1112777,xxPuccinellia distans subsp. borealis,Botany
1112785,xxPuccinellia interior,Botany
1110596,xxHemicarpha occidentalis,Botany
1110951,xxAlopecurus howellii,Botany
1111317,xxCalamagrostis lapponica var. sibirica,Botany
1111318,xxCalamagrostis laricina,Botany
1111319,xxCalamagrostis lepageana,Botany
1111326,xxCalamagrostis poluninii,Botany
1111336,xxCalamagrostis scribneri,Botany
1109491,xxCarex acutinella,Botany
1109386,xxJuncus subcaudatus var. planisepalus,Botany
1107576,xxPrenanthes racemosa subsp. racemosa,Botany
1109747,xxCarex gravida var. gravida,Botany
1109748,xxCarex gravida var. lunelliana,Botany
1109489,xxCarex x absconditiformis,Botany
1109764,xxCarex heleonastes subsp. heleonastes,Botany
1109765,xxCarex heleonastes subsp. neurochlaena,Botany
1110987,xxAndropogon spadiceus,Botany
1109516,xxCarex amplisquama,Botany
1109538,xxCarex arenicola,Botany
1108613,xxAlisma plantago-aquatica var. americana,Botany
1109554,xxCarex atrofusca var. atrofusca,Botany
1109555,xxCarex atrofusca var. major,Botany
1112589,xxPhleum pratense var. nodosum,Botany
1107974,xxSolidago bernardii,Botany
1108677,xxElodea longivaginata,Botany
1109565,xxCarex bayardii,Botany
1107791,xxSenecio congestus,Botany
1108367,xxThelesperma pubescens,Botany
1108370,xxThelesperma subnudum var. alpinum,Botany
1108371,xxThelesperma subnudum var. marginatum,Botany
1108122,xxSolidago uliginosa var. levipes,Botany
1108124,xxSolidago uliginosa var. peracuta,Botany
1109721,xxCarex franklinii,Botany
1131162,xxCynosurus,Botany
1131164,xxDactylis,Botany
1131171,xxDigitaria cf. filiformis,Botany
1131172,xxDigitaria sanquinalis,Botany
1131193,xxHierochloe,Botany
1131197,xxHordeum,Botany
1131213,xxLolium,Botany
1131536,xxNolina,Botany
1114342,xxSisyrinchium farwellii,Botany
1130210,xxArisaema,Botany
1131099,xxScleria,Botany
1131116,xxAgropyron,Botany
1131122,xxAira,Botany
1130224,xxCalla,Botany
1130259,xxLysichiton camtschatense,Botany
1131289,xxTrisetum,Botany
1131312,xxEriocaulon,Botany
1131355,xxJuncus,Botany
1130298,xxSymplocarpus,Botany
1130056,xxSagittaria engelmanniana,Botany
1130057,xxSagittaria graminea,Botany
1130062,xxSagittaria longirostra,Botany
1131133,xxAnthoxanthum,Botany
1112945,xxSpartina cynosuroides,Botany
1130097,xxTriglochin maritima,Botany
1130100,xxPotamogeton,Botany
1131145,xxBromus,Botany
1131148,xxCalamagrostis,Botany
1131150,xxCenchrus,Botany
1131155,xxCoix lacniuna-jobi,Botany
1112997,xxSporobolus tharpii,Botany
1113008,xxStipa californica,Botany
1113075,xxTorreyochloa pauciflora var. microtheca,Botany
1113528,xxAllium sibiricum,Botany
1114906,xxPlatanthera albida var. straminea,Botany
1132935,xxCampanula americana,Botany
1133653,xxSwertia perennis,Botany
1132695,xxHelenium,Botany
1132698,xxHelianthella,Botany
1137486,xxSalix amygdaloides,Botany
1135314,xxPedicularis arctica,Botany
1132700,xxHemizonia,Botany
1133637,xxSabatia kennedyana,Botany
1136512,xxArctostaphylos alpina,Botany
1135249,xxCymbalaria,Botany
1135086,xxPinguicula lutea,Botany
1137924,xxCoccinia grandis,Botany
1134077,xxPhlox,Botany
1135098,xxUtricularia foliosa,Botany
1136042,xxEutrema,Botany
1132705,xxHymenoxys,Botany
1137023,xxMalvastrum,Botany
1137028,xxMalvaviscus arboreus var. mexicanus,Botany
1137515,xxSalix lasiandra,Botany
1132734,xxTetraneuris,Botany
