Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Crustacea,CMNC 2003-1920,Gammaracanthus longirostris hudsonius,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 2003-1921,Gammaracanthus longirostris hudsonius,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 1981-0135,Gammaracanthus micros,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 1981-0140,Gammaracanthus curvirostris laticarinae,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 1981-0153,Gammaracanthus longicornis,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 2003-1906,Gammaracanthus longicornis,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 2003-1749,Gammaracanthus longicornis,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 2003-1944,Gammaracanthus brevidactylus ?,manuscript name,Gammaracanthus (Gammaracanthus) loricatus
Crustacea,CMNC 1981-0551,Nipponorchestia,scientific name,""
Crustacea,CMNC 1983-1694,Neopleustes pulchella,scientific name,Neopleustes pulchellus
Crustacea,CMNC 1983-1695,Neopleustes pulchella,scientific name,Neopleustes pulchellus
Crustacea,CMNC 2004-0338,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0339,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0340,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0342,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0343,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0344,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0345,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0346,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0347,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0086,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 2004-0087,Neopleustes pulchella,,Neopleustes pulchellus
Crustacea,CMNC 1984-1541,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1542,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1543,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1544,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1545,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1546,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-1547,Arctocyclopina pangonasta,scientific name,Arctocyclopina pagonasta
Crustacea,CMNC 1984-0155,Westwoodilla megalops caecula,previous name,Westwoodilla caecula
