Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Vascular Plant,CAN 534089,Hedysarum mackenzei,previous scientific name,Hedysarum boreale subsp. mackenziei
Vascular Plant,CAN 533694,Phleum nodosum L.,previous scientific name,Phleum pratense subsp. pratense
Vascular Plant,CAN 533708,Phleum nodosum L.,previous scientific name,Phleum pratense subsp. pratense
Vascular Plant,CAN 533734,Phleum nodosum L.,previous scientific name,Phleum pratense subsp. pratense
Vascular Plant,CAN 533765,Phleum nodosum L.,previous scientific name,Phleum pratense subsp. pratense
Vascular Plant,CAN 533701,Scleropoa rigida (L.) Griseb.,previous scientific name,Catapodium rigidum
Vascular Plant,CAN 533685,Scleropoa rigida (L.) Griseb.,previous scientific name,Catapodium rigidum
Vascular Plant,CAN 533726,Festuca loliacea Huds.,previous scientific name,Festulolium loliaceum
Vascular Plant,CAN 540047,Eubotrys racemosa,previous scientific name,Leucothoe racemosa
Vascular Plant,CAN 539173,Salix gooddingii Ball var. variabilis Ball,previous scientific name,Salix gooddingii
Vascular Plant,CAN 534522,Ranunculus reptans var. ovalis,previous name,Ranunculus flammula var. flammula
Vascular Plant,CAN 534537,Parthenocystis vitacea,previous scientific name,Parthenocissus inserta
Vascular Plant,CAN 536500,Bromus inermis var. arcticus,previous scientific name,Bromus pumpellianus
Vascular Plant,CAN 534031,Dodecatheon pauciflorum,previous scientific name,Dodecatheon pulchellum subsp. pauciflorum
Vascular Plant,CAN 264099,Dodecatheon pauciflorum,previous name,Dodecatheon pulchellum subsp. pulchellum
Vascular Plant,CAN 91099,Dodecatheon pauciflorum,previous name,Dodecatheon pulchellum subsp. pulchellum
Vascular Plant,CAN 91053,Dodecatheon pauciflorum,previous name,Dodecatheon pulchellum subsp. pauciflorum
Vascular Plant,CAN 153833,Dodecatheon pauciflorum,previous name,Dodecatheon pulchellum subsp. pauciflorum
Vascular Plant,CAN 91102,Dodecatheon pauciflorum,previous name,Dodecatheon pulchellum subsp. pulchellum
Vascular Plant,CAN 535169,Poa agassizensis Boivin & Love,previous scientific name,Poa pratensis
Vascular Plant,CAN 535170,"D. wilcoxianum (Vasey) Freckmann, Panicum wilcoxianum Vasey",previous scientific name,Dichanthelium oligosanthes var. wilcoxianum
Vascular Plant,CAN 535234,"D. wilcoxianum (Vasey) Freckmann, Panicum wilcoxianum Vasey",previous scientific name,Dichanthelium oligosanthes var. wilcoxianum
Vascular Plant,CAN 535173,"E. longifolius (Smith) Gould, Sitanion hystrix (Nutt.) J.G. Smith",previous scientific name,Elymus elymoides
Vascular Plant,CAN 535181,"E. longifolius (Smith) Gould, Sitanion hystrix (Nutt.) Smith var. brevifolium",previous scientific name,Elymus elymoides
Vascular Plant,CAN 535224,Anisantha tectorum (L.) Nevski,previous scientific name,Bromus tectorum
Vascular Plant,CAN 535229,Ceratochloa carinata (Hook. & Arn.) Tutin,previous scientific name,Bromus carinatus
Vascular Plant,CAN 535186,Celtis reticulata Torr.,previous scientific name,Celtis laevigata var. reticulata
Vascular Plant,CAN 535187,Elymus ambiguus Vasey & Scribn.,previous scientific name,Leymus ambiguus
Vascular Plant,CAN 533617,Dactylis glomerata L. var. pendula Dum.,previous scientific name,Dactylis glomerata
Vascular Plant,CAN 533626,Bromus secalinus L. var. hirtus,previous scientific name,Bromus secalinus subsp. secalinus
Vascular Plant,CAN 533634,Agrostis canina L. var. fascicularis Sincl.,previous scientific name,Agrostis canina
Vascular Plant,CAN 533646,Milium effusum L. var. aureum,previous scientific name,Milium effusum
Vascular Plant,CAN 534618,Nuphar variegata,previous scientific name,Nuphar lutea subsp. variegatum
Vascular Plant,CAN 537267,Onosmodium hispidissimum,previous scientific name,Lithospermum parviflorum
Vascular Plant,CAN 537286,Conobea multifida,previous scientific name,Leucospora multifida
Vascular Plant,CAN 535403,"Desmodium paniculatum var. dillenii, D. dillenii",previous scientific name,Desmodium paniculatum var. paniculatum
Vascular Plant,CAN 536421,Spenopholis intermedia,previous scientific name,Sphenopholis obtusata var. major
Vascular Plant,CAN 536719,"F. tenuifolia Sibth., F. capillata Lam., F. ovina var. capillata (Lam.) Alef",previous scientific name,Festuca filiformis
Vascular Plant,CAN 540205,"Dichanthelium acuminatum var. villosum, Panicum lanuginosum var. praecocius",previous scientific name,Dichanthelium villosissimum
Mammal,CMNMA 14060,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 14062,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 14063,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 14064,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34612,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34613,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34614,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34615,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34616,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34617,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34618,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34619,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34620,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34621,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34622,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34623,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34664,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34665,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34666,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 34667,Vulpes lagopus groenlandicus,scientific name,Vulpes lagopus
Mammal,CMNMA 4859,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 4860,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 8254,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 32167,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 32168,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 32169,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 32170,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 40169,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 40170,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 41020,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34585,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34586,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34587,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34588,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34589,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34590,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34591,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34592,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34593,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34594,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 36083,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 32914,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 37035,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34566,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34567,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34568,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34569,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34570,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34571,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34572,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34573,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34574,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34575,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34576,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34577,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34578,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34579,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34580,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34581,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34582,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34583,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 34584,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 51343,Felis sylvestris,scientific name,Felis catus
Mammal,CMNMA 4859,Felis silvestris,,Felis catus
Mammal,CMNMA 4860,Felis silvestris,,Felis catus
Mammal,CMNMA 8254,Felis silvestris,,Felis catus
Mammal,CMNMA 32167,Felis silvestris,,Felis catus
Mammal,CMNMA 32168,Felis silvestris,,Felis catus
Mammal,CMNMA 32169,Felis silvestris,,Felis catus
Mammal,CMNMA 32170,Felis silvestris,,Felis catus
Mammal,CMNMA 40169,Felis silvestris,,Felis catus
Mammal,CMNMA 40170,Felis silvestris,,Felis catus
Mammal,CMNMA 41020,Felis silvestris,,Felis catus
Mammal,CMNMA 34586,Felis silvestris,,Felis catus
Mammal,CMNMA 34587,Felis silvestris,,Felis catus
Mammal,CMNMA 34588,Felis silvestris,,Felis catus
Mammal,CMNMA 34589,Felis silvestris,,Felis catus
Mammal,CMNMA 34590,Felis silvestris,,Felis catus
Mammal,CMNMA 34591,Felis silvestris,,Felis catus
Mammal,CMNMA 34592,Felis silvestris,,Felis catus
Mammal,CMNMA 34593,Felis silvestris,,Felis catus
Mammal,CMNMA 34594,Felis silvestris,,Felis catus
Mammal,CMNMA 36083,Felis silvestris,,Felis catus
Mammal,CMNMA 32914,Felis silvestris,,Felis catus
Mammal,CMNMA 37035,Felis silvestris,,Felis catus
Mammal,CMNMA 34566,Felis silvestris,,Felis catus
Mammal,CMNMA 34567,Felis silvestris,,Felis catus
Mammal,CMNMA 34568,Felis silvestris,,Felis catus
Mammal,CMNMA 34569,Felis silvestris,,Felis catus
Mammal,CMNMA 34570,Felis silvestris,,Felis catus
Mammal,CMNMA 34571,Felis silvestris,,Felis catus
Mammal,CMNMA 34572,Felis silvestris,,Felis catus
Mammal,CMNMA 34573,Felis silvestris,,Felis catus
Mammal,CMNMA 34574,Felis silvestris,,Felis catus
Mammal,CMNMA 34575,Felis silvestris,,Felis catus
Mammal,CMNMA 34576,Felis silvestris,,Felis catus
Mammal,CMNMA 34577,Felis silvestris,,Felis catus
Mammal,CMNMA 34578,Felis silvestris,,Felis catus
Mammal,CMNMA 34579,Felis silvestris,,Felis catus
Mammal,CMNMA 34580,Felis silvestris,,Felis catus
Mammal,CMNMA 34581,Felis silvestris,,Felis catus
Mammal,CMNMA 34582,Felis silvestris,,Felis catus
Mammal,CMNMA 34583,Felis silvestris,,Felis catus
Mammal,CMNMA 34584,Felis silvestris,,Felis catus
Mammal,CMNMA 34585,Felis silvestris,,Felis catus
Mammal,CMNMA 51343,Felis silvestris,,Felis catus
Mammal,CMNFV 8201,Felis silvestris,,Felis catus
Mammal,CMNMA 9658,Zapus princeps oregonus,scientific name,Zapus princeps kootenayensis
Mammal,CMNMA 9662,Zapus princeps oregonus,scientific name,Zapus princeps kootenayensis
Mammal,CMNMA 9741,Zapus princeps oregonus,scientific name,Zapus princeps kootenayensis
Mammal,CMNMA 28652,Pteropus melanotus,scientific name,Pan troglodytes
Mammal,CMNMA 29503,Dicrostonyx torquatus nunatakensis,type name,Dicrostonyx nunatakensis
Mammal,CMNMA 20133,Vulpes lagopus lagopus,scientific name,Vulpes lagopus
Mammal,CMNMA 20134,Vulpes lagopus lagopus,scientific name,Vulpes lagopus
Mammal,CMNMA 20135,Vulpes lagopus lagopus,scientific name,Vulpes lagopus
Mammal,CMNMA 20136,Vulpes lagopus lagopus,scientific name,Vulpes lagopus
Mammal,CMNMA 49129,Vulpes lagopus lagopus,scientific name,Vulpes lagopus
Mammal,CMNMA 43329,Callithrix jacchus,scientific name,Callithrix penicillata
Mammal,CMNMA 44856,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44857,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44858,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44859,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44860,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44861,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44862,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44863,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44864,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44865,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44866,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44867,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44868,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44869,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44870,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44871,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44872,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44873,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44874,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44875,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44876,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44877,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44878,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44879,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44880,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44881,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44882,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44883,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44884,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44885,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44886,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44887,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44888,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44889,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44890,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44891,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44892,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44893,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44894,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44895,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44896,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44897,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44898,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44899,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44900,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44901,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44902,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44903,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44904,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44905,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44906,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44907,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44908,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44909,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44910,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44911,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44912,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44913,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44914,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44915,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44916,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44917,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44918,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44919,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44920,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44921,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44922,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44923,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44924,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44925,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44926,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44927,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44928,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44929,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44930,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44931,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44932,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44933,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44934,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44935,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44936,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44937,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44938,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44939,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44940,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44941,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44942,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44943,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44944,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44945,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44946,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44947,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44948,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44949,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 44950,Microtus pennsylvanicus magdalensis,scientific name,Microtus pennsylvanicus magdalenensis
Mammal,CMNMA 34730,Eothenomys,scientific name,Myodes
Mammal,CMNMA 34731,Eothenomys,scientific name,Myodes
Mammal,CMNMA 34732,Eothenomys,scientific name,Myodes
Mammal,CMNMA 39736,Phalanger maculatus,scientific name,Spilocuscus maculatus
Mammal,CMNMA 39737,Phalanger ursinus,scientific name,Ailurops ursinus
Amphibian and Reptile,CMNAR Z000654,Emydoidea blandingi,scientific name,Emydoidea blandingii
Amphibian and Reptile,CMNAR Z000658,Emydoidea blandingi,scientific name,Emydoidea blandingii
Amphibian and Reptile,CMNAR Z000649,Emydoidea blandingi,scientific name,Emydoidea blandingii
Amphibian and Reptile,CMNAR Z000650,Emydoidea blandingi,scientific name,Emydoidea blandingii
Amphibian and Reptile,CMNAR Z000651,Emydoidea blandingi,scientific name,Emydoidea blandingii
Amphibian and Reptile,CMNAR Z000652,Emydoidea blandingi,scientific name,Emydoidea blandingii
Vascular Plant,CAN 126489,Solidagp altissima L.,original identification,Solidago canadensis
Lichen,CANL 7583,Cladonia degenerans f. cladomorpha,previous name,Cladonia crispata var. crispata
Lichen,CANL 7605,Cladonia degenerans f. cladomorpha,previous name,Cladonia phyllophora
Lichen,CANL 7603,Cladonia degenerans f. cladomorpha,previous name,Cladonia phyllophora
Lichen,CANL 7594,Cladonia degenerans f. cladomorpha,previous name,Cladonia phyllophora
Lichen,CANL 7582,Cladonia degenerans f. cladomorpha,previous name,Cladonia phyllophora
Lichen,CANL 7580,Cladonia degenerans f. cladomorpha,previous name,Cladonia phyllophora
General Invertebrate,CMNI 1989-0277,"Boltenia arctica Huntsman, 1912",previous scientific name,Boltenia echinata
General Invertebrate,CMNI 1989-0278,"Boltenia arctica Huntsman, 1912",previous scientific name,Boltenia echinata
Vascular Plant,CAN 330951,Draba ovibovina,original identification,Draba oblongata
Vascular Plant,CAN 127845,Draba ? cinerea × lactea,original identification,Draba oblongata
Vascular Plant,CAN 203054,Draba gorenlandica,previous name,Draba oblongata
Bryophyte,CANM 297897,Tomenthypnum nitens var. falcifolium,original identification,Tomenthypnum falcifolium
Bryophyte,CANM 260778,Tomenthypnum nitens var. falcifolium,original identification,Tomenthypnum falcifolium
Bryophyte,CANM 178007,Tomenthypnum nitens var. falcifolium,previous name,Tomenthypnum falcifolium
Bryophyte,CANM 259527,Tomenthypnum nitens var. falcifolium,previous name,Tomenthypnum falcifolium
Vascular Plant,CAN 64047,Hesperis pallasii,original identification,Erysimum pallasii
Vascular Plant,CAN 64046,Hesperis pallasii,original identification,Erysimum pallasii
Vascular Plant,CAN 64045,Hesperis pallasii,original identification,Erysimum pallasii
Bryophyte,CANM 167446,Pseudoleskeella heteroptera,original identification,Heterocladium dimorphum
Vascular Plant,CAN 61527,Draba bellii × cinerea,previous name,Draba oblongata
Vascular Plant,CAN 61552,Draba bellii × cinerea,previous name,Draba corymbosa
Vascular Plant,CAN 127882,Erysimum pallasii f. humilum,original identification,Erysimum pallasii
Vascular Plant,CAN 538918,Salix laevigata var. araquipa,original identification,Salix laevigata
NU Palaeobotany,NUPB 29,"Pterophyllum astartense Harris, 1932",,Plantae
Fish,CMNFI 1983-0271.1,Gerris nigri,scientific name,Gerres nigri
Parasite,CMNPA 1978-1088,Wehrdikmansia ?,scientific name,Alces americana
Parasite,CMNPA 1978-1099,Dipetalonema blanci,previous scientific name,Dipetalonema viteae | Meriones libycus
Lichen,CANL 7416,Cladonia crispata f. virgata,previous name,Cladonia crispata
NU Palaeobotany,NUPB 24,"Vardekloeftia sp. Harris, 1932",,Plantae
General Invertebrate,CMNI 1989-0205,"Corella rugosa Huntsman, 1912",previous scientific name,Corella willmeriana
General Invertebrate,CMNI 1989-0206,"Corella rugosa Huntsman, 1912",previous scientific name,Corella willmeriana
General Invertebrate,CMNI 1989-0207,"Corella rugosa Huntsman, 1912",previous scientific name,Corella willmeriana
General Invertebrate,CMNI 1989-0208,"Corella rugosa Huntsman, 1912",previous scientific name,Corella willmeriana
General Invertebrate,CMNI 1989-0364,"Lithonephrya canadensis (Huntsman, 1922)",previous scientific name,Molgula complanata
General Invertebrate,CMNI 1989-0366,"Lithonephrya tenax Huntsman, 1922",previous scientific name,Molgula complanata
General Invertebrate,CMNI 1989-0375,Salpa mucronata,previous scientific name,Thalia democratica
General Invertebrate,CMNI 1989-0376,Salpa mucronata,previous scientific name,Thalia democratica
General Invertebrate,CMNI 1989-0413,Brachyiulus littoralis Verhoeff,previous scientific name,Brachyiulus pusillus
General Invertebrate,CMNI 1989-0414,Brachyiulus littoralis Verhoeff,previous scientific name,Brachyiulus pusillus
General Invertebrate,CMNI 1989-0415,Brachyiulus littoralis Verhoeff,previous scientific name,Brachyiulus pusillus
