mkey,descriptor,term,note
704303,substrate,n/a,on loose boulders
704304,substrate,n/a,on cliff face
704307,substrate,n/a,cliff face
704308,substrate,n/a,"on cliff shelf, also near base of cedar"
704309,substrate,n/a,up base of cedar
704310,substrate,n/a,dry cliff face
704311,substrate,n/a,humid shaded cliff face
704312,substrate,n/a,up base of cedar
704313,substrate,n/a,On cedar trunk
704314,substrate,n/a,trunk of maple tree
704315,substrate,n/a,wet cliff shelf
704316,substrate,n/a,shaded cliff face
704317,substrate,n/a,epiphytic on cedar
704318,substrate,n/a,on bark of Taxus tree
704320,substrate,n/a,shaded cliff
704321,substrate,n/a,shaded humid cliff face
704323,substrate,n/a,cliff face
704324,substrate,n/a,damp boulder face
704326,substrate,n/a,on cliff
704327,substrate,n/a,on alder
704328,substrate,n/a,dry shaded cliff
704329,substrate,n/a,"marble cliff, very shaded"
704330,substrate,n/a,bark of maple
704331,substrate,n/a,wet rock cliff
704334,substrate,n/a,trunk of Acer macrophyllum
704335,substrate,n/a,shaded cliff face
704336,substrate,n/a,shaded limestone cliff
704337,substrate,n/a,shaded cliff face
704338,substrate,n/a,shaded cliff
704339,substrate,n/a,on shaded rocks
704340,substrate,n/a,on shaded rocks where water drips
704341,substrate,n/a,on boulders
704342,substrate,n/a,on rocks
704343,substrate,n/a,on rocks
704345,substrate,n/a,on trees
704347,substrate,n/a,among mosses at base of limestone cliff
704348,substrate,n/a,on calcareous soil at base of limestone cliff
704349,substrate,n/a,soil
704354,substrate,n/a,walls of deep limestone crevasse
704355,substrate,n/a,walls of deep limestone crevasse
704356,substrate,n/a,on rocks
704357,substrate,n/a,on rocks
704358,substrate,n/a,side of peaty bank
704359,substrate,n/a,"moist, cold crevice between huge talus blocks"
704360,substrate,n/a,on earth & logs
704361,substrate,n/a,on earth
704362,substrate,n/a,on earth in bogs
704364,substrate,n/a,over damp calcareous clay
704365,substrate,n/a,over calcareous caly-shale slope
704368,substrate,n/a,soil
704369,substrate,n/a,very wet clay
704371,substrate,n/a,among saxifrage on outwash clay
704374,substrate,n/a,among mosses
704377,substrate,n/a,with mosses among dry limestone cobbles
704443,substrate,n/a,on earth amongst rocks
704448,substrate,n/a,damp earth of cliff shelf
704449,substrate,n/a,gravelly depression
704450,substrate,n/a,crevices of rocks
704456,substrate,n/a,on earth along ravines
704459,substrate,n/a,on rocks
704461,substrate,n/a,on earth
704462,substrate,n/a,on rocks
704464,substrate,n/a,on rocks
704466,substrate,n/a,under sloping rocks
704469,substrate,n/a,moist cliff in scree area
21743,substrate,n/a,moist patch
704485,substrate,n/a,on wet soil
704510,substrate,n/a,wet open sand soil
704511,substrate,n/a,on moist ground in pasture
704513,substrate,n/a,moist sandy loam
704515,substrate,n/a,"low, wet, sandy soil in pasture"
704516,substrate,n/a,wet sandy ground
704519,substrate,n/a,wet ground
25507,substrate,n/a,on damp sandy soil of road allowance
704521,substrate,n/a,"wet soil of open,  roadside ditch"
704525,substrate,n/a,on earth
704531,substrate,n/a,earth of cliff ledges
704534,substrate,n/a,in crevices of rocks
704537,substrate,n/a,on rocks
704544,substrate,n/a,on earth near the snow line
704545,substrate,n/a,wet soil in crevice
704547,substrate,n/a,moist earthen ledge of rocky ravine
704554,substrate,n/a,on soil at mouth of large cavern
704556,substrate,n/a,in coarse gravelly soil of broken rock and soil
704558,substrate,n/a,on gravelly soil
704560,substrate,n/a,moist clay between rock
704564,substrate,n/a,damp islet of soil
704565,substrate,n/a,on silty soil in crevice
704566,substrate,n/a,on sides of dissected polygon mounds
704567,substrate,n/a,on sand
704569,substrate,n/a,on humus in snowflush
704570,substrate,n/a,on the bases of trees
704571,substrate,n/a,on old logs
704572,substrate,n/a,damp rocks
704573,substrate,n/a,on old logs
704574,substrate,n/a,on rocks
704575,substrate,n/a,on rotting log in coniferous forest
704597,substrate,n/a,on wet log
704598,substrate,n/a,rotten coniferous log on ground woods
704600,substrate,n/a,moist humus
704602,substrate,n/a,wet north quartzite cliff
704604,substrate,n/a,moist humus in mixed woods
704605,substrate,n/a,rock cliff
704607,substrate,n/a,moist humus in mixed woods
704609,substrate,n/a,moist shaded vertical granite rock face
704611,substrate,n/a,on humus in bog
704612,substrate,n/a,mat over n-facing cliff of coarse granite
704613,substrate,n/a,on rock cliff
704614,substrate,n/a,N-facing granite cliff
704616,substrate,n/a,on rock cliff
704618,substrate,n/a,broken cliff on n-facing granite ridge
704620,substrate,n/a,on rock cliff
704621,substrate,n/a,among mosses on moist shaded vertical lakeside cliff
704622,substrate,n/a,on rock cliff
704624,substrate,n/a,on boulder in woods
704626,substrate,n/a,on rotting log
704627,substrate,n/a,on rock cliff at summit
704629,substrate,n/a,on rock cliff
704631,substrate,n/a,moist shaded rock slope
704632,substrate,n/a,on wood
704635,substrate,n/a,sandy till over bedrock.
704637,substrate,n/a,on rock outcrop beside creek
29430,substrate,n/a,on rock bluff beside river
704639,substrate,n/a,on the face of perpendicular rocks
704649,substrate,n/a,dripping face of quartzite bluff on wooded slope
704650,substrate,n/a,on old pine log
704656,substrate,n/a,on balsam fir log
704658,substrate,n/a,on bark of balsam fir
704659,substrate,n/a,on rotten coniferous wood
704664,substrate,n/a,"on ground in a stand of eastern white cedar, eastern hemlock and red maple"
704667,substrate,n/a,"on ground in a stand of eastern white cedar, eastern hemlock and red maple"
704674,substrate,n/a,bog hummock
704677,substrate,n/a,bog hummock
31682,substrate,n/a,Sur sol limoneux ou organique sur la roche
704688,substrate,n/a,on humus over rock
704690,substrate,n/a,loose humus mat
704701,substrate,n/a,on shaded rotting wood
704702,substrate,n/a,on rocks
704705,substrate,n/a,on old logs
704706,substrate,n/a,On rocks
704708,substrate,n/a,Cladonia mound in woodland
704710,substrate,n/a,"humus in clearing, birch forest"
704717,substrate,n/a,on humus; rock cliff
704718,substrate,n/a,on rotten log
704719,substrate,n/a,humus; rock cliff
704725,substrate,n/a,"partly shaded, moist rock"
