mkey,descriptor,term,note
707676,substrate,n/a,"in Sphagnum, under Picea"
707677,substrate,n/a,"in Sphagnum, under Picea"
707678,substrate,n/a,on rotten stumps and logs in swamps
707679,substrate,n/a,wet humus of shaded woodland
707681,substrate,n/a,humus bank
707688,substrate,n/a,on rocks
707690,substrate,n/a,on humus
707692,substrate,n/a,on humus over rock ledge
707693,substrate,n/a,on rotting log
707694,substrate,n/a,on rotting log
707695,substrate,n/a,on rock ledge
707696,substrate,n/a,on boulder
707697,substrate,n/a,on earth of slope in ravine
707699,substrate,n/a,on humus
707702,substrate,n/a,on ground at base of hardwood tree
707705,substrate,n/a,on humus
707707,substrate,n/a,on tree stump in woods
707716,substrate,n/a,on base of tree
707717,substrate,n/a,on boulder in woods
707726,substrate,n/a,on humus beside rivulet
707728,substrate,n/a,in hummocks in spruce/tamarack bog
707729,substrate,n/a,base of spruce
707730,substrate,n/a,on rotten stump
707733,substrate,n/a,at tree base in wooded slope
707739,substrate,n/a,forest floor
21185,substrate,n/a,On escarpment in damp deciduous woods.
21140,substrate,n/a,On rocks at edge of brook in damp woods.
707742,substrate,n/a,forest floor
707744,substrate,n/a,on old logs
707747,substrate,n/a,on rocks
707748,substrate,n/a,on old logs
707751,substrate,n/a,forest floor
707753,substrate,n/a,forest floor
707754,substrate,n/a,forest floor
707758,substrate,n/a,semi shaded moist humus
707759,substrate,n/a,semi shaded moist humus
707769,substrate,n/a,semi shaded moist humus on shelf
707770,substrate,n/a,boulder in forest
707772,substrate,n/a,shaded shelf
707777,substrate,n/a,forest floor
707778,substrate,n/a,humus
707779,substrate,n/a,forest floor
707780,substrate,n/a,forest floor
707781,substrate,n/a,earth hummock
707783,substrate,n/a,on fallen rotting logs
707790,substrate,n/a,Damp silty slope
707792,substrate,n/a,on silty bank
707793,substrate,n/a,on disturbed soil
707794,substrate,n/a,s.
707796,substrate,n/a,moist sandy depression along road
707798,substrate,n/a,moist clay soil along roadway
707799,substrate,n/a,on bare silt loam on haul road
707801,substrate,n/a,on moist silty sand along vertical side of roadside bank
707802,substrate,n/a,on sandy subsoil
707804,substrate,n/a,on subsoil
707805,substrate,n/a,on moist ground
707808,substrate,n/a,on moist silty clay of 'sink hole'
707809,substrate,n/a,swampy ground
707810,substrate,n/a,on moist bank
707811,substrate,n/a,moist sand in ditch
707813,substrate,n/a,on wet sand
707814,substrate,n/a,on clay bank
707816,substrate,n/a,on clay bank
707817,substrate,n/a,on subsoil in lumber road
707820,substrate,n/a,on moist gravel in shade of alders in road
707821,substrate,n/a,Forming a solid felt on moist clay soil of roadside bank of forestry access road
707829,substrate,n/a,on sloping clay bank of recently installed culvert
707830,substrate,n/a,on muck soil in beaver pond
707833,substrate,n/a,on soil in clearing
707834,substrate,n/a,on sandy soil in clearing
707836,substrate,n/a,on clay soil of roadside bank
707838,substrate,n/a,on wet sand beside road
707839,substrate,n/a,on sandy clay bank of creek
707841,substrate,n/a,"in sandy soil of kingfurrow, in old field"
707842,substrate,n/a,wet clay
707844,substrate,n/a,moist roadside ditch
26340,substrate,n/a,On damp sand of road allowance in woods.
29427,substrate,n/a,On soil bank along road.
29403,substrate,n/a,On sandy soil in clearing.
707849,substrate,n/a,on damp clay
707851,substrate,n/a,on sandy bank
707853,substrate,n/a,along moist peaty silt of overhang of small stream through dense thickets
707854,substrate,n/a,on moist muck soil by beaver pond
707855,substrate,n/a,on eroded bank of silt along boggy stream
707856,substrate,n/a,on clay bank
707857,substrate,n/a,on soil bank of dried pond
707858,substrate,n/a,on wet sandy soil of road allowance near pond
707861,substrate,n/a,disturbed area on clay soil
707863,substrate,n/a,on shady gravel slope
17531,substrate,n/a,On sandy soil of road allowance.
19740,substrate,n/a,On soil in clearing.
20887,substrate,n/a,On sandy soil along road in woods.
20843,substrate,n/a,On sandy soil along road.
21862,substrate,n/a,On damp sand.
20555,substrate,n/a,On sandy soil in roadside ditch.
707868,substrate,n/a,on soil in seedling flat
707871,substrate,n/a,wet ditch
707881,substrate,n/a,bared damp loamy soil
707883,substrate,n/a,banks of ditch
707885,substrate,n/a,ground + pebbles
707886,substrate,n/a,on earth by river
707891,substrate,n/a,on earth
707892,substrate,n/a,on earth
707894,substrate,n/a,on earth
707897,substrate,n/a,on damp silt
707901,substrate,n/a,on top of hummock
707903,substrate,n/a,sur le sable
707906,substrate,n/a,on shaded gravel at roadside
707910,substrate,n/a,"on sandy silt, road bank"
707911,substrate,n/a,wet sand at edge of pool
707916,substrate,n/a,sable
707918,substrate,n/a,on wet soil along road
707919,substrate,n/a,"on glacial till, at roadside"
707921,substrate,n/a,on soil
707927,substrate,n/a,moist exposed clay bank
707930,substrate,n/a,mud slide near stream
707931,substrate,n/a,"sur le sol, formant un tapis"
707939,substrate,n/a,on earth
707941,substrate,n/a,on earth
707943,substrate,n/a,on earth subject to flood
707944,substrate,n/a,on earth
707945,substrate,n/a,on wet clay banks
707952,substrate,n/a,on earth
707956,substrate,n/a,on earth
707960,substrate,n/a,clay banks
402253,substrate,n/a,wet sand around bases of willows
707963,substrate,n/a,spruce-larch forest floor over sand
707964,substrate,n/a,sandy beach
707966,substrate,n/a,on moist soil of streamlet bank
707968,substrate,n/a,on shallow soil on rock
707970,substrate,n/a,on sandy soil along road
707972,substrate,n/a,on soil in roadside ditch
707973,substrate,n/a,on clay bank beside creek
707975,substrate,n/a,on wet soil in clearing
707976,substrate,n/a,on clay bank along road
707978,substrate,n/a,in sand and alongside stream
707979,substrate,n/a,alongside road in drainage ditch
707980,substrate,n/a,roadsides
707981,substrate,n/a,on clay soil in open
707983,substrate,n/a,on rocks beside creek
707984,substrate,n/a,on gravelly bank along road
707986,substrate,n/a,on soil along road
707987,substrate,n/a,on silty sand in roadside ditch
707990,substrate,n/a,"moist, gravelly flats, beside brook"
707991,substrate,n/a,on wet rocks
707992,substrate,n/a,on wet rocks
707995,substrate,n/a,very moist silt beside creek
707997,substrate,n/a,on wet clayey soil
707999,substrate,n/a,wet cranny of cliff
708000,substrate,n/a,humus bank above high tide line
708001,substrate,n/a,partly decayed log
708002,substrate,n/a,"damp humus, cliff crevice"
708003,substrate,n/a,humus of shaded ledge on sea stack
708004,substrate,n/a,damp tree trunk
708005,substrate,n/a,on rotten tree trunk
708008,substrate,n/a,over mosses on shaded cliff
708011,substrate,n/a,bark of apple tree
708013,substrate,n/a,earth on limestone cliff shelf
708014,substrate,n/a,over mosses in cliff crevice
708016,substrate,n/a,over moss on damp slope
708018,substrate,n/a,shaded bank of forest
708019,substrate,n/a,cliff in forest
708029,substrate,n/a,shaded soil beneath overturned tree roots
708031,substrate,n/a,damp cliff in forest
708032,substrate,n/a,on Tsuga trunk
708033,substrate,n/a,on stony ground on alpine tundra
708037,substrate,n/a,on boulder beside stream
708039,substrate,n/a,on boulder
708040,substrate,n/a,S.
708042,substrate,n/a,S.
708043,substrate,n/a,D.W.
708044,substrate,n/a,on log beside stream
708046,substrate,n/a,on boulder beside stream
708047,substrate,n/a,on cliff
708049,substrate,n/a,on rock by falls
708051,substrate,n/a,on rotten log
708062,substrate,n/a,on decaying log
708066,substrate,n/a,S. on r.
708067,substrate,n/a,damp shaded cliff
708068,substrate,n/a,humus
708070,substrate,n/a,humus on r.
708071,substrate,n/a,humus
708073,substrate,n/a,humus
708074,substrate,n/a,D.W.
708076,substrate,n/a,D.W.
708077,substrate,n/a,S.
708078,substrate,n/a,D.W.
708080,substrate,n/a,on dead wood
708081,substrate,n/a,on old roots and logs
708088,substrate,n/a,on earth
708089,substrate,n/a,on old logs in woods
708090,substrate,n/a,on old logs
708091,substrate,n/a,on rotten wood
708094,substrate,n/a,on earth & dead wood
708097,substrate,n/a,on logs
708099,substrate,n/a,on dead wood
708100,substrate,n/a,on rotten wood in woods
708101,substrate,n/a,on rotten wood
708104,substrate,n/a,on old logs in woods
708106,substrate,n/a,on old logs
708107,substrate,n/a,on rotten wood
708109,substrate,n/a,on earth
708111,substrate,n/a,on earth in bogs
708128,substrate,n/a,soil
708129,substrate,n/a,soil
708140,substrate,n/a,D.W.
708141,substrate,n/a,humus
708142,substrate,n/a,humus
708143,substrate,n/a,S.
708144,substrate,n/a,S.
708148,substrate,n/a,on bank of creek
708149,substrate,n/a,damp shaded peat bank
708151,substrate,n/a,on wet shaded bank
708152,substrate,n/a,wet shelter of boulder
708154,substrate,n/a,on soil
708155,substrate,n/a,on logs
708157,substrate,n/a,on earth and rotten wood
708158,substrate,n/a,on rock at stream edge
708164,substrate,n/a,threaded in moist moss and liverwort mat
708166,substrate,n/a,on side of boulder in woods
708167,substrate,n/a,on bluff near falls
708170,substrate,n/a,mixed with mosses in wet crevices
708184,substrate,n/a,on peat in black spruce bog
708187,substrate,n/a,moist shaded rock face
708189,substrate,n/a,shaded side and under-side of dead log along springy creek
708192,substrate,n/a,on rock cliff at lakeshore
708196,substrate,n/a,on log in Picea glauca stand
708197,substrate,n/a,side of low rotten log in damp mossy floor
708198,substrate,n/a,on fallen logs and stumps in sugar maple forest
708199,substrate,n/a,on edge of hummock of forest floor
21420,substrate,n/a,On rotten stump in woods.
21470,substrate,n/a,On rotten log beside creek.
708203,substrate,n/a,ledge of shaded moist basaltic shore rocks
708205,substrate,n/a,at base of small dead cedar
708210,substrate,n/a,on soil over base of rotted stump
29443,substrate,n/a,On humus over cliff along road.
29449,substrate,n/a,On cliff in woods.
30208,substrate,n/a,On bank beside water.
708213,substrate,n/a,on humus over rock
708214,substrate,n/a,on moist duff under black spruce along lakeshore
708215,substrate,n/a,on rotten log
708218,substrate,n/a,on moist bank
708220,substrate,n/a,on moist hummock on rotting log
708224,substrate,n/a,on underhang of huge basaltic talus boulder
708225,substrate,n/a,on rotting wood
17523,substrate,n/a,On granite boulder.
17536,substrate,n/a,On soil over cedar root in woods.
708231,substrate,n/a,recesses of shaded limestone cliff
708233,substrate,n/a,rock face in mixed woods
26306,substrate,n/a,On hummock over roots in wet cedar woods.
26365,substrate,n/a,On rotten log in wet woods.
26220,substrate,n/a,On soil beneath rocks.
708239,substrate,n/a,growing on rocks and boulders along top of gorge
708246,substrate,n/a,on old logs
708247,substrate,n/a,on earth
708248,substrate,n/a,on rocks
708250,substrate,n/a,on old logs
708254,substrate,n/a,on the face of moist rocks
708255,substrate,n/a,on rotten wood
708257,substrate,n/a,swamps
708258,substrate,n/a,on earth
708260,substrate,n/a,on old logs
708261,substrate,n/a,on rocks
708269,substrate,n/a,in damp soil over roots
708271,substrate,n/a,on shaded soil of bank
708272,substrate,n/a,on damp humus
708284,substrate,n/a,on base of boulder in woods
708285,substrate,n/a,over vertical rock in shade
708288,substrate,n/a,on humus over rotting log
20670,substrate,n/a,On soil at base of limestone bluff.
708290,substrate,n/a,up tree base
708291,substrate,n/a,bank above cliff
708292,substrate,n/a,"on humus, damp cliff"
708293,substrate,n/a,humus at base of erosion monolith in krummholz
708298,substrate,n/a,moist shaded humus bank
708299,substrate,n/a,humus bank in forest
708300,substrate,n/a,humus of bank above cliff base
708302,substrate,n/a,shaded vertical soil at base
708304,substrate,n/a,semi-shaded moist humus
708305,substrate,n/a,"over mosses, cliff crevices"
708307,substrate,n/a,humus at cliff base
708308,substrate,n/a,shaded humid cliff chimney
708309,substrate,n/a,peaty bank above cliff
708310,substrate,n/a,on shaded moist rotting wood
708311,substrate,n/a,moist humus in crevice
708312,substrate,n/a,semi shaded moist rock
708313,substrate,n/a,on shaded moist humus
708314,substrate,n/a,shaded moist humus over rock
708316,substrate,n/a,on earth on logs
708317,substrate,n/a,on earth
708318,substrate,n/a,on earth
708319,substrate,n/a,on old logs
708320,substrate,n/a,on earth & logs
708321,substrate,n/a,on old logs
708322,substrate,n/a,on earth
708324,substrate,n/a,on shaded humus
708337,substrate,n/a,cracks of very wet rock cliff
708338,substrate,n/a,on granitic boulder
708339,substrate,n/a,on wet humus
708340,substrate,n/a,on rock in forest
708343,substrate,n/a,on moist semi-shaded humus
708344,substrate,n/a,on clay bank along road
708345,substrate,n/a,on earth & rotten wood
708346,substrate,n/a,on rock
708347,substrate,n/a,on humus
708348,substrate,n/a,on rock ledge
708349,substrate,n/a,bog hummock
708350,substrate,n/a,on base of Thuja in swampy woods
708351,substrate,n/a,on rocky bluff beside creek
708352,substrate,n/a,on rock ledge beside river
708353,substrate,n/a,on humus over boulder
708354,substrate,n/a,on rock outcrop
708355,substrate,n/a,on base of fir
708356,substrate,n/a,on rotten log in woods
708357,substrate,n/a,shaded moist humus over mineral soil
708358,substrate,n/a,cliff face
708359,substrate,n/a,over mosses on outcrop
708360,substrate,n/a,wet cliff by falls
708361,substrate,n/a,shaded shelf of cliff
708362,substrate,n/a,shaded humus in seepage
708363,substrate,n/a,wet rock crevice
708364,substrate,n/a,on humid outcrop
708365,substrate,n/a,shaded wet rock face
708366,substrate,n/a,on rotten log
708367,substrate,n/a,on shaded granite rocks
708368,substrate,n/a,among mosses on rocks by path
708369,substrate,n/a,on bases of conifers
708370,substrate,n/a,on rock ledge
708373,substrate,n/a,wet earth
708375,substrate,n/a,cliff by stream
708376,substrate,n/a,humus of slope
708378,substrate,n/a,shaded damp cliff crevice
708379,substrate,n/a,on ground in shady moist aspen woods
708380,substrate,n/a,on rotting log in white spruce swamp
708381,substrate,n/a,S.
708382,substrate,n/a,S.
708384,substrate,n/a,on earth
708385,substrate,n/a,on earth
708386,substrate,n/a,on earth in a bog
708393,substrate,n/a,rock outcrop
708407,substrate,n/a,in wet moss and shallow water
708412,substrate,n/a,wet seepage slope
708414,substrate,n/a,on soil under limestone ledge
18199,substrate,n/a,wet margin of pond.
708417,substrate,n/a,on soil over limestone
708419,substrate,n/a,on rocks
708423,substrate,n/a,on soil beside lake
708424,substrate,n/a,on soil beside lake
708425,substrate,n/a,on cliff
708430,substrate,n/a,tiny bank by edge of icewedge fissure
708431,substrate,n/a,"damp, calcareous, clay-shale shingle slope"
708434,substrate,n/a,base of large rock on gravel terrace
708435,substrate,n/a,flat mossy plain
708436,substrate,n/a,flat mossy plain
708438,substrate,n/a,seepage slope
708439,substrate,n/a,soil on ridge
708440,substrate,n/a,on soil
708441,substrate,n/a,on SW-facing gravel slope
708444,substrate,n/a,on tundra
708445,substrate,n/a,"shaded, wet humus on streamlet bank"
708446,substrate,n/a,humus on slope of cliff base
708447,substrate,n/a,humus under Polystichum
708448,substrate,n/a,"on base of Betula lutea, in wet draw"
708449,substrate,n/a,damp rotten log at edge of spruce swamp
708450,substrate,n/a,on clay bank in woods
708452,substrate,n/a,D.W.
708458,substrate,n/a,on dead peat
708459,substrate,n/a,on shaded vertical wall of moist boam and duff along small stream
708460,substrate,n/a,on humus over bluff
708461,substrate,n/a,on moist granite boulder in foot trail
708462,substrate,n/a,on Sphagnum
708463,substrate,n/a,on cedar bark in cedar bog
708464,substrate,n/a,on soil hummock at base of deciduous tree
708465,substrate,n/a,on soil hummock over cedar root
708466,substrate,n/a,at base of rotten cedar stump
708467,substrate,n/a,in clumps on side of hummock
708469,substrate,n/a,on decaying cedar stump
708474,substrate,n/a,on shaly cliff bank of river
708476,substrate,n/a,on base of cedar tree
708477,substrate,n/a,on rotten stump
708479,substrate,n/a,on soil bank of rivulet
708482,substrate,n/a,on rotting wood
708501,substrate,n/a,on humus hummock
708503,substrate,n/a,at base of small cedar
26229,substrate,n/a,In hummocks over cedar roots and at bases of trees
25457,substrate,n/a,On hummock in swamp.
708507,substrate,n/a,on old logs
708510,substrate,n/a,in rotten wood
708513,substrate,n/a,on dead wood
708521,substrate,n/a,dry humus
27523,substrate,n/a,"Tronc pourri, cèdre."
708525,substrate,n/a,on earth mound over root in pool
708597,substrate,n/a,on humus in woods
708598,substrate,n/a,on rotten logs and humus
708599,substrate,n/a,well rotted logs
708600,substrate,n/a,wet shaded cliff
708601,substrate,n/a,shaded damp slope
708602,substrate,n/a,rotten stump in forest
708603,substrate,n/a,humus under heaths on cliff terrace
708604,substrate,n/a,rotten woods and humus
708606,substrate,n/a,"on earth or rotten wood, chiefly on old stumps"
708607,substrate,n/a,on ground in beaver meadow
708608,substrate,n/a,on humus in swampy woods
708609,substrate,n/a,on wet rock
708610,substrate,n/a,on moist soil
708611,substrate,n/a,on ground and in hummock in conifer swamp
708613,substrate,n/a,on ground in woods
708614,substrate,n/a,on rotting wood
708615,substrate,n/a,on soil over rock outcrop beside creek
708619,substrate,n/a,on old logs
708620,substrate,n/a,on earth in woods
708623,substrate,n/a,shaded humus beside log
708625,substrate,n/a,on rotten stump
708626,substrate,n/a,Damp shaded slope in forest
708627,substrate,n/a,on old rotten logs in woods
708628,substrate,n/a,on rotten wood
708629,substrate,n/a,on rotten woods
708630,substrate,n/a,on old logs in woods
708631,substrate,n/a,on earth by a stump
708632,substrate,n/a,on earth along river
708633,substrate,n/a,on rotten fir
708635,substrate,n/a,on old logs
708636,substrate,n/a,on rotten logs
708637,substrate,n/a,on old logs
708638,substrate,n/a,on rotten wood
708639,substrate,n/a,on earth
708642,substrate,n/a,on ground
708643,substrate,n/a,"on rotten wood, lying on ground"
708644,substrate,n/a,on very rotten wood
708645,substrate,n/a,on very rotten wood
708646,substrate,n/a,on old rotten logs in woods
708647,substrate,n/a,on rocks
708648,substrate,n/a,on old stumps and logs
708649,substrate,n/a,on soil hummock at margin of woods
708650,substrate,n/a,on dead wood
708651,substrate,n/a,on rotten wood
708653,substrate,n/a,on rotting wood
708655,substrate,n/a,on rotten wood and logs
708656,substrate,n/a,on rotten wood and logs
708657,substrate,n/a,on earth
708658,substrate,n/a,on earth in a bog
708660,substrate,n/a,moist shaded humus
708663,substrate,n/a,moist soil bank
708664,substrate,n/a,in hummock in bog
708666,substrate,n/a,on rock cliff
708683,substrate,n/a,on sandstone rock in moist depression
708684,substrate,n/a,on soil in root pocket
22020,substrate,n/a,On exposed roots of an uprooted tree.
708685,substrate,n/a,semi-shade moist mineral soiil
708686,substrate,n/a,humid rotten log
708687,substrate,n/a,earth of trail margin
708688,substrate,n/a,splashed humus bank by river
708689,substrate,n/a,damp peaty soil on stream bank
708690,substrate,n/a,earth bank of old road
708700,substrate,n/a,on rotten log
708702,substrate,n/a,decayed wood
708703,substrate,n/a,humus in forest
708704,substrate,n/a,s.
708705,substrate,n/a,on earth
708706,substrate,n/a,on rocks
708707,substrate,n/a,"on earth of rotten wood, chiefly on old stumps"
708708,substrate,n/a,on rotten log in swamp
708709,substrate,n/a,on ground
708720,substrate,n/a,On vertical humus in hollow near swamp (no standing water)
708724,substrate,n/a,on sandy river bank
708725,substrate,n/a,forming hummock over a cedar root
708726,substrate,n/a,on soil hummock at base of maple
708727,substrate,n/a,on moist ground
708728,substrate,n/a,damp shaded ground
708732,substrate,n/a,coating side of wet stump in partial clearing in dark Thuja bog
708733,substrate,n/a,"on moist bank, in bog"
708734,substrate,n/a,in bog
708737,substrate,n/a,on stumps and rotting logs in spruce-cedar bog
708739,substrate,n/a,on moist peaty soil and rotting roots on wall of fen pool in Thuja/Picea fen
708740,substrate,n/a,on old logs
708743,substrate,n/a,on moist soil
708765,substrate,n/a,in shade of small washed wet sections of steep bank of stream
708766,substrate,n/a,rotten stump in forest
708767,substrate,n/a,thin humus over rotting log
708768,substrate,n/a,rotting wood
708769,substrate,n/a,shaded humus bank
708770,substrate,n/a,rotting wood
708771,substrate,n/a,humus bank
708772,substrate,n/a,humus bank in forest
708773,substrate,n/a,on earth & logs
708775,substrate,n/a,on earth
708776,substrate,n/a,on earth
708778,substrate,n/a,on old logs and stumps in a cedar swamp
708786,substrate,n/a,on soil bank along road
708787,substrate,n/a,on soil bank in woods
708789,substrate,n/a,on old logs
708792,substrate,n/a,in Sphagnum in bog
708794,substrate,n/a,wet Sphagnum bog
708797,substrate,n/a,rotten logs
708799,substrate,n/a,D.W.
708800,substrate,n/a,on roots of trees by the sea
708801,substrate,n/a,on the roots of a tree
708802,substrate,n/a,on earth by the sea
708803,substrate,n/a,on rotten wood
708822,substrate,n/a,"On end of rotten conifer log, damp old bridge cribbing open gorge below falls"
708823,substrate,n/a,rotten log near cliff base
708825,substrate,n/a,rotten log
708828,substrate,n/a,on cliffs
708830,substrate,n/a,on soil over rock ledge
708831,substrate,n/a,on rotten wood in thick forest
708832,substrate,n/a,on dead wood
708833,substrate,n/a,on rotten wood in thick forest
708834,substrate,n/a,on rotten wood in thick forest
708846,substrate,n/a,rotten wood
708847,substrate,n/a,on rotten log near streamlet
708848,substrate,n/a,rotten log
708850,substrate,n/a,on boulder
708851,substrate,n/a,rotten log in open forest
708852,substrate,n/a,on damp shaded cliff
708853,substrate,n/a,S.
708854,substrate,n/a,S.
708855,substrate,n/a,S.
708856,substrate,n/a,R.
708857,substrate,n/a,W.R.
708858,substrate,n/a,humus
708859,substrate,n/a,S (ferrous)
708860,substrate,n/a,S.
708861,substrate,n/a,S.
708862,substrate,n/a,D.W.
708863,substrate,n/a,D.W.
708864,substrate,n/a,D.W.
708865,substrate,n/a,on rotten logs
708866,substrate,n/a,on rotten logs
708867,substrate,n/a,on rotten logs
708868,substrate,n/a,on rotten wood
708871,substrate,n/a,on dead wood
708872,substrate,n/a,on rocks by the sea
708873,substrate,n/a,on old logs in a swamp
708875,substrate,n/a,on rotten wood
708876,substrate,n/a,on old logs
708877,substrate,n/a,on rotten wood
708878,substrate,n/a,on dead wood
708879,substrate,n/a,on old logs (60) and in water pools
708880,substrate,n/a,"on old logs by the sea (87), on old logs in woods (88)"
708881,substrate,n/a,on rotten wood
708883,substrate,n/a,on earth by the sea
708884,substrate,n/a,on earth by the sea
708885,substrate,n/a,on old logs in a swamp
708886,substrate,n/a,on old logs
708887,substrate,n/a,on young Abies
708890,substrate,n/a,on rotten wood
708892,substrate,n/a,on logs
708893,substrate,n/a,on earth
708894,substrate,n/a,on old log
708896,substrate,n/a,on rotten wood
708897,substrate,n/a,on rotten wood
708898,substrate,n/a,on rotten wood
708899,substrate,n/a,on rotten wood
708900,substrate,n/a,on rotten wood
708901,substrate,n/a,on rotten wood
708902,substrate,n/a,on rotten wood
708903,substrate,n/a,on dead wood
708904,substrate,n/a,on dead wood
708914,substrate,n/a,on Abies & Picea
708915,substrate,n/a,rotten log in small stream
708919,substrate,n/a,humus
708920,substrate,n/a,on soil bank of river
708921,substrate,n/a,on sandy soil in woods
708922,substrate,n/a,Under Picea mariana
708925,substrate,n/a,on moist bank of stream
708927,substrate,n/a,on sandy soil beside river
26357,substrate,n/a,On hummock at base of cedar in fen.
26318,substrate,n/a,On rotten logs and stumps and on soil hummocks over roots.
29433,substrate,n/a,On sandy soil on river bank.
708930,substrate,n/a,growing on shaded dead fallen log at edge of spring creek
708932,substrate,n/a,on earth
708933,substrate,n/a,on rotten logs in a swamp
708935,substrate,n/a,on cliff in damp shaded stream gorge
708936,substrate,n/a,au sable humide
708941,substrate,n/a,on tundra seepage flats
708942,substrate,n/a,wet bank of stream
708943,substrate,n/a,hard packed earth of trail
708944,substrate,n/a,humus bank near pond
708945,substrate,n/a,overgrowing moss hummock on cliff ledge
708946,substrate,n/a,overgrowing moss hummock on cliff ledge
708954,substrate,n/a,on wet rotten wood of forest floor
708960,substrate,n/a,on earth
708962,substrate,n/a,on earth
708963,substrate,n/a,on earth by a roadside
708964,substrate,n/a,on rocks beside creek
708965,substrate,n/a,on humus in woods
708966,substrate,n/a,damp splashed rock
708967,substrate,n/a,on damp cliff face
708968,substrate,n/a,"on rock, humid cliff"
708969,substrate,n/a,on rotten log
708970,substrate,n/a,damp humus by stream
708971,substrate,n/a,on sandy soil over rock ledge
708973,substrate,n/a,"transistion mire, meadow"
708974,substrate,n/a,on mosses
708977,substrate,n/a,earth on state outcrop splashed by river
708978,substrate,n/a,slate outcrop crevice of river bank
708979,substrate,n/a,damp earth of crevice near river bank
708980,substrate,n/a,splashed humus bank by river
708981,substrate,n/a,rotten log
708982,substrate,n/a,rotten log in floodplain forest
708983,substrate,n/a,"on trail, semi-shaded moist mineral soil"
708984,substrate,n/a,on earth
708985,substrate,n/a,on earth
708987,substrate,n/a,on damp rocks
708988,substrate,n/a,on wet earth
708989,substrate,n/a,on earth
708990,substrate,n/a,on earth (35) and dead wood
708991,substrate,n/a,S.
708992,substrate,n/a,on boggy soil
708993,substrate,n/a,peat bog
708994,substrate,n/a,on earth
709000,substrate,n/a,S
709001,substrate,n/a,"S,"
709002,substrate,n/a,humus
709003,substrate,n/a,humus
709004,substrate,n/a,"S,"
709005,substrate,n/a,"on humus, black spruce bog"
709008,substrate,n/a,lake edge on peat bank
709009,substrate,n/a,humus near edge of spring streamlet
709010,substrate,n/a,on peaty bank
709011,substrate,n/a,earth over outcrop
709012,substrate,n/a,peaty bank of depression
709013,substrate,n/a,rotten logs
709014,substrate,n/a,rock on road bank
709015,substrate,n/a,cliff
709016,substrate,n/a,on rotten logs
709018,substrate,n/a,on dead wood
709019,substrate,n/a,rotten wood
709020,substrate,n/a,on rotten logs in woods
709021,substrate,n/a,on the end of a log
709022,substrate,n/a,on rotten wood
709023,substrate,n/a,on rotten wood
709024,substrate,n/a,on rotten logs
709025,substrate,n/a,on log
709026,substrate,n/a,rotten wood
709027,substrate,n/a,rotten wood
709028,substrate,n/a,on old log
25487,substrate,n/a,on log
709029,substrate,n/a,on rotten log
709030,substrate,n/a,on old log
709031,substrate,n/a,on log
709032,substrate,n/a,on old logs
709042,substrate,n/a,on burnt wood
709043,substrate,n/a,on old log
709044,substrate,n/a,on dead wood
709045,substrate,n/a,rotten wood
709047,substrate,n/a,on burnt logs
709055,substrate,n/a,on rotten wood
709057,substrate,n/a,in ligno putrido
709058,substrate,n/a,on very rotten logs
709059,substrate,n/a,on old wood
709060,substrate,n/a,on rotting wood
709062,substrate,n/a,on rotten logs
709063,substrate,n/a,on rotten wood
709064,substrate,n/a,on rotten logs
709065,substrate,n/a,on dead wood in woods
709066,substrate,n/a,on rotten logs
709067,substrate,n/a,on rotten wood
709069,substrate,n/a,on very rotten wood
709070,substrate,n/a,on peat in black spruce bog
709071,substrate,n/a,on old stumps
709075,substrate,n/a,wet humus
709076,substrate,n/a,on damp earth in woods
709077,substrate,n/a,cliff by stream
709079,substrate,n/a,in wet meadow
709081,substrate,n/a,on old logs in bogs
709082,substrate,n/a,on old logs
709084,substrate,n/a,on gravel by the shore of lake
709085,substrate,n/a,"in Dicranum hummock, edge of marsh"
709086,substrate,n/a,Shaded humus bank
709087,substrate,n/a,rotten log in forest
709089,substrate,n/a,in ligno putrido
709090,substrate,n/a,in a peat bog
709091,substrate,n/a,peat bog
709092,substrate,n/a,on Sphagnum
709093,substrate,n/a,humus under spruce
709095,substrate,n/a,on earth and rotten wood
709100,substrate,n/a,on humus in woods
709101,substrate,n/a,cut end of rotten log
709102,substrate,n/a,on hummock in wet meadow
709103,substrate,n/a,D.W.
709104,substrate,n/a,D.W.
709105,substrate,n/a,S.
709106,substrate,n/a,S.
709107,substrate,n/a,S.
709108,substrate,n/a,S. on R.
709109,substrate,n/a,humus
709110,substrate,n/a,humus
709111,substrate,n/a,D.W.
709112,substrate,n/a,D.W.
709113,substrate,n/a,humus
709114,substrate,n/a,humus
709116,substrate,n/a,S.
709117,substrate,n/a,D.W.
709118,substrate,n/a,D.W.
709119,substrate,n/a,D.W.
709120,substrate,n/a,D.W.
709121,substrate,n/a,D.W.
709122,substrate,n/a,D.W.
709128,substrate,n/a,on old logs in bogs
709129,substrate,n/a,on old logs
709130,substrate,n/a,on dead wood
709131,substrate,n/a,on dead wood
709132,substrate,n/a,on dead wood
709133,substrate,n/a,on dead wood
709134,substrate,n/a,on dead dead wood
709135,substrate,n/a,on old logs
709136,substrate,n/a,on old logs
709137,substrate,n/a,on old logs
709138,substrate,n/a,on old logs
709139,substrate,n/a,on rotten wood
709142,substrate,n/a,on rotten wood
709144,substrate,n/a,on rotten wood
709145,substrate,n/a,on old logs
709147,substrate,n/a,old logs
