Collection,ID Number,Verbatim name,Parsed name
Vascular Plant,CAN 429683,Anemone canadense L.,Anemone canadense
Vascular Plant,CAN 298119,Salix lasiandra var. lancifolia,Salix lasiandra lancifolia
Vascular Plant,CAN 328186,Salix melanopsis Nutt. var. bolanderiana (ROWLEE) SCHNEID.,Salix melanopsis bolanderiana
Vascular Plant,CAN 487494,Steironema ciliatum (L.) Raf.,Steironema ciliatum
Vascular Plant,CAN 435748,"Epilobium glandulosum Lehm., E. ciliatum Raf.",Epilobium glandulosum ciliatum
Vascular Plant,CAN 435734,Scirpus subtermionalis Torr.,Scirpus subtermionalis
Vascular Plant,CAN 443495,Potamogeton zosterifolius Schum.,Potamogeton zosterifolius
Vascular Plant,CAN 450962,Ranunculus abortivas L.,Ranunculus abortivas
Vascular Plant,CAN 451018,Ranunculus urcinatus Sibth.,Ranunculus urcinatus
Vascular Plant,CAN 451210,Boehmeria culindrica (L.) Sw.,Boehmeria culindrica
Vascular Plant,CAN 349558,Salix arctica X ovalifolia,Salix arctica × ovalifolia
Vascular Plant,CAN 316197,Salix phlebophylla X rotundifolia,Salix phlebophylla × rotundifolia
Vascular Plant,CAN 316244,Salix rotundifolia ssp. rotundifolia X phlebophylla,Salix rotundifolia rotundifolia × phlebophylla
Vascular Plant,CAN 445871,Lysimachia ciliatat L.,Lysimachia ciliatat
Vascular Plant,CAN 445875,Polygonum lapatifolium L.,Polygonum lapatifolium
Vascular Plant,CAN 445913,Glechoma hedenacea L.,Glechoma hedenacea
Vascular Plant,CAN 464410,Dupontia fischeri R. Br.,Dupontia fischeri
Vascular Plant,CAN 454097,Draba corymbosa-,Draba corymbosa-
Vascular Plant,CAN 449938,Carex aquatalis Wahlenb.,Carex aquatalis
Vascular Plant,CAN 453912,Taraxacum phytomocarpum J.Vahl.,Taraxacum phytomocarpum
Vascular Plant,CAN 372211,"Salix rigida Muhl., Salix mackenziana",Salix rigida mackenziana
Vascular Plant,CAN 482729,"Silene uralensis ssp. arcticum, Melandrium apetalum (L.) Fenzl.",Silene uralensis arcticum
Vascular Plant,CAN 241657,Cerastium arcticum × regelii,Cerastium arcticum × regelii
Vascular Plant,CAN 443300,Puccinellia fernaldii (Hitchc.) E.Voss,Puccinellia fernaldii
Vascular Plant,CAN 429802,Galium brandegeei Gray,Galium brandegeei
Vascular Plant,CAN 429519,Scirpus acutas Muhlenb.,Scirpus acutas
Vascular Plant,CAN 455216,Erysimum hieracifolium L.,Erysimum hieracifolium
Vascular Plant,CAN 532912,Samolus floribundus HBK,Samolus floribundus
Vascular Plant,CAN 429775,"Carya ovalis (Wang.) Sarg., Carya ovalis var. odorata (Marsh.) Sarg.",Carya ovalis ovalis odorata
Vascular Plant,CAN 384978,Bernardia myricaefolia,Bernardia myricaefolia
Vascular Plant,CAN 332615,Serapias helleborine L.,Serapias helleborine
Vascular Plant,CAN 443448,Carex lenera Dewey,Carex lenera
Vascular Plant,CAN 443454,Carex custabella Britt.,Carex custabella
Vascular Plant,CAN 372090,"S. eriocephala Michx., S. mackenziana, Salix rigida Muhl.",S. eriocephala mackenziana
Vascular Plant,CAN 344706,"Crepis intermedia Gray ssp. modocensiss Nutt., C. intermedia",Crepis intermedia modocensiss intermedia
Vascular Plant,CAN 417985,"Tanacetum huronense Nutt., Chrysanthemum bipinnatum L. ssp. huronense",Tanacetum huronense bipinnatum huronense
Vascular Plant,CAN 387468,Nobalus albus (L.) Hook.,Nobalus albus
Vascular Plant,CAN 386947,Atenia gairdneri Hook. & Arn.,Atenia gairdneri
Vascular Plant,CAN 386785,G. albiflorum,G. albiflorum
Vascular Plant,CAN 351175,"Armeria maritima (Miller) W. var. interior (Raup) Lawr., A. maritima",Armeria maritima interior maritima
Vascular Plant,CAN 344649,"Cryptantha macounii (Eastw.) Pays., C. interrupta (Greene) Pays.",Cryptantha macounii interrupta
Vascular Plant,CAN 395964,Deschampsia atropurpurea (Wahlenb.) Scheele var. payettii Lepage,Deschampsia atropurpurea payettii
Vascular Plant,CAN 420741,Elodea potamogeton (Bertero)Espinosa,Elodea potamogeton
Vascular Plant,CAN 443513,Asparagus officionalis L.,Asparagus officionalis
Vascular Plant,CAN 443525,Carex alopecoides Tuckerm.,Carex alopecoides
Vascular Plant,CAN 449254,Pilea glauca (Moench) Voss,Pilea glauca
Vascular Plant,CAN 449414,Hordeum juballum L.,Hordeum juballum
Vascular Plant,CAN 449416,Beckmannia sysigachne (Steud.) Fern.,Beckmannia sysigachne
Vascular Plant,CAN 386974,Chimaphila occidentalis Rydb.,Chimaphila occidentalis
Vascular Plant,CAN 351225,Pyrus scopulina Longyear,Pyrus scopulina
Vascular Plant,CAN 364793,Pyrus americana (Marsh.) DC. var. decora Sarg.,Pyrus americana decora
Vascular Plant,CAN 443523,Callitriche hemaphroditica L.,Callitriche hemaphroditica
Vascular Plant,CAN 444934,Ranunculus gmelini DC. var. hookeri (D.Den) Benson,Ranunculus gmelini hookeri
Vascular Plant,CAN 440866,Habenaria hypoborea (L.) Br.,Habenaria hypoborea
Vascular Plant,CAN 446968,Salix novae-anglise And.,Salix novae-anglise
Vascular Plant,CAN 446981,Senecio cybalarioides Nutt.,Senecio cybalarioides
Vascular Plant,CAN 449426,Aster engelmanii (Eat.) Gray,Aster engelmanii
Vascular Plant,CAN 449419,Linnaea communis L.,Linnaea communis
Vascular Plant,CAN 449423,Xerophyllum xerrax,Xerophyllum xerrax
Vascular Plant,CAN 452660,Carex straminea Willd. var. invisa W.Boott,Carex straminea invisa
Vascular Plant,CAN 452661,Ambrosia artemisiaefolium L.,Ambrosia artemisiaefolium
Vascular Plant,CAN 465681,Potentilla fruiticosa L.,Potentilla fruiticosa
Vascular Plant,CAN 463589,Ranunculus scleratus L.,Ranunculus scleratus
Vascular Plant,CAN 455366,Salix eriocephala subsp. mackenzieana var. mackenzieana,Salix eriocephala mackenzieana mackenzieana
Vascular Plant,CAN 469034,Salix planifolis subsp. pulchra var. pulchra,Salix planifolis pulchra pulchra
Vascular Plant,CAN 512351,Salix pulchra var. looffiae,Salix pulchra looffiae
Vascular Plant,CAN 458277,Allium schoenoprasum L. var. schoenoprasum,Allium schoenoprasum schoenoprasum
Vascular Plant,CAN 434597,Potentilla palustris (L.) Scop. var. glandulosa Gunnarsson,Potentilla palustris glandulosa
Vascular Plant,CAN 450107,Panicum lanuginosum Ell. var. septentrionalis Fern.,Panicum lanuginosum septentrionalis
Vascular Plant,CAN 436360,Amoracia aquatica (Eat.) Wieg.,Amoracia aquatica
Vascular Plant,CAN 534492,Hackelia americana,Hackelia americana
Vascular Plant,CAN 429859,Circaea lutetima L. ssp. canadensis L.,Circaea lutetima canadensis
Vascular Plant,CAN 450727,Cirsium arvense (L.) Scop. f. albiflorum (Rand & Redf.) Hoffm.,Cirsium arvense albiflorum
Vascular Plant,CAN 434586,Aster punicens L.,Aster punicens
Vascular Plant,CAN 582606,Helianthus maximiliani,Helianthus maximiliani
Vascular Plant,CAN 434698,Helianthus laetiflorus Pers. var. rigidus (Cass.) Fern.,Helianthus laetiflorus rigidus
Vascular Plant,CAN 452159,Liparis loesellii (L.) Richard,Liparis loesellii
Vascular Plant,CAN 436654,Aster umbellata Mill.,Aster umbellata
Vascular Plant,CAN 523853,Linaria dalmatica (L.) Mill,Linaria dalmatica
Vascular Plant,CAN 524211,Sonchus uliginosus Bieb.,Sonchus uliginosus
Vascular Plant,CAN 474890,Odontites serotina (Lam.) Dum.,Odontites serotina
Vascular Plant,CAN 436817,Rosa aciculare Lindl.,Rosa aciculare
Vascular Plant,CAN 436811,Carex bebbiana Olney,Carex bebbiana
Vascular Plant,CAN 435556,Veronica scutellaria,Veronica scutellaria
Vascular Plant,CAN 430490,Agropyron dasystachyum (Hook.) Scribn. var. milleri Skoglund and Harms,Agropyron dasystachyum milleri
Vascular Plant,CAN 449405,Myriophyllum spicatum L. var. spicatum,Myriophyllum spicatum spicatum
Vascular Plant,CAN 535672,Ranunculus sabinii,Ranunculus sabinii
Vascular Plant,CAN 497061,Rorippa islandica (Oeder) Borbas var fernaldiana Butters & Abbe,Rorippa islandica fernaldiana
Vascular Plant,CAN 433411,Lycopodium obsurum L. var. dendroideum (Michx.) D.C.Eaton,Lycopodium obsurum dendroideum
Vascular Plant,CAN 433420,Chrysanthemum vulgare L. var. pinnatifidum Lecoq. & Lamotte,Chrysanthemum vulgare pinnatifidum
Vascular Plant,CAN 466062,Juncus articulatis L.,Juncus articulatis
Vascular Plant,CAN 466360,Leontodon hastilis L. var. vulgaris W. D. J. Koch,Leontodon hastilis vulgaris
Vascular Plant,CAN 0439223A,Cyperus erythrohizos Muhlenb.,Cyperus erythrohizos
Vascular Plant,CAN 514631,Calamagrostis inexpansa var. brevior,Calamagrostis inexpansa brevior
Vascular Plant,CAN 229251,Elymus arenarius var. villosus,Elymus arenarius villosus
Vascular Plant,CAN 438454,Potamogeton epihydrus Raf. var. nuttallii (C.&S.) Fern.,Potamogeton epihydrus nuttallii
Vascular Plant,CAN 466418,Panicum praecocious Hitchc. & Chase,Panicum praecocious
Vascular Plant,CAN 491624,Vitis aestivalis Michaux var. argentifolia (Munson) Fern.,Vitis aestivalis argentifolia
Vascular Plant,CAN 466401,Quercus bicolor Willd. X muehlenbergii Engelm.,Quercus bicolor × muehlenbergii
Vascular Plant,CAN 438429,Lycopodium lucidulum Michaux var. occidentale (Clute) L.R.Wilson,Lycopodium lucidulum occidentale
Vascular Plant,CAN 436271,Setaria faberi Herrm.,Setaria faberi
Vascular Plant,CAN 436273,Heleochloa schoenoides (L.) Host.,Heleochloa schoenoides
Palynology,CMNPYM03276,Claytonia megarrhiza,Claytonia megarrhiza
Vascular Plant,CAN 465603,Senecio freemontii T. & G.,Senecio freemontii
Vascular Plant,CAN 465609,Erigeron perigrinus (Pursh) Greene,Erigeron perigrinus
Vascular Plant,CAN 466028,Scirpus atrovrons Willd.,Scirpus atrovrons
Vascular Plant,CAN 446907,Trifolium varigatum Nutt.,Trifolium varigatum
Vascular Plant,CAN 446915,Lotus oblongifolius var. nevadensis (Gray) Munz.,Lotus oblongifolius nevadensis
Vascular Plant,CAN 474831,Senecio jacobea L.,Senecio jacobea
Vascular Plant,CAN 446921,Penstemon newberrgi Gray,Penstemon newberrgi
Vascular Plant,CAN 446929,Agastache utricifolia (Benth) Kuntze,Agastache utricifolia
Vascular Plant,CAN 446953,Aster adscendeus Lindley,Aster adscendeus
Vascular Plant,CAN 441056,Anaphalis margaritaces (L.) Clarke,Anaphalis margaritaces
Vascular Plant,CAN 443976,Viola cracca L. f. albida (Peterm.) Gams.,Viola cracca albida
Vascular Plant,CAN 432858,"Poa cusickii Vasey, Festuca ovina L.",Poa cusickii ovina
Vascular Plant,CAN 487610,Helianthus angustifolius L. ssp. nuttallii (T. & G.) A.V. Anashenko,Helianthus angustifolius nuttallii
Palynology,CMNPYM03926,Ranunculus gmelini,Ranunculus gmelini
Vascular Plant,CAN 325688,Moldavica parviflora,Moldavica parviflora
Vascular Plant,CAN 475346,Vaccinium microcarpon (Turcz.) Hook.,Vaccinium microcarpon
Vascular Plant,CAN 446927,Rumex angiocarpus Murbeck,Rumex angiocarpus
Vascular Plant,CAN 456265,Magnolia tripetata L.,Magnolia tripetata
Vascular Plant,CAN 432056,"Poa arctica R. Br., Arctagrostis latifolia (R. Br.) Griseb.",Poa arctica latifolia
Vascular Plant,CAN 470134,Nuphar luteum Sm. ssp. macrophyllum (Small) Beal,Nuphar luteum macrophyllum
Vascular Plant,CAN 459655,Muhlenbergia frondosa f. commutata,Muhlenbergia frondosa commutata
Vascular Plant,CAN 499561,Artemesia canadensis Michx.,Artemesia canadensis
Vascular Plant,CAN 465626,Taraxacum lyratrum (Ledeb.) DC.,Taraxacum lyratrum
Vascular Plant,CAN 436630,Epilobium angustifolium L. f. albiflorum (Dumort.) Taussk.,Epilobium angustifolium albiflorum
Vascular Plant,CAN 496901,Tilia americana L. var neglecta (Spach) Fosberg,Tilia americana neglecta
Vascular Plant,CAN 441023,Epilobium palustre L. var. oliganthum (Michx.) Fern.,Epilobium palustre oliganthum
Vascular Plant,CAN 441025,Cardamine parviflorum L.,Cardamine parviflorum
Vascular Plant,CAN 450924,Rosa eglantenia L.,Rosa eglantenia
Vascular Plant,CAN 411578,Trientalis arctica,Trientalis arctica
Vascular Plant,CAN 452188,Rhamnus alnifolius L'Her.,Rhamnus alnifolius
Vascular Plant,CAN 264826,Ambrosia psilostachya var. coronopifolia,Ambrosia psilostachya coronopifolia
Vascular Plant,CAN 431036,Barbarea orthoceros Ledeb.,Barbarea orthoceros
Vascular Plant,CAN 441091,Prunus viriniana L.,Prunus viriniana
Vascular Plant,CAN 448058,Prunus pensylvanicus L.f.,Prunus pensylvanicus
Vascular Plant,CAN 465557,Astragalus occidentalis (S. Wats.) M. E. Jones,Astragalus occidentalis
Vascular Plant,CAN 470112,Crataegus crus-gallii L.,Crataegus crus-gallii
Vascular Plant,CAN 436753,Hedysarum alpinus L.,Hedysarum alpinus
Vascular Plant,CAN 435539,Vaccinium angustifolia Ait.,Vaccinium angustifolia
Vascular Plant,CAN 491657,Carex vulpinoidea Michaux var. ambigua Boott.,Carex vulpinoidea ambigua
Vascular Plant,CAN 435380,Rubus idaeus L. var. aculeatissimus Regel & Tiling,Rubus idaeus aculeatissimus
Vascular Plant,CAN 469760,Orobanche fasiculata Nutt. f. lutea (Barry) Peck,Orobanche fasiculata lutea
Vascular Plant,CAN 450816,Polygonum airculare L.,Polygonum airculare
Vascular Plant,CAN 450150,Myriophyllum alternifolium DC.,Myriophyllum alternifolium
Vascular Plant,CAN 434357,Lycopus americannus Muhlenb.,Lycopus americannus
Vascular Plant,CAN 436322,Pluchea purpurescens (Sw.) DC. var. succulenta Fern.,Pluchea purpurescens succulenta
Vascular Plant,CAN 431142,Liatris cylindrica Michaux,Liatris cylindrica
Vascular Plant,CAN 431139,Stachys hispida Pursh,Stachys hispida
Vascular Plant,CAN 446912,Silene montana S. Wats. var. sierrae Hitchc & Maguire,Silene montana sierrae
Vascular Plant,CAN 446936,Zauschneria californica ssp. latifolia (Hook) Keck.,Zauschneria californica latifolia
Vascular Plant,CAN 446924,Scutellaria sephocampyloides Valk.,Scutellaria sephocampyloides
Vascular Plant,CAN 430934,Veronica serphyllifolia L.,Veronica serphyllifolia
Vascular Plant,CAN 465676,Anemone occidentalis S. Wats.,Anemone occidentalis
Vascular Plant,CAN 465699,Carex medior R. Br.,Carex medior
Vascular Plant,CAN 98731,Veronica alpina var. unalaschcensis,Veronica alpina unalaschcensis
Vascular Plant,CAN 465706,Gentiana prostiata Haenke,Gentiana prostiata
Vascular Plant,CAN 436621,Viola pensylvanica Michx. var. leiocarpa (Fern. & Wieg.) Fern.,Viola pensylvanica leiocarpa
Vascular Plant,CAN 465781,Selaginella sellaginoides (L.) Link,Selaginella sellaginoides
Vascular Plant,CAN 441420,Senecio aureus L. var. intercursus Fern.,Senecio aureus intercursus
Vascular Plant,CAN 67462,Parnassia montanensis,Parnassia montanensis
Vascular Plant,CAN 465847,Aquilegia flavescen S. Wats.,Aquilegia flavescen
Vascular Plant,CAN 468192,Polygonum douglassii Greene,Polygonum douglassii
Vascular Plant,CAN 469725,Aster nova-angliae L.,Aster nova-angliae
Vascular Plant,CAN 463632,Echinochloa walterii (Pursh) Nash.,Echinochloa walterii
Vascular Plant,CAN 464167,Potamogeton alpinus Balbis var. subellepticus (Fern.) Ogden,Potamogeton alpinus subellepticus
Vascular Plant,CAN 485731,Potamogeton perfoliatus L. var. richardsonii Benn.,Potamogeton perfoliatus richardsonii
Vascular Plant,CAN 457942,Sporobolus heterolepsis (A. Gray) A. Gray,Sporobolus heterolepsis
Vascular Plant,CAN 447438,Anemone multifida Poir. f. sanguinea (Pursh) Fern.,Anemone multifida sanguinea
Vascular Plant,CAN 452144,Dracocephalum virginianum L.,Dracocephalum virginianum
Vascular Plant,CAN 452181,Erysimum asper (Nutt.) DC.,Erysimum asper
Vascular Plant,CAN 457777,Actinea acaulis (Pursh.) Spreng var. glabra (Gray) K.F.Parker,Actinea acaulis glabra
Vascular Plant,CAN 534658,Panicum columbianum,Panicum columbianum
Vascular Plant,CAN 92080,Fraxinus pensylvanica,Fraxinus pensylvanica
Vascular Plant,CAN 450152,Oenothera perennens L.,Oenothera perennens
Vascular Plant,CAN 450310,"Salix novae-angliae var. cordata Anderson, N.J.",Salix novae-angliae cordata
Vascular Plant,CAN 450372,"Alsine polygonoides Greene, E.L. in Rydberg, P.A.",Alsine polygonoides
Vascular Plant,CAN 451312,"Pellaea suksdorfiana Butters, F.K.",Pellaea suksdorfiana
Vascular Plant,CAN 451329,"Aconitum delphinifolium var. semigaleatum Lawson, G.",Aconitum delphinifolium semigaleatum
Vascular Plant,CAN 450299,"Salix glaucophylla var. brevifolia Bebb, M.S.",Salix glaucophylla brevifolia
Vascular Plant,CAN 450323,"Salix wyomingensis Rydberg, P.A.",Salix wyomingensis
Vascular Plant,CAN 499322,Aster azureus,Aster azureus
Vascular Plant,CAN 449469,Anemonella thalictroides (L.) Spach,Anemonella thalictroides
Vascular Plant,CAN 462789,Alisma aquatica L.,Alisma aquatica
Vascular Plant,CAN 457717,Calla pulustris L.,Calla pulustris
Vascular Plant,CAN 457701,Potamogeton epihydrus var. ramosus (Peck) House,Potamogeton epihydrus ramosus
Vascular Plant,CAN 436697,Gymnocarpium robertiana (Hoffm.) Newman,Gymnocarpium robertiana
Vascular Plant,CAN 486113,Phlox sibirica L. ssp. richardsonii (Hook.) Hult.,Phlox sibirica richardsonii
Vascular Plant,CAN 450300,"Salix glaucophylla var. albovestita Ball, C.R.",Salix glaucophylla albovestita
Vascular Plant,CAN 450298,"Salix glaucophylla var. angustifolia Bebb, M.S.",Salix glaucophylla angustifolia
Vascular Plant,CAN 450378,Cerastium buffumae Aven Nelson,Cerastium buffumae
Vascular Plant,CAN 454718,Polystichum arcostichoides (Michx.) Schott.,Polystichum arcostichoides
Vascular Plant,CAN 454719,Veronica officionalis L.,Veronica officionalis
Vascular Plant,CAN 454734,Thalictrum polygonum Muhlenb.,Thalictrum polygonum
Vascular Plant,CAN 454756,Kalmia polyfolia Wang.,Kalmia polyfolia
Vascular Plant,CAN 441460,Fraxinus pensylvanica Marshall var. subintegerrima (Vahl.) Fern.,Fraxinus pensylvanica subintegerrima
Vascular Plant,CAN 455148,Equisetum digitatum A.Br.,Equisetum digitatum
Vascular Plant,CAN 457956,Dryopteris triploidea X Wherry,Dryopteris triploidea × Wherry
Vascular Plant,CAN 455196,Minuartia michauxii (Fenzl.) Farw. ssp. dawsonensis (Britt.) Maguire,Minuartia michauxii dawsonensis
Vascular Plant,CAN 312934,Chrysanthemum integrifolia,Chrysanthemum integrifolia
Vascular Plant,CAN 447384,"Hedysarum mackenzii Richards., Hedysarum f. niveum Boivin",Hedysarum mackenzii niveum
Vascular Plant,CAN 456138,Penstemon hirsuta (L.) Willd.,Penstemon hirsuta
Vascular Plant,CAN 456060,Quercus macrocarpon Michaux,Quercus macrocarpon
Vascular Plant,CAN 469789,Sparganium eurycarpon Engelm.,Sparganium eurycarpon
Vascular Plant,CAN 459349,Sisyrinchium crebrum,Sisyrinchium crebrum
Vascular Plant,CAN 462656,Gleditsia triacanthos var. inermis Willd.,Gleditsia triacanthos inermis
Vascular Plant,CAN 446599,Mentha arvensis L. var. arvensis,Mentha arvensis arvensis
Vascular Plant,CAN 446608,Astragalus eucosmos Robins.,Astragalus eucosmos
Vascular Plant,CAN 456053,Helianthus maxmilianii Schrader.,Helianthus maxmilianii
Vascular Plant,CAN 456067,Thymus serpyllifolia L.,Thymus serpyllifolia
Vascular Plant,CAN 456071,Berberis aquifolium Pursh,Berberis aquifolium
Vascular Plant,CAN 456086,Orthelia secunda (L.) House,Orthelia secunda
Vascular Plant,CAN 456171,Gerardia tenuifolia Vahl. f. albiflora Britt.,Gerardia tenuifolia albiflora
Vascular Plant,CAN 456196,Veronica seryllifolia L.,Veronica seryllifolia
Vascular Plant,CAN 456108,Polypodium virginiana L.,Polypodium virginiana
Vascular Plant,CAN 447777,Nuphar luteum (L.) Sibth. & Sm. ssp. variegatum (Engelm.) Beal,Nuphar luteum variegatum
Vascular Plant,CAN 451799,Lonicera chrysantha Turcz.,Lonicera chrysantha
Vascular Plant,CAN 457437,Viola bebbiana Sarg.,Viola bebbiana
Vascular Plant,CAN 457471,Solidago nemorosa Ait.,Solidago nemorosa
Vascular Plant,CAN 451798,Rhamnus catharticus L.,Rhamnus catharticus
Vascular Plant,CAN 434662,Smilax herbacea L. var. herbacea,Smilax herbacea herbacea
Vascular Plant,CAN 457481,Apois americana Medic.,Apois americana
Vascular Plant,CAN 447632,Syringa villosa Vahl.,Syringa villosa
Vascular Plant,CAN 447630,Equisetum hyemale L. var. elatum (Engelm.) Fern.,Equisetum hyemale elatum
Vascular Plant,CAN 448853,Cypripedium calceolus L. var. pubesens (Willd.) Correll,Cypripedium calceolus pubesens
Vascular Plant,CAN 448282,Acer pennsylvanicum L.,Acer pennsylvanicum
Vascular Plant,CAN 451990,Erigeron hiladelphicus L.,Erigeron hiladelphicus
Vascular Plant,CAN 449928,Prunus insititia L.,Prunus insititia
Vascular Plant,CAN 485673,Ribes oxyacanthoides L. var. hirtellum (Michaux) Scoggan,Ribes oxyacanthoides hirtellum
Vascular Plant,CAN 450690,Silene cucubalis Wibel,Silene cucubalis
Vascular Plant,CAN 464361,Erigeron humilus Graham,Erigeron humilus
Vascular Plant,CAN 464373,Alnus virides (Chaix) Lam. & DC. ssp. crispa (Ait.) Turrill,Alnus virides crispa
Vascular Plant,CAN 0449916A,Bidens coronatus (L.) Britton,Bidens coronatus
Vascular Plant,CAN 448729,Calystegia spithamea (L.) Pursh,Calystegia spithamea
Vascular Plant,CAN 463841,Satureja glabella (Michx.) Briq. var. angustifolia (Torr.) Svenson,Satureja glabella angustifolia
Vascular Plant,CAN 450094,Myriophyllum excelbescens,Myriophyllum excelbescens
Vascular Plant,CAN 450746,Matricaria maritima L. var. agrestis (Knaf) Wilmott,Matricaria maritima agrestis
Vascular Plant,CAN 463646,Helianthus angustifolium ssp. giganteus (L.) Anashcz.,Helianthus angustifolium giganteus
Vascular Plant,CAN 444207,"Festuca rubra L. var. nevadensis Hackel, F. rubra L. var. rubra",Festuca rubra nevadensis rubra rubra
Vascular Plant,CAN 451352,Cardamine pratensis L. var. palustris Wimm. & Grab.,Cardamine pratensis palustris
Vascular Plant,CAN 453511,Smilax ecirrhata (Engelm.) Wats.,Smilax ecirrhata
Vascular Plant,CAN 453755,Quercus alba L. f. latiloba (Sarg) Palmer & Steyerm.,Quercus alba latiloba
Vascular Plant,CAN 450623,Tussilago farfare L.,Tussilago farfare
Vascular Plant,CAN 455699,Epilobium hornemanni Reich.,Epilobium hornemanni
Vascular Plant,CAN 474764,Spartina alternifolia Loisel.,Spartina alternifolia
Vascular Plant,CAN 455715,Glaux maritina L. var. obtusifolia Fern.,Glaux maritina obtusifolia
Vascular Plant,CAN 455722,Isanthus brachiatus (L.) BSP. var. linearis Fassett,Isanthus brachiatus linearis
Vascular Plant,CAN 470263,Amelanchier alnifolia Nutt. var. compacta (Neilson) MacKay,Amelanchier alnifolia compacta
Vascular Plant,CAN 457591,Polygonum cuspitatum Sieb. & Zucc.,Polygonum cuspitatum
Vascular Plant,CAN 455259,Carex curta Good.,Carex curta
Vascular Plant,CAN 521755,D. sabulorum (Lam.) Gould&Clark var. patulum (Scribn. & Merr.) Gould&Clark,D. sabulorum patulum
Vascular Plant,CAN 470192,Andropogon scoparius Michaux var. septentrionalis Fern. & Grisc.,Andropogon scoparius septentrionalis
Vascular Plant,CAN 455759,Solidago bicolor L. var. bicolor T. & G.,Solidago bicolor bicolor
Vascular Plant,CAN 455761,Eragrostis pectinatacea (Michx.) Nees,Eragrostis pectinatacea
Vascular Plant,CAN 455764,Isanthus brachyatus (L.) BSP,Isanthus brachyatus
Vascular Plant,CAN 455763,Isanthus brachyatus (L.) BSP var. linearis Fassett,Isanthus brachyatus linearis
Vascular Plant,CAN 446520,Hieracium scabriusculum Schwein. var. scabriusculum,Hieracium scabriusculum scabriusculum
Vascular Plant,CAN 579009,Euphrasia arctica var. disjuncta,Euphrasia arctica disjuncta
Vascular Plant,CAN 446448,Deschampsia cespitosa var. maritima,Deschampsia cespitosa maritima
Vascular Plant,CAN 458251,Asarum canadensis L.,Asarum canadensis
Vascular Plant,CAN 484857,Descurainia sophoides (Fisch.) Schulz,Descurainia sophoides
Vascular Plant,CAN 486824,Lechea leggettii Britt.,Lechea leggettii
Vascular Plant,CAN 0490786A,"Potamogeton diversifolius Raf. var. trichophyllus Morong, Potamogeton+",Potamogeton diversifolius trichophyllus
Vascular Plant,CAN 495620,Valerianella intermedia Dyal,Valerianella intermedia
Vascular Plant,CAN 537291,Lippia lanceolata,Lippia lanceolata
Vascular Plant,CAN 67264,Chrysosplenium tetrandum,Chrysosplenium tetrandum
Vascular Plant,CAN 474422,Astragalus bodinii Sheld. var. yukonis (M.E. Jones) Boivin,Astragalus bodinii yukonis
Vascular Plant,CAN 486803,Scutellaria nervosa Pursh var. calvifolia Fern.,Scutellaria nervosa calvifolia
Vascular Plant,CAN 486203,Eritrichium nanum (Vill.) Schrad. var. aretioides (Cham.) Herder,Eritrichium nanum aretioides
Vascular Plant,CAN 484487,Puccinellia bruggemanni Th. Sor.,Puccinellia bruggemanni
Vascular Plant,CAN 525612,Aspidium spinulosum Sw.,Aspidium spinulosum
Vascular Plant,CAN 539343,Aspidium filix-mas,Aspidium filix-mas
Vascular Plant,CAN 490728,Saxifraga oppositfolia L.,Saxifraga oppositfolia
Vascular Plant,CAN 532965,Silene sorensensis,Silene sorensensis
Vascular Plant,CAN 490764,Poa alpigena (Fries) Lindm. var. colpodea (Fries) Schol.,Poa alpigena colpodea
Vascular Plant,CAN 502423,Deschampsia caespitosa ssp. brevifolia,Deschampsia caespitosa brevifolia
Vascular Plant,CAN 495625,Astralagus alpinus L.,Astralagus alpinus
Vascular Plant,CAN 495626,Calamagrostis purpurescens R. Br.,Calamagrostis purpurescens
Vascular Plant,CAN 495275,Poa alpegina (Fr.) Lindm.,Poa alpegina
Vascular Plant,CAN 495554,Draba cinera Adams,Draba cinera
Vascular Plant,CAN 527862,Puccinellia agrostoides,Puccinellia agrostoides
Vascular Plant,CAN 366208,Puccinellia agrostoidea,Puccinellia agrostoidea
Vascular Plant,CAN 483094,Oxytropis nigrescens ssp. bryophila,Oxytropis nigrescens bryophila
Vascular Plant,CAN 495676,Tofielda coccinea Richards.,Tofielda coccinea
Vascular Plant,CAN 495688,Alopecuris alpinus Sm.,Alopecuris alpinus
Vascular Plant,CAN 535813,Potentilla hookerana,Potentilla hookerana
Vascular Plant,CAN 603633,Hedysarum boreale Nutt. subsp. mackenzii (Richards.) Welsh,Hedysarum boreale mackenzii
Vascular Plant,CAN 522447,Aster puniceus var lucidulus Gray,Aster puniceus lucidulus
Vascular Plant,CAN 400073,Saxifraga serphyllifolia,Saxifraga serphyllifolia
Vascular Plant,CAN 486086,Astragalus aboriginum Richards. var. richardsonii (Sheldon) Boivin,Astragalus aboriginum richardsonii
Vascular Plant,CAN 486185,Erigeron uniflorus L. var. unalaskensis (DC.) Boivin,Erigeron uniflorus unalaskensis
Vascular Plant,CAN 594087,Zygadenus elegans,Zygadenus elegans
Vascular Plant,CAN 530248,Viburnum opulus var. americana,Viburnum opulus americana
Vascular Plant,CAN 595820,Braya purpurescens,Braya purpurescens
Vascular Plant,CAN 485423,Carex aquatalis Wahlenb. var. stans (Drej.) Boott,Carex aquatalis stans
Vascular Plant,CAN 486330,Aconitum delphinifolium subsp. paradoxum,Aconitum delphinifolium paradoxum
