speckey,scientific_name,collection,rank,ancestors,catalog_count
1113552,Amianthium,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Liliidae | Liliales | Liliaceae,0
1131907,Amianthium,Botany,GENUS,Plantae | Anthophyta | xxLiliatae | xxLiliidae | xxLiliales | xxLiliaceae,0
500775,Anemia,Botany,GENUS,Plantae | xxSchizaeaceae,0
1148383,Anemia,Botany,GENUS,Plantae | Filicinophyta | Filicopsida | Filicidae | Schizaeales | Schizaeaceae,0
1095781,Anethum,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Apiales | Apiaceae,0
1145962,Anethum,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | Umbellales | xxUmbelliferae,0
1102041,Anisacanthus,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Scrophulariales | Acanthaceae,0
1134706,Anisacanthus,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxAsteridae | xxScrophulariales | xxAcanthaceae,0
1097298,Aniseia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Solanales | Convolvulaceae,0
1133956,Aniseia,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxAsteridae | Polemoniales | xxConvolvulaceae,0
500788,Anogramma,Botany,GENUS,Plantae | xxAdiantaceae,0
1148264,Anogramma,Botany,GENUS,Plantae | Filicinophyta | Filicopsida | xxPteridales | Hemionitidaceae,0
1077945,Anopteris,Botany,GENUS,Plantae,0
1148304,Anopteris,Botany,GENUS,Plantae | Filicinophyta | Filicopsida | Filicidae | Pteridales | Pteridaceae,0
1110997,Anthephora,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Poales | Poaceae,0
1131131,Anthephora,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | xxCyperales | xxGramineae,0
1093784,Antidesma,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Euphorbiaceae,0
1140712,Antidesma,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Stilaginaceae,0
1102878,Antirhea acutata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae | Antirhea,1
1134217,Antirhea acutata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae | Antirhea,1
1095819,Apium,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Apiales | Apiaceae,0
1145972,Apium,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | Umbellales | xxUmbelliferae,0
1108977,Arum italicum,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Arecidae | Arales | Araceae | Arum,1
