"Crum ?, H."
"& A.J.G., E.A.M."
"Schofield, O. N, W.B."
"Crum?, H."
"?Macoun, J."
"H. Welch, Winona"
"Crum?, H.A."
L.R. & M.J.
Peden & Anderson
DR. Pomeroy
ARCTIC Biol stn
"L.R., M.J."
"S.L., L.R."
"L.R., M.j."
L.R. and M.J.
L.R. M.J.
L.R. And m.j.
"S.L., L.R. & M.J."
Motola
"HL,BW Coad"
1982
FRB
"lot1 ,"
"lot1, lot2 ,"
"lot1, lot2, lot,"
I-HSUN Ni
DR Leverton
I-hsun Ni
Morgan+Fitzgerald
GROUP B
Leim & Scott
E van Ingen
AK & FW Schueler
Hamre& Van Ingen
"Garrity,Gruchy"
PF
McAllister/Gruchy
Dalivingstone
"BW Coad, dem"
McAllister%
2
Bowen/gruchy
"Gruchy,Garrity"
WH van Vliet
McArdle
FRB staff
LEV
Lemmetyinen
GAC Balma
Clemmer & Suttkus
Chu
Mercer
Zoologische Mus.
Szarek
MI
"T Elson, Kelly"
HPGross
Bowers
AMurray
Dadswell/Morry
Mcallister/leach
DEMC Allister
DEM And dj faber
"Ingen, E.Van"
Stl
S. B.
Motyka
S.L. Fricke Meyer
Shushan & Weber
Degelius
F.W.S.
F. R. C.
MRB
CRB
AEP
WKWB
Rydberg
PMC
CN
TMCT
BB
JEP
Moneath
JHS
TT
MFJ
UP
SJI
PVK
AJB
MGD
EH
"Sorensen, Thorv."
"Tryon Jr, R.M."
D.S.P.
LTO
FL
AWD
ARK
YAM
WB
SPVDK
SPK
SEP
MLH
MAD
FHM
WK
JCK
Porsild
"Harms, Vernon L.1976"
"Ballard Jr, H.E."
"Ballard Jr., H.E."
"Wagner, W.H., Jr."
O'Neill & Duman
Lepage
FWC
CHO
Thesaurus
CHD
HHB
Gjaerevoll
Porsild & Breitung
G.W.A.
E.H.
WRW
GAS
RFC
PK
TF
TRT
CR
SVP
PFM
BC
"BC, 1973"
DKB
JCR
EGT
WSD
AR
MLF
RW
JMG
MH
JE
LAG
IFWC
S
CAN
H.S.
JM
GL
HSJ
SCOGGAN
GRT
SMM
MOM
WUD
NCF
CEG
MLT
HM
DRL
GAM
WFW
