skey,site_id,start_latitude,start_longitude,start_latitude_dec,start_longitude_dec,problem
473218,CMNC 2004-2478,41° 54' N,0702330--W ,41.9,,degrees impossible
473837,CANL 9389,48° 47' N,88° 80' W,48.783333,-89.333333,minutes too large
473877,CANL 67345,"55° 84' 0"" N","86° 45' 20"" W",56.4,-86.755556,minutes too large
473999,CANL 93965,46° 25' N,,46.416667,,incomplete pair
474001,CANL 93967,46° 25' N,,46.416667,,incomplete pair
474428,CANL 88163,58° 6' N,,58.1,,incomplete pair
474749,CANL 40515,62° 12' N,11330-W ,62.2,,degrees impossible
474758,CANL 73954,61° 59' N,1922--W ,61.983333,,degrees impossible
474979,Brodo-G31423-31425,"45° 24' 99"" N","64° 6' 38"" W",45.4275,-64.110556,seconds too large
474996,CAN 586024,"44° 50' 80"" N","79° 51' 30"" W",44.855556,-79.858333,seconds too large
475194,CAN 586014,"48° 51' 11"" N",0642524 ,48.853056,,degrees impossible
475379,CAN 258915,69° 35' N,13905 ,69.583333,,degrees impossible
475729,CANL 45957,62° 27' N,1422--W ,62.45,,degrees impossible
475783,CANL 32428,248--N W,69° 51' ,,-69.85,degrees impossible
476133,Fournier 1981 CBL 03-2,46036N W,"60° 47' 48"" ",,-60.796667,degrees impossible
476355,CANL 45685,48° 39' N,06802-- ,48.65,,degrees impossible
476416,CANL 44832,58° 0' N,3800W ,58.0,,degrees impossible
476679,CAN 74618,62° N,,62.0,,incomplete pair
477416,CANL 38030,49° 45' N,05753 ,49.75,,degrees impossible
477433,CANL 27853,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
477631,CANL 112784,49° 10' N,12320-W ,49.166667,,degrees impossible
477723,CANL 6768,49° 44' N,123° 83' W,49.733333,-124.383333,minutes too large
477774,CAN 582543,"79° 52' 91"" N",328300W ,79.891944,,degrees impossible
477990,CANL 46266,52° 68' N,113° 59' W,53.133333,-113.983333,minutes too large
478650,CANL 39742,61° 35' N,,61.583333,,incomplete pair
479043,CANL 39588,61° 35' N,"110° 61' 35"" W",61.583333,-111.026389,minutes too large
479286,CANL 34602,45° 23' N,530--W ,45.383333,,degrees impossible
479440,CANL 119706,"44° 58' 60"" N","62° 56' 9"" W",44.983333,-62.935833,seconds too large
480034,CANL 67024,"54° 53' 0"" N",50255W ,54.883333,,degrees impossible
480118,CANL 73459,46° 46' N,6501--W ,46.766667,,degrees impossible
480119,CANL 73460,46° 46' N,6501--W ,46.766667,,degrees impossible
480120,CANL 73461,46° 49' N,6458--W ,46.816667,,degrees impossible
480121,CANL 73462,46° 49' N,6458--W ,46.816667,,degrees impossible
480122,CANL 73463,46° 49' N,6458--W ,46.816667,,degrees impossible
480123,CANL 73464,46° 49' N,6458--W ,46.816667,,degrees impossible
480725,CANL 22986,47° 56' N,6921--W ,47.933333,,degrees impossible
481589,H&AH 2000.V.30-PM (Quebrada Choro),0844.8,08213.6,,,degrees impossible
481601,HAH 1991.IV.28-MX,14° 35' N,95° 65' W,14.583333,-96.083333,minutes too large
481633,HPS 1976.IX.01-PM,8° 40' N,7956--W ,8.666667,,degrees impossible
481634,HPS 1975.VI.03-PM,8° 40' N,7956--W ,8.666667,,degrees impossible
482371,CAN 586725,"61° 49' 9"" N","65° 42' 62"" W",61.819167,-65.717222,seconds too large
482488,Newman 1977 LN 77-31,"27° 14' 46"" N",823210W ,27.246111,,degrees impossible
482565,CANL 27807,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
482876,CMNFI 1975-0015,23° 10' N,10620-W ,23.166667,,degrees impossible
482905,CAN 582993,"46° 12' 24"" N",0601508 ,46.206667,,degrees impossible
483019,Capitoli-19811105,32° 5' S,5208--W ,-32.083333,,degrees impossible
483077,CMNC 2006-0459,27° 47' N,8231--W ,27.783333,,degrees impossible
483204,CAN 338297,48° 52' N,6643--W ,48.866667,,degrees impossible
483338,CANL 38034,49° 42' N,5756--W ,49.7,,degrees impossible
483339,CANL 38035,49° 42' N,5757--W ,49.7,,degrees impossible
483983,CANL 120754,70° 11' N,,70.183333,,incomplete pair
484093,SBP 2002.V.10-16-HO (2002-03),1452.4-N,08754.7-W,,,degrees impossible
484481,CANL 120978,62° 50' N,141319--W ,62.833333,,degrees impossible
484761,CAN 34073,"48° 3' 46"" N",0691945--W ,48.062778,,degrees impossible
485094,CANL 49149,53356--N W,77° 40' ,,-77.666667,degrees impossible
485095,CANL 49150,53353--N W,77° 36' ,,-77.6,degrees impossible
485305,CAN 480358,"50° 9' 24"" N",801000W ,50.156667,,degrees impossible
485326,CAN 576337,"46° 6' 12"" N",0772901 ,46.103333,,degrees impossible
485380,CMNFI 1968-0479,0° 0' S,90° 0' W,0.0,-90.0,"off Earth or 0,0"
485543,CAN 304545,"48° 0' 27"" N",69° 68' W,48.0075,-70.133333,minutes too large
485578,THL 1999.XI.17-18-PE,1303115S W,"71° 32' 54"" ",,-71.548333,degrees impossible
485802,CANL 7292,48° 76' N,64° 18' W,49.266667,-64.3,minutes too large
485803,CANL 7305,47° 65' N,70° 18' W,48.083333,-70.3,minutes too large
485804,CANL 7294,48° 76' N,64° 18' W,49.266667,-64.3,minutes too large
485971,P88137,"118°52.8.4""N","55° 35' 35.88"" W",,-55.5933,degrees impossible
486038,CANL 45129,48° 79' N,89° 41' W,49.316667,-89.683333,minutes too large
486280,CANL 75191,48520--N W,89° 50' ,,-89.833333,degrees impossible
486679,CANL 63636,61° 47' N,127154--W ,61.783333,,degrees impossible
487031,CANL 77968,48° 9' N,5357--W ,48.15,,degrees impossible
487234,CANL 62112,46456--N W,79° 15' ,,-79.25,degrees impossible
487671,CAN 506960,"52° 55' 21"" N",823521W ,52.9225,,degrees impossible
487674,CAN 296438,5110600N W,"115° 35' 29"" ",,-115.591389,degrees impossible
487814,CANM 323831,50° 13' N,63° 67' W,50.216667,-64.116667,minutes too large
487837,CANM 134528,61° 25' N,,61.416667,,incomplete pair
487992,CAN 407528,"46° 1' 2"" N",0821736 ,46.017222,,degrees impossible
488027,CAN 101805,"49° 5' 19"" N",1230426 ,49.088611,,degrees impossible
488095,CAN 574813,"52° 28' 29"" N",1030259 ,52.474722,,degrees impossible
488106,CAN 574794,"55° 39' 38"" N",10443437W ,55.660556,,degrees impossible
488109,CAN 489435,"51° 8' 59"" N","100° 29' 69"" W",51.149722,-100.5025,seconds too large
488188,CAN 320845,"51° 15' 59"" N",803946W ,51.266389,,degrees impossible
488262,CAN 577734,45° 59' N,7728--W ,45.983333,,degrees impossible
488276,CAN 126576,"45° 38' 3"" N",755613W ,45.634167,,degrees impossible
488799,CAN 588990,"75° 47' 16"" N",1122630 ,75.787778,,degrees impossible
488924,CANM 179022,49° 58' N,098446--W ,49.966667,,degrees impossible
489034,Makepeace_Saint John River NB_3,"45° 47' 24"" N","66° 5' 60"" W",45.79,-66.1,seconds too large
489344,CANL 24724,49558--N W,114° 39' ,,-114.65,degrees impossible
489361,CANL 7670,54° 15' N,,54.25,,incomplete pair
489459,CAN 101901,520546 W,"106° 41' 32"" ",,-106.692222,degrees impossible
489524,CANL 45965,42° 60' N,129° 2' W,43.0,-129.033333,minutes too large
489538,CANL 27822,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
489607,CAN 227550,"44° 10' 39"" N",772254W ,44.1775,,degrees impossible
489651,CAN 589001,"36° 42' 98"" S","149° 58' 59"" E",-36.727222,149.983056,seconds too large
489804,CMNC 2007-0738,"45° 13' 59"" N",664359W ,45.233056,,degrees impossible
489920,CANL 22251,"98° 11' 29"" N","89° 18' 18"" W",98.191389,-89.305,"off Earth or 0,0"
490031,CANL 91263,49° 80' S,72° W,-50.333333,-72.0,minutes too large
490210,CANL 106165,52345--N W,132° 3' ,,-132.05,degrees impossible
490585,CANL 7697,67° 14' N,6228--W ,67.233333,,degrees impossible
490755,CAN 195768,37° 20' N,7931--W ,37.333333,,degrees impossible
490790,CAN 432789,4754506N W,"116° 42' 45"" ",,-116.7125,degrees impossible
490799,CAN 195527,"44° 32' 32"" N",750043W ,44.542222,,degrees impossible
490801,CAN 195535,"44° 31' 22"" N",880208W ,44.522778,,degrees impossible
490856,CAN 61738,78° 20' N,,78.333333,,incomplete pair
491019,CMNFI 1968-1133,64° 35' N,10033830W ,64.583333,,degrees impossible
491257,CMNMA 53092,52° 12' N,1812--E ,52.2,,degrees impossible
491259,CMNMA 53093,51° 15' N,2230--E ,51.25,,degrees impossible
491289,CANM 251777,48° N,,48.0,,incomplete pair
491514,CANL 104554,,27° ,,27.0,incomplete pair
491897,CANM 323938,46° 48' N,6457--W ,46.8,,degrees impossible
491900,CANM 326376,45° 35' N,6458--W ,45.583333,,degrees impossible
491902,CANM 323947,46° 48' N,6457--W ,46.8,,degrees impossible
491906,CANM 326524,45° 33' N,6459--W ,45.55,,degrees impossible
491908,CANM 326608,45° 36' N,6459--W ,45.6,,degrees impossible
491909,CANM 327440,45° 36' N,6503--W ,45.6,,degrees impossible
491912,CANM 327438,45° 36' N,6503--W ,45.6,,degrees impossible
491913,CANM 326759,45° 36' N,6459--W ,45.6,,degrees impossible
491914,CANM 326937,45° 34' N,6459--W ,45.566667,,degrees impossible
491915,CANM 326810,45° 41' N,6457--W ,45.683333,,degrees impossible
491919,CANM 226329,44° 35' N,6640--W ,44.583333,,degrees impossible
491922,CANM 327791,45° 36' N,6503--W ,45.6,,degrees impossible
491924,CANM 326869,45° 36' N,6459--W ,45.6,,degrees impossible
491925,CANM 327870,45° 32' N,6500--W ,45.533333,,degrees impossible
491926,CANM 327241,45° 40' N,6500--W ,45.666667,,degrees impossible
491927,CANM 249294,45° 9' N,6703--W ,45.15,,degrees impossible
491930,CANM 204244,45° 39' N,6504--W ,45.65,,degrees impossible
491950,CANM 321634,46° 48' N,6041--W ,46.8,,degrees impossible
491953,CANM 321572,46° 48' N,6041--W ,46.8,,degrees impossible
491994,CANM 290597,44° 15' N,6020--W ,44.25,,degrees impossible
492002,CANM 280994,43° 25' N,,43.416667,,incomplete pair
492009,CANM 104449,"45° 25' 51"" N",631345W ,45.430833,,degrees impossible
492010,CANM 104440,"45° 25' 51"" N",631345W ,45.430833,,degrees impossible
492011,CANM 327861,45° 32' N,6500--W ,45.533333,,degrees impossible
492049,CANM 214299,45° 13' N,6708--W ,45.216667,,degrees impossible
492052,CANM 323875,46° 48' N,6457--W ,46.8,,degrees impossible
492054,CANM 323881,46° 48' N,6457--W ,46.8,,degrees impossible
492055,CANM 323879,46° 48' N,6457--W ,46.8,,degrees impossible
492069,CANM 213415,47° 31' N,6455--W ,47.516667,,degrees impossible
492179,CANM 213413,47° 31' N,6455--W ,47.516667,,degrees impossible
492626,CANL 121660,10000--N W,85° 24' ,,-85.4,degrees impossible
492839,CANL 44811,58° 3' N,6808--W ,58.05,,degrees impossible
493124,CAN 299337,60° 12' N,,60.2,,incomplete pair
493254,CAN 321473,45° 42' N,07128-W ,45.7,,degrees impossible
493280,CMNMA 54219,68° 53' N,,68.883333,,incomplete pair
493544,CANL 121830,"56° 2' 10"" N",00031920W ,56.036111,,degrees impossible
493569,CANL 75305,44° 33' N,065112--W ,44.55,,degrees impossible
493652,CMNFI 1970-0264,49° 17' N,4559--W ,49.283333,,degrees impossible
493705,CANL 57437,48° 70' N,125° 10' W,49.166667,-125.166667,minutes too large
493746,WBW 2000.II.05-12-BL,"17° 29' 96"" S","63° 39' 13"" W",-17.51,-63.653611,seconds too large
493831,CANL 53656,56° 10' N,,56.166667,,incomplete pair
493918,CANM 305197,51° 53' N,05524-W ,51.883333,,degrees impossible
494202,CAN 237868,"45° 11' 47"" N",0671648--W ,45.196389,,degrees impossible
494732,CAN 491533,"40° 15' 27"" N",113908W ,40.2575,,degrees impossible
494787,CAN 195581,"46° 46' 20"" N",675002W ,46.772222,,degrees impossible
495256,CANM 218304,54° 27' N,197° 25' W,54.45,-197.416667,"off Earth or 0,0"
496478,CANL 57632,45° 33' N,078420--W ,45.55,,degrees impossible
496495,CANL 59893,45° 20' N,07600 ,45.333333,,degrees impossible
496612,CANM 245020,4622118N W,"63° 20' 58"" ",,-63.349444,degrees impossible
496881,CANL 63703,6135--NM W,126° 14' ,,-126.233333,degrees impossible
496959,CANL 17340,51° N,,51.0,,incomplete pair
497243,CANL 27837,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
497258,CANL 27795,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
497259,CANL 27797,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
497260,CANL 27847,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
497261,CANL 27866,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
497283,CANL 17301,65° 35' N,,65.583333,,incomplete pair
497324,CANM 326293,464430-N W,"60° 38' 30"" ",,-60.641667,degrees impossible
497613,3001212,"16° 58' 60"" S","65° 9' 10"" W",-16.983333,-65.152778,seconds too large
497647,3001246,"1° 1' 60"" S","77° 40' 0"" W",-1.033333,-77.666667,seconds too large
497648,3001247,"1° 7' 60"" S","77° 49' 60"" W",-1.133333,-77.833333,seconds too large
497651,3001250,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
497654,3001254,0° 32' S,"76° 1' 60"" W",-0.533333,-76.033333,seconds too large
497655,3001255,"11° 52' 60"" S","71° 26' 24"" W",-11.883333,-71.44,seconds too large
497664,3001265,"5° 3' 1"" N","66° 19' 60"" W",5.050278,-66.333333,seconds too large
497665,3001266,"5° 49' 0"" N","61° 28' 60"" W",5.816667,-61.483333,seconds too large
497666,3001267,"2° 19' 0"" S","60° 4' 60"" W",-2.316667,-60.083333,seconds too large
497667,3001268,"3° 19' 60"" N","55° 25' 60"" W",3.333333,-55.433333,seconds too large
497671,3001272,"1° 7' 60"" S","77° 49' 60"" W",-1.133333,-77.833333,seconds too large
497672,3001273,"8° 22' 60"" S","74° 34' 0"" W",-8.383333,-74.566667,seconds too large
497676,3001277,"11° 16' 0"" S","74° 40' 60"" W",-11.266667,-74.683333,seconds too large
497683,3001284,"22° 51' 31"" S","46° 1' 60"" W",-22.858611,-46.033333,seconds too large
497684,3001285,"22° 51' 31"" S","46° 1' 60"" W",-22.858611,-46.033333,seconds too large
497685,3001286,"22° 51' 31"" S","46° 1' 60"" W",-22.858611,-46.033333,seconds too large
497686,3001287,"29° 16' 0"" S","50° 49' 60"" W",-29.266667,-50.833333,seconds too large
497687,3001288,"26° 25' 0"" S","54° 40' 60"" W",-26.416667,-54.683333,seconds too large
497688,3001289,"25° 28' 0"" S","57° 1' 60"" W",-25.466667,-57.033333,seconds too large
497689,3001290,"27° 4' 0"" S","55° 37' 60"" W",-27.066667,-55.633333,seconds too large
497692,3001293,"25° 40' 60"" S","54° 25' 60"" W",-25.683333,-54.433333,seconds too large
497693,3001294,"25° 40' 60"" S","54° 25' 60"" W",-25.683333,-54.433333,seconds too large
497694,3001295,"25° 40' 60"" S","54° 25' 60"" W",-25.683333,-54.433333,seconds too large
497696,3001297,"21° 46' 0"" S","52° 7' 60"" W",-21.766667,-52.133333,seconds too large
497705,3001306,"25° 25' 60"" S","56° 1' 0"" W",-25.433333,-56.016667,seconds too large
497707,3001308,"25° 40' 60"" S","54° 25' 60"" W",-25.683333,-54.433333,seconds too large
497709,3001310,"22° 4' 60"" S","55° 21' 2"" W",-22.083333,-55.350556,seconds too large
497710,3001311,"25° 22' 60"" S","57° 9' 2"" W",-25.383333,-57.150556,seconds too large
497712,3001313,"27° 20' 12"" S","55° 31' 60"" W",-27.336667,-55.533333,seconds too large
497715,3001316,"27° 10' 60"" S","52° 22' 60"" W",-27.183333,-52.383333,seconds too large
497716,3001317,"27° 10' 60"" S","52° 22' 60"" W",-27.183333,-52.383333,seconds too large
497717,3001318,"25° 13' 60"" S","53° 58' 0"" W",-25.233333,-53.966667,seconds too large
497721,3001322,"24° 7' 60"" S","55° 25' 0"" W",-24.133333,-55.416667,seconds too large
497722,3001323,"24° 7' 60"" S","55° 25' 0"" W",-24.133333,-55.416667,seconds too large
497732,3001333,"25° 47' 18"" S","54° 25' 60"" W",-25.788333,-54.433333,seconds too large
497734,3001335,"26° 37' 60"" S","55° 39' 30"" W",-26.633333,-55.658333,seconds too large
497735,3001336,"26° 19' 0"" S","55° 43' 60"" W",-26.316667,-55.733333,seconds too large
497736,3001337,"26° 45' 32"" S","55° 49' 60"" W",-26.758889,-55.833333,seconds too large
497745,3001346,"25° 46' 60"" S",56° 27' W,-25.783333,-56.45,seconds too large
497747,3001348,"23° 25' 60"" S","56° 30' 30"" W",-23.433333,-56.508333,seconds too large
497749,3001350,"22° 55' 60"" S","43° 13' 0"" W",-22.933333,-43.216667,seconds too large
497753,3001355,0° 43' S,"77° 43' 60"" W",-0.716667,-77.733333,seconds too large
497754,3001356,0° 43' S,"77° 43' 60"" W",-0.716667,-77.733333,seconds too large
497758,3001360,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
497759,3001361,"1° 25' 60"" S","78° 10' 0"" W",-1.433333,-78.166667,seconds too large
497761,3001363,"1° 33' 29"" S","77° 52' 60"" W",-1.558056,-77.883333,seconds too large
497766,3001368,"11° 7' 60"" S","75° 19' 60"" W",-11.133333,-75.333333,seconds too large
497767,3001370,"8° 22' 60"" S","74° 34' 0"" W",-8.383333,-74.566667,seconds too large
497768,3001371,"8° 22' 60"" S","74° 34' 0"" W",-8.383333,-74.566667,seconds too large
497769,3001372,"19° 16' 60"" S","43° 33' 30"" W",-19.283333,-43.558333,seconds too large
497775,3001378,"24° 7' 60"" S","55° 25' 0"" W",-24.133333,-55.416667,seconds too large
497778,3001381,"19° 19' 60"" S","43° 37' 0"" W",-19.333333,-43.616667,seconds too large
497779,3001382,"19° 19' 60"" S","43° 37' 0"" W",-19.333333,-43.616667,seconds too large
497780,3001383,"19° 19' 60"" S","43° 37' 0"" W",-19.333333,-43.616667,seconds too large
497781,3001384,"19° 19' 60"" S","43° 37' 0"" W",-19.333333,-43.616667,seconds too large
497782,3001385,"19° 19' 60"" S","43° 37' 0"" W",-19.333333,-43.616667,seconds too large
497784,3001387,"27° 20' 12"" S","55° 31' 60"" W",-27.336667,-55.533333,seconds too large
497785,3001388,"26° 10' 60"" S","56° 22' 0"" W",-26.183333,-56.366667,seconds too large
497790,3001393,"4° 55' 60"" N","55° 10' 0"" W",4.933333,-55.166667,seconds too large
497792,3001396,"4° 25' 0"" S","59° 34' 60"" W",-4.416667,-59.583333,seconds too large
497793,3001397,"2° 55' 60"" N",52° 24' W,2.933333,-52.4,seconds too large
497795,3001399,"4° 58' 60"" N","56° 22' 48"" W",4.983333,-56.38,seconds too large
497799,3001403,"22° 28' 60"" S","45° 58' 24"" W",-22.483333,-45.973333,seconds too large
497801,3001405,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497802,3001406,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497803,3001407,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497804,3001408,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497807,3001411,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497808,3001412,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497809,3001413,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497810,3001414,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497811,3001415,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497812,3001416,"22° 22' 60"" S","42° 33' 18"" W",-22.383333,-42.555,seconds too large
497814,3001418,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
497815,3001419,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
497816,3001420,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
497819,3001423,"10° 19' 60"" N","67° 40' 0"" W",10.333333,-67.666667,seconds too large
497820,3001424,"10° 19' 60"" N","67° 40' 0"" W",10.333333,-67.666667,seconds too large
497821,3001425,"1° 13' 60"" S","77° 40' 60"" W",-1.233333,-77.683333,seconds too large
497822,3001426,"6° 0' 24"" N","77° 19' 60"" W",6.006667,-77.333333,seconds too large
497823,3001427,"1° 25' 60"" S","78° 10' 0"" W",-1.433333,-78.166667,seconds too large
497824,3001428,0° 43' S,"77° 43' 60"" W",-0.716667,-77.733333,seconds too large
497827,3001431,"2° 21' 23"" S","78° 1' 60"" W",-2.356389,-78.033333,seconds too large
497836,3001440,"17° 7' 60"" S",65° 30' W,-17.133333,-65.5,seconds too large
497837,3001441,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
497844,3001448,"17° 37' 0"" N","96° 19' 60"" W",17.616667,-96.333333,seconds too large
497847,3001451,"17° 37' 60"" N","96° 19' 60"" W",17.633333,-96.333333,seconds too large
497850,3001454,"17° 23' 42"" N","96° 19' 60"" W",17.395,-96.333333,seconds too large
497851,3001455,"17° 37' 60"" N","96° 19' 60"" W",17.633333,-96.333333,seconds too large
497853,3001457,"17° 37' 60"" N","96° 21' 5"" W",17.633333,-96.351389,seconds too large
497858,3001462,"22° 19' 0"" S","45° 7' 60"" W",-22.316667,-45.133333,seconds too large
497859,3001463,"5° 46' 60"" N","61° 28' 0"" W",5.783333,-61.466667,seconds too large
497860,3001464,"5° 46' 60"" N","61° 28' 0"" W",5.783333,-61.466667,seconds too large
497865,3001469,"14° 55' 60"" N","89° 16' 0"" W",14.933333,-89.266667,seconds too large
497866,3001470,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
497867,3001471,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497868,3001472,"8° 40' 60"" N","79° 55' 0"" W",8.683333,-79.916667,seconds too large
497869,3001473,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497881,3001485,0° 32' S,"80° 1' 60"" W",-0.533333,-80.033333,seconds too large
497882,3001486,0° 20' S,"79° 43' 60"" W",-0.333333,-79.733333,seconds too large
497883,3001487,0° 20' S,"79° 43' 60"" W",-0.333333,-79.733333,seconds too large
497885,3001489,0° 53' N,"79° 37' 60"" W",0.883333,-79.633333,seconds too large
497886,3001490,0° 53' N,"79° 37' 60"" W",0.883333,-79.633333,seconds too large
497893,3001497,"9° 22' 60"" N","84° 7' 60"" W",9.383333,-84.133333,seconds too large
497894,3001498,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497896,3001500,0° 22' N,"79° 19' 60"" W",0.366667,-79.333333,seconds too large
497897,3001501,0° 22' N,"79° 19' 60"" W",0.366667,-79.333333,seconds too large
497898,3001502,"0° 43' 6"" N","79° 31' 60"" W",0.718333,-79.533333,seconds too large
497903,3001507,"5° 3' 1"" N","66° 19' 60"" W",5.050278,-66.333333,seconds too large
497908,3001512,"1° 1' 60"" S","77° 45' 9"" W",-1.033333,-77.7525,seconds too large
497914,3001518,"3° 37' 60"" S","72° 39' 28"" W",-3.633333,-72.657778,seconds too large
497920,3001525,"4° 43' 0"" N","54° 25' 60"" W",4.716667,-54.433333,seconds too large
497921,3001526,5° 3' N,"53° 1' 60"" W",5.05,-53.033333,seconds too large
497924,3001529,"15° 25' 60"" S","55° 45' 29"" W",-15.433333,-55.758056,seconds too large
497925,3001530,"13° 1' 0"" S","58° 16' 60"" W",-13.016667,-58.283333,seconds too large
497926,3001536,"17° 3' 27"" S","65° 37' 60"" W",-17.0575,-65.633333,seconds too large
497927,3001537,"14° 13' 60"" S","56° 7' 60"" W",-14.233333,-56.133333,seconds too large
497928,3001538,"14° 22' 60"" S","56° 9' 18"" W",-14.383333,-56.155,seconds too large
497942,3001552,"9° 54' 24"" N","83° 40' 60"" W",9.906667,-83.683333,seconds too large
497943,3001553,"9° 54' 24"" N","83° 40' 60"" W",9.906667,-83.683333,seconds too large
497944,3001554,"9° 43' 60"" N","82° 58' 0"" W",9.733333,-82.966667,seconds too large
497945,3001555,"9° 43' 60"" N","82° 58' 0"" W",9.733333,-82.966667,seconds too large
497946,3001556,"9° 43' 60"" N","82° 58' 0"" W",9.733333,-82.966667,seconds too large
497947,3001557,"10° 16' 60"" N","84° 25' 0"" W",10.283333,-84.416667,seconds too large
497948,3001558,8° 42' N,"83° 28' 60"" W",8.7,-83.483333,seconds too large
497949,3001559,8° 42' N,"83° 28' 60"" W",8.7,-83.483333,seconds too large
497950,3001560,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
497951,3001561,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
497952,3001562,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
497953,3001563,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
497954,3001564,"10° 1' 60"" N","85° 34' 0"" W",10.033333,-85.566667,seconds too large
497955,3001565,"8° 28' 0"" N","83° 34' 60"" W",8.466667,-83.583333,seconds too large
497964,3001574,"8° 40' 0"" N","79° 55' 60"" W",8.666667,-79.933333,seconds too large
497965,3001575,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497968,3001578,"8° 40' 0"" N","79° 55' 60"" W",8.666667,-79.933333,seconds too large
497969,3001579,"9° 4' 60"" N","79° 37' 0"" W",9.083333,-79.616667,seconds too large
497970,3001580,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497971,3001581,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497972,3001582,"8° 40' 0"" N","79° 55' 60"" W",8.666667,-79.933333,seconds too large
497973,3001583,8° 36' N,"80° 7' 60"" W",8.6,-80.133333,seconds too large
497975,3001585,"8° 40' 60"" N","79° 55' 0"" W",8.683333,-79.916667,seconds too large
497976,3001586,"9° 19' 0"" N","79° 46' 60"" W",9.316667,-79.783333,seconds too large
497982,3001592,"9° 9' 10"" N","79° 49' 60"" W",9.152778,-79.833333,seconds too large
497987,3001597,"9° 7' 60"" N","79° 43' 0"" W",9.133333,-79.716667,seconds too large
497996,3001623,"7° 37' 60"" N","72° 34' 60"" W",7.633333,-72.583333,seconds too large
497997,3001624,"7° 37' 60"" N","72° 34' 60"" W",7.633333,-72.583333,seconds too large
497999,3001626,0° 53' N,"79° 37' 60"" W",0.883333,-79.633333,seconds too large
498004,3001633,0° 32' S,"80° 1' 60"" W",-0.533333,-80.033333,seconds too large
498005,3001634,"1° 10' 0"" N","78° 46' 60"" W",1.166667,-78.783333,seconds too large
498022,3001652,"0° 43' 6"" N","79° 31' 60"" W",0.718333,-79.533333,seconds too large
498024,3001654,0° 47' N,"78° 49' 60"" W",0.783333,-78.833333,seconds too large
498025,3001655,0° 47' N,"78° 49' 60"" W",0.783333,-78.833333,seconds too large
498028,3001658,"2° 21' 23"" S","78° 1' 60"" W",-2.356389,-78.033333,seconds too large
498029,3001659,"10° 4' 60"" N","66° 28' 60"" W",10.083333,-66.483333,seconds too large
498030,3001660,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
498032,3001662,"5° 39' 18"" N","61° 22' 60"" W",5.655,-61.383333,seconds too large
498033,3001663,"6° 31' 60"" N","61° 33' 33"" W",6.533333,-61.559167,seconds too large
498034,3001664,"10° 1' 0"" N","66° 25' 60"" W",10.016667,-66.433333,seconds too large
498037,3001667,"17° 10' 60"" S","65° 37' 0"" W",-17.183333,-65.616667,seconds too large
498042,3001672,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
