 Scaled-nape Pachycara
"""Bryoria atroviridis"""
*
0	Caloplaca holocarpa		N									
1
10766
11
15
1984-08-19
201
7 MAR 1956 - CMNFI 1968-0591
7Petasites frigidus subsp. frigidus
8965
9
?femur
?humerus
?tarsals
Abrader
Abudefduf saxatilis
Acipenser brevirostrum
Acipenser dabryanus
Adder's Mouth
Adze
Agrimony
Albulidae
Alectoria vancouverensis
Alosa
Alosa caspia
Alosa saposchnikowii
Alum Root
Amblygaster sirm
Amblyraja radiata
Ambystoma laterale?
Ambystoma macrodactylum
Ambystoma maculatum
American Coot
American Dragonhead.
American Pipit
American Tree Sparrow
Anchoa lucida
Anchoa lyolepis
Anchoa spinifer
Anchoviella lepidentistole
Anchoviella lepidentostole
Annual Water Foxtail
Anoxypristis cuspidata
Antler
Aplexa elongata
Arctagrostis latifolia
Ascelichthys rhodorus
Atherinomorus stipes
Atlantic cod
Atlantic goliath grouper
Atlantic halibut
BLT Handle
Bamboo Forest
Band-tailed Pigeon
Bank Swallow
Bathyraja interrupta
Beech-fern
Beer tab
Bicknell's Wild Geranium
Biface
Big Blue-stem
Black-billed Cuckoo
Black-crowned Night Heron
Black-eyed Susan
Bobolink
Bohemian Waxwing
Bone Tools
Boreal Owl
Branched Peppergrass
Branded Cinquefoil
Brevoortia patronus
Bromus catharticus
Brown Creeper
Brown Thrasher
Bufflehead
Burdoch
Burin
CAN 200123-Leith Peninsula(NT)
CAN 589017
CANL 2774
CANM 272421
Calcaneum
Calcaneus
Calcaneus; Femur; Innominate; Tooth; Phalanx; Metapodials; Ribs
California Oat-grass
Campostoma anomalum
Canvasback
Caprella
Caprella septentrionalis
Carcharhinus 
Carcharhinus albimarginatus
Carcharhinus platyrhinchus
Carcharinus porosus
Carex chordorrhiza
Catharine Parr Traill Bound Herbarium: Child Portrait
"Catharine Parr Traill Bound Herbarium: Plants collected by C. Parr Traill, Gift to Mrs. Evans by Annie Atwood, Mrs. Traill's granddaughter"
Catharine Parr Traill Bound Herbarium: Red-brown album with 4 animal heads
Catharine Parr Traill Bound Herbarium: Victorian Lady Cameo
"Catharine Parr Traill Bound Herbarium: Wild Flowers, Mosses and Ferns"
Catharine Parr Traill Collection: Fern pressings 1894-1899
Catharine Parr Traill Collection: Mounted Specimens (12) in folder
Catharine Parr Traill plant pressing of Convolvulus sp.
Catharine Parr Traill plant pressing of Linnaea borealis
Catharine Parr Traill plant pressing of Monotropa uniflora
Catherine Parr Traill collection of pressings of Macro Algae
Catherine Parr Traill pressing of Ptilota plumosa and Polysiphonia violacea
Catherine Parr Traill pressings of Macro Algae
Chaetozone hobsonae
Chiloscyllium punctatum
Chirocentrus dorab
Chitala chitala
Chloroscombrus orqueta
Cinclidium arcticum
Cladina mitis
Cladonia coniocraea
Cladonia cornuta
Cladonia cornuta f. phyllotoca
Cladonia furcata ssp. furcata
Cladonia gracilis ssp. turbinata		
Cladonia subulata
Clupea harengus
Clupea pallasii
Clupeonella cultriventris
Coelocephalapion gandolfoi
Coleopora cf gigantea
Collemopsidium halodytes
Common Nighthawk
Common Raven
Compound Fleabone
Core
Core Fragment
Core Fragments
Coregonus
Coregonus artedi
Coregonus autumnalis
Coregonus clupeaformis
Coregonus?
Costal Cartilage
Cranial Fragment; Tooth Fragment; Mandible Fragment; Unknown Skeletal Elements
Craspedacusta sowerbii
Cylindric-fruited Shooting Star
Cyprinella lepida
Dasyatis guttata
Dasyatis sabina
Death Camas
Debitage
Dense-flowered Knotweed
Dionda argentosa
Diplotomma penichrum
Discopyge tschudii
Douglas' Knotweed
Douglas' Sedge
Downingia
Downy Paint-Brush
Drill
Drill Bit
Dupontia fisheri
Dwarf Fleabane
Early Blue-grass
Earth
Easern Bluebird
Eastern Screech Owl
Elliptio complanata
Elymus alaskanus subsp. alaskanus
Elymus alaskanus subsp. hyperarcticus
Elymus violaceus
Embiotoca jacksoni
Embiotoca lateralis
End Scraper
