ID Number,OtherNumber,Type
CAN 280860,11046,collector no./field no.
CAN 280866,11901,collector no./field no.
CAN 280868,11900,collector no./field no.
CAN 280884,13518,collector no./field no.
CAN 280965,13997,collector no./field no.
CAN 280979,13521,collector no./field no.
CAN 280980,13102,collector no./field no.
CAN 280999,13355,collector no./field no.
CAN 281000,13857,collector no./field no.
CAN 281001,13353,collector no./field no.
CAN 281002,13444,collector no./field no.
CAN 281007,13851,collector no./field no.
CAN 281063,,
CAN 281064,,
CAN 281550,,
CAN 283008,,
CAN 283010,,
CAN 283022,,
CAN 283031,no data,collector no./field no.
CAN 283690,668,collector no./field no.
CAN 283691,670,collector no./field no.
CAN 283692,560,collector no./field no.
CAN 283693,no data,collector no./field no.
CAN 283694,511,collector no./field no.
CAN 283695,669,collector no./field no.
CAN 283696,531,collector no./field no.
CAN 283697,558,collector no./field no.
CAN 283698,624,collector no./field no.
CAN 283699,667,collector no./field no.
CAN 283700,599,collector no./field no.
CAN 283701,559,collector no./field no.
CAN 283702,600,collector no./field no.
CAN 283703,625,collector no./field no.
CAN 283715,467,collector no./field no.
CAN 283728,,
CAN 283729,552,collector no./field no.
CAN 283730,,
CAN 283731,,
CAN 283732,657,collector no./field no.
CAN 283737,596,collector no./field no.
CAN 283758,520,collector no./field no.
CAN 283759,593,collector no./field no.
CAN 283760,477,collector no./field no.
CAN 283761,549,collector no./field no.
CAN 283762,475,collector no./field no.
CAN 283763,476,collector no./field no.
CAN 283766,548,collector no./field no.
CAN 283772,485,collector no./field no.
CAN 283773,484,collector no./field no.
CAN 283778,592,collector no./field no.
CAN 283818,491,collector no./field no.
CAN 283819,647,collector no./field no.
CAN 283825,530,collector no./field no.
CAN 283829,588,collector no./field no.
CAN 283830,608,collector no./field no.
CAN 283848,496,collector no./field no.
CAN 283852,MAPPED SJD,previous number
CAN 283853,514,collector no./field no.
CAN 283873,579,collector no./field no.
CAN 283875,602,collector no./field no.
CAN 283884,34099,collector no./field no.
CAN 28738,7125,collector no./field no.
CAN 289646,1,collector no./field no.
CAN 289647,7,collector no./field no.
CAN 289651,4,collector no./field no.
CAN 289652,2,collector no./field no.
CAN 291020,,
CAN 2920,9382,collector no./field no.
CAN 2921,10530,collector no./field no.
CAN 293591,184B,collector no./field no.
CAN 293595,220,collector no./field no.
CAN 293596,241,collector no./field no.
CAN 293597,184,collector no./field no.
CAN 293598,261A,collector no./field no.
CAN 293599,60,collector no./field no.
CAN 293600,179A,collector no./field no.
CAN 293601,238,collector no./field no.
CAN 293602,233,collector no./field no.
CAN 293603,179B,collector no./field no.
CAN 293604,108,collector no./field no.
CAN 293605,65,collector no./field no.
CAN 293606,232,collector no./field no.
CAN 293607,236,collector no./field no.
CAN 293608,70,collector no./field no.
CAN 293627,12C,collector no./field no.
CAN 293628,67,collector no./field no.
CAN 293629,164,collector no./field no.
CAN 293636,6A,collector no./field no.
CAN 293639,110,collector no./field no.
CAN 293651,192B,collector no./field no.
CAN 293654,109,collector no./field no.
CAN 293661,4,collector no./field no.
CAN 293662,9A,collector no./field no.
CAN 293663,3,collector no./field no.
CAN 293675,251,collector no./field no.
CAN 293681,181A,collector no./field no.
CAN 293682,203,collector no./field no.
CAN 293687,275,collector no./field no.
CAN 293703,246,collector no./field no.
CAN 293704,,
CAN 293707,246,collector no./field no.
CAN 293720,128,collector no./field no.
CAN 293721,148,collector no./field no.
CAN 293722,74,collector no./field no.
CAN 293723,124,collector no./field no.
CAN 293780,146,collector no./field no.
CAN 293781,181,collector no./field no.
CAN 293782,174,collector no./field no.
CAN 293783,242A,collector no./field no.
CAN 293784,253A,collector no./field no.
CAN 293785,241A,collector no./field no.
CAN 293786,267,collector no./field no.
CAN 293787,142,collector no./field no.
CAN 293789,186A,collector no./field no.
CAN 293790,90,collector no./field no.
CAN 293791,186,collector no./field no.
CAN 293792,272,collector no./field no.
CAN 293793,273,collector no./field no.
CAN 293794,288,collector no./field no.
CAN 293795,157,collector no./field no.
CAN 293796,173,collector no./field no.
CAN 293798,252A,collector no./field no.
CAN 293799,20,collector no./field no.
CAN 293800,184A,collector no./field no.
CAN 293802,228,collector no./field no.
CAN 293804,287,collector no./field no.
CAN 293805,243A,collector no./field no.
CAN 293806,225,collector no./field no.
CAN 293808,201,collector no./field no.
CAN 293811,193,collector no./field no.
CAN 293813,253,collector no./field no.
CAN 293825,31B,collector no./field no.
CAN 293826,55,collector no./field no.
CAN 293843,34,collector no./field no.
CAN 293844,36,collector no./field no.
CAN 293845,42,collector no./field no.
CAN 293846,135,collector no./field no.
CAN 293849,39,collector no./field no.
CAN 293851,35,collector no./field no.
CAN 293861,118,collector no./field no.
CAN 293874,255,collector no./field no.
CAN 293889,185,collector no./field no.
CAN 2961,10337,collector no./field no.
CAN 29692,9639,collector no./field no.
CAN 29693,9766,collector no./field no.
CAN 29694,9766,collector no./field no.
CAN 297301,3109,collector no./field no.
CAN 297356,3087,collector no./field no.
CAN 297361,628,collector no./field no.
CAN 30116,10329,collector no./field no.
CAN 303096,MAPPED SJD,previous number
CAN 303100,15,collector no./field no.
CAN 303101,11,collector no./field no.
CAN 303102,16,collector no./field no.
CAN 303106,690,collector no./field no.
CAN 303107,,
CAN 303116,5,collector no./field no.
CAN 303133,30,collector no./field no.
CAN 303134,31,collector no./field no.
CAN 303135,30,collector no./field no.
CAN 303172,53,collector no./field no.
CAN 303173,54,collector no./field no.
CAN 303175,55,collector no./field no.
CAN 303176,56,collector no./field no.
CAN 303184,60,collector no./field no.
CAN 303185,61,collector no./field no.
CAN 303211,,
CAN 303213,,
CAN 303222,79,collector no./field no.
CAN 303237,90,collector no./field no.
CAN 303240,91,collector no./field no.
CAN 303241,92,collector no./field no.
CAN 303242,93,collector no./field no.
CAN 303243,94,collector no./field no.
CAN 303244,29,collector no./field no.
CAN 303246,3,collector no./field no.
CAN 303248,95,collector no./field no.
CAN 303249,96,collector no./field no.
CAN 303251,97,collector no./field no.
CAN 303256,358,collector no./field no.
CAN 303257,325,collector no./field no.
CAN 303269,97,collector no./field no.
CAN 303275,88,collector no./field no.
CAN 303292,354,collector no./field no.
CAN 303305,441,collector no./field no.
CAN 303307,500,collector no./field no.
CAN 303309,355,collector no./field no.
CAN 303310,MAPPED SJD,previous number
CAN 303311,MAPPED SJD,previous number
CAN 303312,MAPPED SJD,previous number
CAN 303313,MAPPED SJD,previous number
CAN 303317,131,collector no./field no.
CAN 303318,495,collector no./field no.
CAN 303323,375,collector no./field no.
CAN 303324,379,collector no./field no.
CAN 303328,311,collector no./field no.
CAN 303331,226,collector no./field no.
CAN 303337,429,collector no./field no.
CAN 303338,428,collector no./field no.
CAN 303352,312,collector no./field no.
CAN 303358,431A,collector no./field no.
CAN 303377,432,collector no./field no.
CAN 303381,230,collector no./field no.
CAN 303382,506,collector no./field no.
CAN 303396,16,collector no./field no.
CAN 303404,17,collector no./field no.
CAN 303405,356,collector no./field no.
CAN 303406,15,collector no./field no.
CAN 303408,455,collector no./field no.
CAN 303409,229,collector no./field no.
CAN 303413,155,collector no./field no.
CAN 303416,477,collector no./field no.
CAN 303420,224,collector no./field no.
CAN 303445,257,collector no./field no.
CAN 303462,519,collector no./field no.
CAN 303463,,
CAN 303464,474,collector no./field no.
CAN 303465,365,collector no./field no.
CAN 303466,19B,collector no./field no.
CAN 303467,19A,collector no./field no.
CAN 303479,471,collector no./field no.
CAN 303480,72,collector no./field no.
CAN 303481,167A,collector no./field no.
CAN 303482,476,collector no./field no.
CAN 303485,40,collector no./field no.
CAN 303492,145,collector no./field no.
CAN 303496,62,collector no./field no.
CAN 303502,547B,collector no./field no.
CAN 303503,547A,collector no./field no.
CAN 303506,6,collector no./field no.
CAN 303507,469,collector no./field no.
CAN 303508,148,collector no./field no.
CAN 303513,220,collector no./field no.
CAN 303521,32,collector no./field no.
CAN 303525,89,collector no./field no.
CAN 303526,480,collector no./field no.
CAN 303527,518,collector no./field no.
CAN 303528,300,collector no./field no.
CAN 303529,27,collector no./field no.
CAN 303530,488,collector no./field no.
CAN 303531,132,collector no./field no.
CAN 303532,213,collector no./field no.
CAN 303533,533,collector no./field no.
CAN 303534,487,collector no./field no.
CAN 303535,24,collector no./field no.
CAN 303536,28,collector no./field no.
CAN 303537,95,collector no./field no.
CAN 303538,43,collector no./field no.
CAN 303539,215,collector no./field no.
CAN 303540,191,collector no./field no.
CAN 303541,93,collector no./field no.
CAN 303542,20,collector no./field no.
CAN 303543,529,collector no./field no.
CAN 303544,496,collector no./field no.
CAN 303545,527,collector no./field no.
CAN 303546,381,collector no./field no.
CAN 303547,461,collector no./field no.
CAN 303548,127,collector no./field no.
CAN 303566,283,collector no./field no.
CAN 303567,91,collector no./field no.
CAN 303577,225,collector no./field no.
CAN 303590,532,collector no./field no.
CAN 303592,405,collector no./field no.
CAN 303596,MAPPED SJD,previous number
CAN 3036,11758,collector no./field no.
CAN 303610,388,collector no./field no.
CAN 303611,399,collector no./field no.
CAN 303612,372,collector no./field no.
CAN 303613,450,collector no./field no.
CAN 303614,133,collector no./field no.
CAN 303616,96,collector no./field no.
CAN 303617,143,collector no./field no.
CAN 303618,80,collector no./field no.
CAN 303619,524,collector no./field no.
CAN 303620,5,collector no./field no.
CAN 303621,198,collector no./field no.
CAN 303622,265,collector no./field no.
CAN 303623,369,collector no./field no.
CAN 303624,521,collector no./field no.
CAN 303625,502,collector no./field no.
CAN 303626,368,collector no./field no.
CAN 303627,299,collector no./field no.
CAN 303628,116,collector no./field no.
CAN 303631,252,collector no./field no.
CAN 303632,219,collector no./field no.
CAN 303633,49,collector no./field no.
CAN 303634,550,collector no./field no.
CAN 303635,278,collector no./field no.
CAN 303637,249,collector no./field no.
CAN 303638,104,collector no./field no.
CAN 303639,409,collector no./field no.
CAN 303640,243,collector no./field no.
CAN 303641,514,collector no./field no.
CAN 303642,540,collector no./field no.
CAN 303643,530,collector no./field no.
CAN 303644,459,collector no./field no.
CAN 303647,406,collector no./field no.
CAN 303664,50,collector no./field no.
CAN 303675,,
CAN 303676,,
CAN 303677,,
CAN 303680,473,collector no./field no.
CAN 303681,306,collector no./field no.
CAN 303696,,
CAN 303715,264,collector no./field no.
CAN 303718,221,collector no./field no.
CAN 303726,66,collector no./field no.
CAN 303727,517,collector no./field no.
CAN 303728,14,collector no./field no.
CAN 303736,13,collector no./field no.
CAN 303745,423,collector no./field no.
CAN 303746,10,collector no./field no.
CAN 303759,282,collector no./field no.
CAN 303772,192,collector no./field no.
CAN 303773,176,collector no./field no.
CAN 303776,207,collector no./field no.
CAN 303778,202,collector no./field no.
CAN 303788,208,collector no./field no.
CAN 303789,209,collector no./field no.
CAN 303790,195,collector no./field no.
CAN 303896,9,collector no./field no.
CAN 303897,463,collector no./field no.
CAN 303898,167,collector no./field no.
CAN 303899,141,collector no./field no.
CAN 306803,51,collector no./field no.
CAN 306804,129,collector no./field no.
CAN 306806,MAPPED SJD,previous number
CAN 306815,98,collector no./field no.
CAN 306822,66,collector no./field no.
CAN 306829,41,collector no./field no.
CAN 306834,63,collector no./field no.
CAN 306839,121,collector no./field no.
CAN 306845,94,collector no./field no.
CAN 306853,37,collector no./field no.
CAN 306854,117,collector no./field no.
CAN 306855,32,collector no./field no.
CAN 306856,64,collector no./field no.
CAN 308587,25,collector no./field no.
CAN 308591,no data,collector no./field no.
CAN 308593,23,collector no./field no.
CAN 308595,77,collector no./field no.
CAN 308960,1136,collector no./field no.
CAN 308961,1151,collector no./field no.
CAN 309599,5023,collector no./field no.
CAN 309601,5087,collector no./field no.
CAN 309602,5076,collector no./field no.
CAN 309603,5079,collector no./field no.
CAN 309609,5086,collector no./field no.
CAN 309610,6019,collector no./field no.
CAN 309611,5055,collector no./field no.
CAN 309613,5021,collector no./field no.
CAN 309614,5018,collector no./field no.
CAN 309651,5083,collector no./field no.
CAN 309652,5082,collector no./field no.
CAN 309654,5063,collector no./field no.
CAN 309655,5043,collector no./field no.
CAN 309664,5042,collector no./field no.
CAN 309692,5036,collector no./field no.
CAN 309693,5029,collector no./field no.
CAN 309694,6015,collector no./field no.
CAN 309779,5037,collector no./field no.
CAN 309780,5032,collector no./field no.
CAN 309783,5041,collector no./field no.
CAN 309784,5033,collector no./field no.
CAN 309787,5039,collector no./field no.
CAN 309802,5026,collector no./field no.
CAN 309806,5025,collector no./field no.
CAN 30986,26250,old CMN catalogue number format
CAN 309976,no data,collector no./field no.
CAN 309981,S.N.,collector no./field no.
CAN 309983,,
CAN 310691,53877,collector no./field no.
CAN 311166,1391,collector no./field no.
CAN 311167,1112,collector no./field no.
CAN 311168,641,collector no./field no.
CAN 311174,662,collector no./field no.
CAN 311176,1066,collector no./field no.
CAN 311177,1417,collector no./field no.
CAN 311178,541,collector no./field no.
CAN 311179,1258,collector no./field no.
CAN 311180,808,collector no./field no.
CAN 311187,512,collector no./field no.
CAN 311188,1370,collector no./field no.
CAN 311189,625,collector no./field no.
CAN 311190,1113,collector no./field no.
CAN 311192,1409,collector no./field no.
CAN 311193,1368,collector no./field no.
CAN 312111,1273,collector no./field no.
CAN 312119,769,collector no./field no.
CAN 312120,879,collector no./field no.
CAN 312122,1277,collector no./field no.
CAN 312128,667,collector no./field no.
CAN 312129,999,collector no./field no.
CAN 312153,697,collector no./field no.
CAN 312160,881,collector no./field no.
CAN 312166,964,collector no./field no.
CAN 312181,1093,collector no./field no.
CAN 312182,1008,collector no./field no.
CAN 312183,1090,collector no./field no.
CAN 312184,1031,collector no./field no.
CAN 312185,917,collector no./field no.
CAN 312186,675,collector no./field no.
CAN 312187,1318,collector no./field no.
CAN 312188,1123,collector no./field no.
CAN 312189,1216,collector no./field no.
CAN 312190,961,collector no./field no.
CAN 312191,668,collector no./field no.
CAN 312192,1065,collector no./field no.
CAN 312195,1289,collector no./field no.
CAN 312197,771,collector no./field no.
CAN 312199,719,collector no./field no.
CAN 312200,1233,collector no./field no.
CAN 312201,908,collector no./field no.
CAN 312208,685,collector no./field no.
CAN 312209,LOIS 224,previous number
CAN 312214,1011,collector no./field no.
CAN 312216,698,collector no./field no.
CAN 312227,516,collector no./field no.
CAN 312244,1207,collector no./field no.
CAN 312253,1257,collector no./field no.
CAN 312254,1258,collector no./field no.
CAN 312255,1269,collector no./field no.
CAN 312256,1280,collector no./field no.
CAN 312258,1274,collector no./field no.
CAN 312260,1273,collector no./field no.
CAN 312263,1260,collector no./field no.
CAN 312275,1296,collector no./field no.
CAN 312286,11254,collector no./field no.
CAN 312288,1209,collector no./field no.
CAN 312292,1287,collector no./field no.
CAN 312293,1297,collector no./field no.
CAN 312294,1242,collector no./field no.
CAN 312305,1203,collector no./field no.
CAN 312330,817,collector no./field no.
CAN 312334,788,collector no./field no.
CAN 312335,886,collector no./field no.
CAN 312337,1159,collector no./field no.
CAN 312345,452,collector no./field no.
CAN 312346,1252,collector no./field no.
CAN 312347,1186,collector no./field no.
CAN 312364,820,collector no./field no.
CAN 312366,,
CAN 312384,1188,collector no./field no.
CAN 312385,1129,collector no./field no.
CAN 312387,1161,collector no./field no.
CAN 312391,887,collector no./field no.
CAN 312392,1154,collector no./field no.
CAN 312393,986,collector no./field no.
CAN 312396,799,collector no./field no.
CAN 312423,806,collector no./field no.
CAN 312433,805,collector no./field no.
CAN 312441,1250,collector no./field no.
CAN 312451,,
CAN 312453,1245,collector no./field no.
CAN 312454,,
CAN 312462,1095,collector no./field no.
CAN 312485,1029,collector no./field no.
CAN 312504,653,collector no./field no.
CAN 312505,859,collector no./field no.
CAN 312543,763,collector no./field no.
CAN 312565,,
CAN 312566,,
CAN 312576,888,collector no./field no.
CAN 312597,1218,collector no./field no.
CAN 312598,1241,collector no./field no.
CAN 312599,1167,collector no./field no.
CAN 312612,MAPPED SJD,previous number
CAN 312613,MAPPED SJD,previous number
CAN 312614,MAPPED SJD,previous number
CAN 312615,MAPPED SJD,previous number
CAN 312617,MAPPED SJD,previous number
CAN 312618,MAPPED SJD,previous number
CAN 312619,MAPPED SJD,previous number
CAN 312620,MAPPED SJD,previous number
CAN 312621,947,collector no./field no.
CAN 312631,841,collector no./field no.
CAN 312632,1028,collector no./field no.
CAN 312633,968,collector no./field no.
CAN 312634,759,collector no./field no.
CAN 312635,842,collector no./field no.
CAN 312636,1023,collector no./field no.
CAN 312637,1223,collector no./field no.
CAN 312638,1031,collector no./field no.
CAN 312642,1142,collector no./field no.
CAN 312651,819,collector no./field no.
CAN 312674,1243,collector no./field no.
CAN 312675,672,collector no./field no.
CAN 312700,863,collector no./field no.
CAN 312701,500,collector no./field no.
CAN 312702,641,collector no./field no.
CAN 312704,1219,collector no./field no.
CAN 312705,1165,collector no./field no.
CAN 312706,1019,collector no./field no.
CAN 312721,1118,collector no./field no.
CAN 312722,996,collector no./field no.
CAN 312723,709,collector no./field no.
CAN 312724,956,collector no./field no.
CAN 312725,1085,collector no./field no.
CAN 312726,774,collector no./field no.
CAN 312727,569,collector no./field no.
CAN 312728,588,collector no./field no.
CAN 312729,1225,collector no./field no.
CAN 312730,965,collector no./field no.
CAN 312731,745,collector no./field no.
CAN 312732,622,collector no./field no.
CAN 312733,1224,collector no./field no.
CAN 312734,1025,collector no./field no.
CAN 312735,744,collector no./field no.
CAN 312736,602,collector no./field no.
CAN 312737,582,collector no./field no.
CAN 312738,766,collector no./field no.
CAN 312739,727,collector no./field no.
CAN 312740,1063,collector no./field no.
CAN 312741,1076,collector no./field no.
CAN 312742,773,collector no./field no.
CAN 312743,192,collector no./field no.
CAN 312744,655,collector no./field no.
CAN 312754,1058,collector no./field no.
CAN 312758,1068,collector no./field no.
CAN 312759,1067,collector no./field no.
CAN 312760,1033,collector no./field no.
CAN 312761,642,collector no./field no.
CAN 312764,967,collector no./field no.
CAN 312783,1150,collector no./field no.
CAN 312784,949,collector no./field no.
CAN 312785,1007,collector no./field no.
CAN 312797,1164,collector no./field no.
CAN 312798,505A,collector no./field no.
CAN 312799,1242,collector no./field no.
CAN 312800,862,collector no./field no.
CAN 312825,928,collector no./field no.
CAN 312850,710,collector no./field no.
CAN 312854,1166,collector no./field no.
CAN 312855,808,collector no./field no.
CAN 312875,876,collector no./field no.
CAN 312881,828,collector no./field no.
CAN 312896,532,collector no./field no.
CAN 312897,539,collector no./field no.
CAN 312903,1109,collector no./field no.
CAN 312904,719,collector no./field no.
CAN 312905,742,collector no./field no.
CAN 312907,747,collector no./field no.
CAN 312908,717,collector no./field no.
CAN 312909,930,collector no./field no.
CAN 312910,575,collector no./field no.
CAN 312911,660,collector no./field no.
CAN 312912,670,collector no./field no.
CAN 312913,694,collector no./field no.
CAN 312914,522,collector no./field no.
CAN 312915,488,collector no./field no.
CAN 312916,490,collector no./field no.
CAN 312917,1182,collector no./field no.
CAN 312918,694A,collector no./field no.
CAN 312919,883,collector no./field no.
CAN 312920,650,collector no./field no.
CAN 312921,913,collector no./field no.
CAN 312922,846,collector no./field no.
CAN 312923,712,collector no./field no.
CAN 312924,1034,collector no./field no.
CAN 312925,909,collector no./field no.
CAN 312926,1045,collector no./field no.
CAN 312927,466,collector no./field no.
CAN 312928,s.n.,collector no./field no.
CAN 312930,648,collector no./field no.
CAN 312931,1251,collector no./field no.
CAN 312932,981,collector no./field no.
CAN 312934,1097,collector no./field no.
CAN 312935,1117,collector no./field no.
CAN 312936,1052,collector no./field no.
CAN 312937,936,collector no./field no.
CAN 312938,687,collector no./field no.
CAN 312941,932,collector no./field no.
CAN 312943,1140,collector no./field no.
CAN 312944,628,collector no./field no.
CAN 312945,595,collector no./field no.
CAN 312946,1176,collector no./field no.
CAN 312947,733,collector no./field no.
CAN 312948,729,collector no./field no.
CAN 312949,901,collector no./field no.
CAN 312950,995,collector no./field no.
CAN 312951,971,collector no./field no.
CAN 312952,943,collector no./field no.
CAN 312953,659,collector no./field no.
CAN 312954,560,collector no./field no.
CAN 312955,1313,collector no./field no.
CAN 312978,953,collector no./field no.
CAN 312981,675,collector no./field no.
CAN 312984,669,collector no./field no.
CAN 312986,979,collector no./field no.
CAN 313008,547,collector no./field no.
CAN 313028,1062,collector no./field no.
CAN 313029,1091,collector no./field no.
CAN 313037,1073,collector no./field no.
CAN 313038,610,collector no./field no.
CAN 313039,620,collector no./field no.
CAN 313040,765,collector no./field no.
CAN 313057,1087,collector no./field no.
CAN 313058,1130,collector no./field no.
CAN 313059,992,collector no./field no.
CAN 313060,1228,collector no./field no.
CAN 313061,767,collector no./field no.
CAN 313064,851,collector no./field no.
CAN 313065,681,collector no./field no.
CAN 313066,1038,collector no./field no.
CAN 313067,1172,collector no./field no.
CAN 313076,870,collector no./field no.
CAN 313077,1143,collector no./field no.
CAN 313078,778,collector no./field no.
CAN 313079,1241,collector no./field no.
CAN 313080,1171,collector no./field no.
CAN 313081,1132,collector no./field no.
CAN 313082,1138,collector no./field no.
CAN 313087,1347,collector no./field no.
CAN 313089,981,collector no./field no.
CAN 313094,1211,collector no./field no.
CAN 313095,938,collector no./field no.
CAN 313096,903,collector no./field no.
CAN 313097,1105,collector no./field no.
CAN 313098,664,collector no./field no.
CAN 313227,26016,collector no./field no.
CAN 315153,,
CAN 315154,,
CAN 315156,,
CAN 315157,MAPPED SJD,previous number
CAN 315159,,
CAN 315160,s.n.,collector no./field no.
CAN 31558,54717,old CMN catalogue number format
CAN 31559,78816,old CMN catalogue number format
CAN 315958,23532,collector no./field no.
CAN 316164,5051,collector no./field no.
CAN 316168,5045,collector no./field no.
CAN 316216,5066,collector no./field no.
CAN 316222,5065,collector no./field no.
CAN 316223,5046,collector no./field no.
CAN 316224,5049,collector no./field no.
CAN 316225,5047,collector no./field no.
CAN 316249,122-66,collector no./field no.
CAN 316250,5035,collector no./field no.
CAN 316259,5064,collector no./field no.
CAN 316262,5062,collector no./field no.
CAN 316263,5069,collector no./field no.
CAN 316264,5068,collector no./field no.
CAN 316289,5017,collector no./field no.
CAN 316290,6013,collector no./field no.
CAN 316294,5053,collector no./field no.
CAN 316300,5048,collector no./field no.
CAN 316304,156-66,collector no./field no.
CAN 316305,155-66,collector no./field no.
CAN 316306,162-66,collector no./field no.
CAN 316307,160-66,collector no./field no.
CAN 316308,5061,collector no./field no.
CAN 316734,MAPPED SJD,previous number
CAN 316737,67-198A,collector no./field no.
CAN 316743,67-129(B),collector no./field no.
CAN 316756,67-33B,collector no./field no.
CAN 316759,67-301A,collector no./field no.
CAN 316764,67-164,collector no./field no.
CAN 316765,67-162A,collector no./field no.
CAN 316768,67-161C,collector no./field no.
CAN 316778,67-199A,collector no./field no.
CAN 316779,67-297A,collector no./field no.
CAN 316781,67-280,collector no./field no.
CAN 316789,67-163,collector no./field no.
CAN 316794,67-132A,collector no./field no.
CAN 316795,67-124(B)A,collector no./field no.
CAN 316801,67-303,collector no./field no.
CAN 316804,67-159A,collector no./field no.
CAN 316805,67-177A,collector no./field no.
CAN 316806,67-294A,collector no./field no.
CAN 316807,67-290,collector no./field no.
CAN 316808,67-302,collector no./field no.
CAN 316812,67-282,collector no./field no.
CAN 316813,67-301B,
CAN 316834,67-58A,collector no./field no.
CAN 316835,67-86,collector no./field no.
CAN 316843,67-330,collector no./field no.
CAN 316848,67-339A,collector no./field no.
CAN 316851,67-57A,collector no./field no.
CAN 316856,67-337,collector no./field no.
CAN 316857,67-338A,collector no./field no.
CAN 316860,MAPPED SJD,previous number
CAN 316866,67-210A,collector no./field no.
CAN 316867,67-219,collector no./field no.
CAN 316869,67-225A,collector no./field no.
CAN 316872,MAPPED SJD,previous number
CAN 316874,67-207A,collector no./field no.
CAN 316875,67-208A,collector no./field no.
CAN 316876,67-304,collector no./field no.
CAN 316878,67-216C,collector no./field no.
CAN 316880,67-217A,collector no./field no.
CAN 316881,67-213A,collector no./field no.
CAN 316882,67-222A,collector no./field no.
CAN 316890,67-109,collector no./field no.
CAN 316891,67-116,collector no./field no.
CAN 316896,67-114A,collector no./field no.
CAN 316897,67-120B,collector no./field no.
CAN 316899,67-125A,collector no./field no.
CAN 316901,67-120A,collector no./field no.
CAN 316904,67-87,collector no./field no.
CAN 316908,67-268,collector no./field no.
CAN 316909,MAPPED SJD,previous number
CAN 31693,11703,collector no./field no.
CAN 316933,67-264,collector no./field no.
CAN 316934,67-250,collector no./field no.
CAN 316938,67-261,collector no./field no.
CAN 31694,11397,collector no./field no.
CAN 316942,67-216B,collector no./field no.
CAN 316944,67-233A,collector no./field no.
CAN 316947,67-318,collector no./field no.
CAN 316948,67-324,collector no./field no.
CAN 316949,67-323,collector no./field no.
CAN 316950,67-269,collector no./field no.
CAN 316952,67-270B,collector no./field no.
CAN 316956,MAPPED SJD,previous number
CAN 31817,296A,collector no./field no.
CAN 318247,1376,collector no./field no.
CAN 318253,1372,collector no./field no.
CAN 318255,1374,collector no./field no.
CAN 318264,1384,collector no./field no.
CAN 318266,1386,collector no./field no.
CAN 318270,1357,collector no./field no.
CAN 318274,1362,collector no./field no.
CAN 318275,1363,collector no./field no.
CAN 318278,1368,collector no./field no.
CAN 318282,1328,collector no./field no.
CAN 318287,1336,collector no./field no.
CAN 318294,1325,collector no./field no.
CAN 318297,1353,collector no./field no.
CAN 318300,1345,collector no./field no.
CAN 318304,1337,collector no./field no.
CAN 318311,1389,collector no./field no.
CAN 318316,1492,collector no./field no.
CAN 318323,1484,collector no./field no.
CAN 318326,1481,collector no./field no.
CAN 318327,1480,collector no./field no.
CAN 318329,1478,collector no./field no.
CAN 318335,1498,collector no./field no.
CAN 318336,1499,collector no./field no.
CAN 318340,1503,collector no./field no.
CAN 318345,1473,collector no./field no.
CAN 318347,1471,collector no./field no.
CAN 318348,1470,collector no./field no.
CAN 318352,1465,collector no./field no.
CAN 318355,1468,collector no./field no.
CAN 318356,1469A,collector no./field no.
CAN 318357,1438,collector no./field no.
CAN 318362,,
CAN 318373,1401,collector no./field no.
CAN 318376,1446,collector no./field no.
CAN 318382,1432,collector no./field no.
CAN 318390,1441,collector no./field no.
CAN 318395,1444,collector no./field no.
CAN 318397,1447,collector no./field no.
CAN 318402,1456,collector no./field no.
CAN 318403,1457,collector no./field no.
CAN 318404,1458,collector no./field no.
CAN 318405,1459,collector no./field no.
CAN 318406,1460,collector no./field no.
CAN 318418,1414,collector no./field no.
CAN 318421,1410A,collector no./field no.
CAN 318424,1410,collector no./field no.
CAN 318425,1647,collector no./field no.
CAN 318426,1630,collector no./field no.
CAN 318433,1617,collector no./field no.
CAN 318437,1638,collector no./field no.
CAN 318447,1625,collector no./field no.
CAN 318450,1621A,collector no./field no.
CAN 318451,1613,collector no./field no.
CAN 318463,1507,collector no./field no.
CAN 318465,1583,collector no./field no.
CAN 318468,1580,collector no./field no.
CAN 318470,1578,collector no./field no.
CAN 318473,1575,collector no./field no.
CAN 318474,1574,collector no./field no.
CAN 318479,1568,collector no./field no.
CAN 318482,1526,collector no./field no.
CAN 318485,1523,collector no./field no.
CAN 318492,1516,collector no./field no.
CAN 318497,1508,collector no./field no.
CAN 318501,1601,collector no./field no.
CAN 318503,1605,collector no./field no.
CAN 318504,1603,collector no./field no.
CAN 318511,1584,collector no./field no.
CAN 318512,1612a,collector no./field no.
CAN 318513,1612A,collector no./field no.
CAN 318517,1608,collector no./field no.
CAN 318520,1461,collector no./field no.
CAN 318522,1597,collector no./field no.
CAN 318527,1587,collector no./field no.
CAN 318533,1669,collector no./field no.
CAN 318539,1957,collector no./field no.
CAN 318541,1660,collector no./field no.
CAN 318542,1659,collector no./field no.
CAN 318550,1651,collector no./field no.
CAN 318559,1557,collector no./field no.
CAN 318561,1543,collector no./field no.
CAN 318570,1555,collector no./field no.
CAN 318577,1545,collector no./field no.
CAN 318591,1748,collector no./field no.
CAN 318592,1746,collector no./field no.
CAN 318594,1857,collector no./field no.
CAN 318601,1864,collector no./field no.
CAN 318602,1866,collector no./field no.
CAN 318604,1868,collector no./field no.
CAN 318607,1752,collector no./field no.
