ID Number,OtherNumber,Type
CAN 105368,11162,collector no./field no.
CAN 105369,9228,collector no./field no.
CAN 105370,9231,collector no./field no.
CAN 105372,9477,collector no./field no.
CAN 105379,9860,collector no./field no.
CAN 105446,10411,collector no./field no.
CAN 105447,11015,collector no./field no.
CAN 105448,10865,collector no./field no.
CAN 105449,10967,collector no./field no.
CAN 105450,10189,collector no./field no.
CAN 105452,10523,collector no./field no.
CAN 105453,11644,collector no./field no.
CAN 105454,11639,collector no./field no.
CAN 105469,10092,collector no./field no.
CAN 105470,10152,collector no./field no.
CAN 105471,10194,collector no./field no.
CAN 105472,10094a,collector no./field no.
CAN 105570,10705,collector no./field no.
CAN 105571,10525,collector no./field no.
CAN 105572,10323,collector no./field no.
CAN 105573,10327,collector no./field no.
CAN 105574,10866,collector no./field no.
CAN 105575,571,collector no./field no.
CAN 105576,636,collector no./field no.
CAN 105577,573,collector no./field no.
CAN 105578,633,collector no./field no.
CAN 105579,733,collector no./field no.
CAN 105580,353,collector no./field no.
CAN 105584,10445,collector no./field no.
CAN 105585,10412,collector no./field no.
CAN 105588,9229,collector no./field no.
CAN 105589,9513,collector no./field no.
CAN 105590,9596,collector no./field no.
CAN 105591,9493,collector no./field no.
CAN 105592,9451,collector no./field no.
CAN 105612,10.633,collector no./field no.
CAN 105613,9.326,collector no./field no.
CAN 105614,10.325,collector no./field no.
CAN 105615,10.966,collector no./field no.
CAN 105616,10446,collector no./field no.
CAN 105617,10868,collector no./field no.
CAN 105618,11014,collector no./field no.
CAN 105619,10190,collector no./field no.
CAN 105620,737,collector no./field no.
CAN 105621,762,collector no./field no.
CAN 105622,578,collector no./field no.
CAN 105623,577,collector no./field no.
CAN 105624,576,collector no./field no.
CAN 105625,575,collector no./field no.
CAN 105626,316,collector no./field no.
CAN 105627,317,collector no./field no.
CAN 105628,499,collector no./field no.
CAN 105629,437,collector no./field no.
CAN 105630,436,collector no./field no.
CAN 105631,543,collector no./field no.
CAN 105632,544,collector no./field no.
CAN 105633,542,collector no./field no.
CAN 105634,739,collector no./field no.
CAN 105635,740,collector no./field no.
CAN 105636,741,collector no./field no.
CAN 105637,639,collector no./field no.
CAN 105638,603,collector no./field no.
CAN 105639,,
CAN 105640,10526,collector no./field no.
CAN 105641,10866b,collector no./field no.
CAN 105642,10.415,collector no./field no.
CAN 105732,10584,collector no./field no.
CAN 105734,435,collector no./field no.
CAN 105755,10585,collector no./field no.
CAN 105757,9255,collector no./field no.
CAN 105758,9381,collector no./field no.
CAN 105759,9815,collector no./field no.
CAN 105760,10089,collector no./field no.
CAN 105761,9953,collector no./field no.
CAN 105762,9414,collector no./field no.
CAN 105763,10150,collector no./field no.
CAN 105764,233,collector no./field no.
CAN 105765,262,collector no./field no.
CAN 105766,263,collector no./field no.
CAN 105767,138,collector no./field no.
CAN 105768,68,collector no./field no.
CAN 105769,31,collector no./field no.
CAN 105809,11099,collector no./field no.
CAN 105810,11273,collector no./field no.
CAN 105811,11755,collector no./field no.
CAN 105812,11.640,collector no./field no.
CAN 105813,11779,collector no./field no.
CAN 105814,11778,collector no./field no.
CAN 105815,10154,collector no./field no.
CAN 105816,10964,collector no./field no.
CAN 105817,10524,collector no./field no.
CAN 105818,11050,collector no./field no.
CAN 105819,11156,collector no./field no.
CAN 105820,11013,collector no./field no.
CAN 105821,699,collector no./field no.
CAN 105822,700,collector no./field no.
CAN 105823,137,collector no./field no.
CAN 105824,230,collector no./field no.
CAN 106033,698,collector no./field no.
CAN 106034,11272,collector no./field no.
CAN 106035,11274,collector no./field no.
CAN 106036,11392,collector no./field no.
CAN 106037,11780,collector no./field no.
CAN 106038,11641,collector no./field no.
CAN 106039,10151,collector no./field no.
CAN 106040,10448,collector no./field no.
CAN 106041,10232,collector no./field no.
CAN 106042,10231,collector no./field no.
CAN 106043,10586,collector no./field no.
CAN 106044,11155,collector no./field no.
CAN 106045,11052A,collector no./field no.
CAN 106046,11051,collector no./field no.
CAN 106047,11377,collector no./field no.
CAN 106048,10447,collector no./field no.
CAN 106049,10191,collector no./field no.
CAN 106050,10965,collector no./field no.
CAN 106099,9954,collector no./field no.
CAN 106100,11011,collector no./field no.
CAN 106101,11271,collector no./field no.
CAN 106113,11012,collector no./field no.
CAN 106114,10.192,collector no./field no.
CAN 106115,11098,collector no./field no.
CAN 106116,11642,collector no./field no.
CAN 106117,11756,collector no./field no.
CAN 106121,8384,collector no./field no.
CAN 106131,11.052,collector no./field no.
CAN 106137,10153,collector no./field no.
CAN 106138,10091,collector no./field no.
CAN 106151,9938,collector no./field no.
CAN 1062,LOIS 52,previous number
CAN 1063,LOIS 8,previous number
CAN 1064,LOIS 8,previous number
CAN 1065,LOIS 8,previous number
CAN 1066,LOIS 10,previous number
CAN 1067,LOIS 225,previous number
CAN 1068,LOIS 225,previous number
CAN 107246,363,collector no./field no.
CAN 107247,131,collector no./field no.
CAN 107248,5189,collector no./field no.
CAN 107250,79026,collector no./field no.
CAN 107251,79025,collector no./field no.
CAN 107350,358,collector no./field no.
CAN 107450,11581,collector no./field no.
CAN 107451,10078,collector no./field no.
CAN 107452,10417,collector no./field no.
CAN 107453,10869,collector no./field no.
CAN 107454,47,collector no./field no.
CAN 107455,414,collector no./field no.
CAN 107456,144,collector no./field no.
CAN 107457,230,collector no./field no.
CAN 107458,97717,collector no./field no.
CAN 107460,351,collector no./field no.
CAN 107461,100,collector no./field no.
CAN 107462,237,collector no./field no.
CAN 107463,127584,collector no./field no.
CAN 107464,130,collector no./field no.
CAN 107465,66,collector no./field no.
CAN 107466,194,collector no./field no.
CAN 107467,9515,collector no./field no.
CAN 107468,9623,collector no./field no.
CAN 107469,9101,collector no./field no.
CAN 107470,14189,collector no./field no.
CAN 107532,12142,collector no./field no.
CAN 107639,7114,collector no./field no.
CAN 107654,,
CAN 107657,62231,old CMN catalogue number format
