speckey,scientific_name,variation
1095407,Geraniales,xxGeraniales
1094074,Euphorbia,xxEuphorbia
1094094,Euphorbia cyparissias,xxEuphorbia cyparissias
1009915,Ditrichaceae,xxDitrichaceae
1010078,Grimmiaceae,xxGrimmiaceae
1084661,Lecythidales,xxLecythidales
1084137,Malvales,xxMalvales
1084218,Bombacaceae,xxBombacaceae
1094689,Polygalales,xxPolygalales
1084763,Bixa orellana,xxBixa orellana
1085142,Cucurbitaceae,xxCucurbitaceae
1147430,Lepidodendron,xxLepidodendron
1078232,Cystopteris,xxCystopteris
1094690,Malpighiaceae,xxMalpighiaceae
