speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1150639,Pluvialis apricaria,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Charadriidae; Pluvialis,12,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150640,Pluvialis dominica,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Charadriidae; Pluvialis,210,207,"{:nil=>193, :B=>1, :E=>5, :S=>7, :T=>1, :Z=>0}"
1150641,Pluvialis fulva,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Charadriidae; Pluvialis,13,9,"{:nil=>8, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150642,Pluvialis squatarola,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Charadriidae; Pluvialis,284,237,"{:nil=>212, :B=>5, :E=>6, :S=>11, :T=>3, :Z=>0}"
1150661,Cursorius temminckii,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Glareolidae; Cursorius,4,0,
1150663,Glareola pratincola,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Glareolidae; Glareola,3,0,
1167575,Rhinoptilus chalcopterus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Glareolidae; Rhinoptilus,1,0,
1150713,Phaetusa simplex,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Phaetusa,1,0,
1150715,Rhodostethia rosea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Rhodostethia,30,29,"{:nil=>23, :B=>0, :E=>3, :S=>3, :T=>0, :Z=>0}"
1124466,Rissa brevirostris,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Rissa,1,1,"{:nil=>0, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150717,Rissa tridactyla,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Rissa,294,276,"{:nil=>206, :B=>1, :E=>25, :S=>37, :T=>4, :Z=>3}"
1150719,Rynchops niger,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Rynchops,24,24,"{:nil=>13, :B=>0, :E=>10, :S=>1, :T=>0, :Z=>0}"
1150673,Stercorarius antarcticus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,2,0,
1150674,Stercorarius antarcticus lonnbergi,,subspecies,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius; Stercorarius antarcticus,1,0,
1150675,Stercorarius maccormicki,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,4,2,"{:nil=>2, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150676,Stercorarius skua,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,16,9,"{:nil=>9, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150721,Stercorarius longicaudus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,221,221,"{:nil=>190, :B=>1, :E=>8, :S=>21, :T=>1, :Z=>0}"
1150740,Xema sabini,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Xema,113,111,"{:nil=>89, :B=>1, :E=>19, :S=>1, :T=>1, :Z=>0}"
1150686,Leucophaeus atricilla,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Leucophaeus,12,12,"{:nil=>8, :B=>0, :E=>3, :S=>1, :T=>0, :Z=>0}"
1150706,Leucophaeus pipixcan,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Leucophaeus,88,88,"{:nil=>74, :B=>1, :E=>8, :S=>2, :T=>3, :Z=>0}"
1150709,Leucophaeus scoresbii,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Leucophaeus,2,0,
1150703,Hydrocoloeus minutus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Hydrocoloeus,3,1,"{:nil=>0, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150705,Chroicocephalus philadelphia,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chroicocephalus,163,160,"{:nil=>146, :B=>2, :E=>5, :S=>6, :T=>0, :Z=>1}"
1150707,Chroicocephalus ridibundus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chroicocephalus,12,2,"{:nil=>1, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1167576,Chroicocephalus genei,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chroicocephalus,3,0,
1124495,Anous stolidus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Anous,2,0,
1124496,Anous minutus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Anous,2,0,
1124500,Gygis alba,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Gygis,1,0,
1150678,Chlidonias hybrida,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chlidonias,4,0,
1150679,Chlidonias leucopterus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chlidonias,3,2,"{:nil=>2, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150680,Chlidonias niger,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Chlidonias,152,150,"{:nil=>109, :B=>3, :E=>29, :S=>4, :T=>5, :Z=>0}"
1150682,Larus argentatus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,572,523,"{:nil=>397, :B=>1, :E=>51, :S=>58, :T=>11, :Z=>5}"
1150683,Larus argentatus × glaucescens,,hybrid,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150684,Larus argentatus × hyperboreus,,hybrid,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,6,6,"{:nil=>5, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150697,Larus glaucoides thayeri,,subspecies,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus; Larus glaucoides,261,260,"{:nil=>210, :B=>0, :E=>9, :S=>40, :T=>1, :Z=>0}"
1150698,Larus heermanni,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,17,16,"{:nil=>15, :B=>0, :E=>0, :S=>0, :T=>1, :Z=>0}"
1150700,Larus hyperboreus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,357,344,"{:nil=>273, :B=>1, :E=>32, :S=>38, :T=>0, :Z=>0}"
1150702,Larus marinus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,99,93,"{:nil=>63, :B=>1, :E=>8, :S=>15, :T=>1, :Z=>5}"
1150704,Larus occidentalis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,17,16,"{:nil=>12, :B=>0, :E=>4, :S=>0, :T=>0, :Z=>0}"
1150708,Larus schistisagus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,3,1,"{:nil=>0, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1167580,Larus crassirostris,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,1,0,
1185742,Larus glaucescens × occidentalis,,hybrid,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150711,Pagophila eburnea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Pagophila,79,73,"{:nil=>32, :B=>1, :E=>33, :S=>7, :T=>0, :Z=>0}"
1150685,Larus argentatus × marinus,,hybrid,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,4,4,"{:nil=>3, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150687,Larus michahellis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,2,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150688,Larus californicus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,46,45,"{:nil=>33, :B=>0, :E=>10, :S=>2, :T=>0, :Z=>0}"
1150690,Larus canus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,114,104,"{:nil=>90, :B=>1, :E=>3, :S=>9, :T=>1, :Z=>0}"
1150691,Larus delawarensis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,382,355,"{:nil=>220, :B=>2, :E=>35, :S=>84, :T=>10, :Z=>4}"
1150692,Larus dominicanus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,4,0,
1150693,Larus fuscus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,31,11,"{:nil=>9, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1167582,Larus fuscus heuglini,,subspecies,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus; Larus fuscus,1,0,
1150694,Larus glaucescens,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,76,72,"{:nil=>45, :B=>0, :E=>6, :S=>19, :T=>2, :Z=>0}"
1150695,Larus glaucoides,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Larus,170,168,"{:nil=>153, :B=>0, :E=>7, :S=>8, :T=>0, :Z=>0}"
1150722,Stercorarius parasiticus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,134,131,"{:nil=>111, :B=>1, :E=>11, :S=>5, :T=>3, :Z=>0}"
1150723,Stercorarius pomarinus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Stercorarius,54,50,"{:nil=>47, :B=>0, :E=>1, :S=>2, :T=>0, :Z=>0}"
1150728,Sterna dougallii,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,9,8,"{:nil=>5, :B=>0, :E=>2, :S=>0, :T=>1, :Z=>0}"
1150729,Sterna forsteri,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,29,29,"{:nil=>21, :B=>2, :E=>6, :S=>0, :T=>0, :Z=>0}"
1150731,Sterna hirundinacea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,1,0,
1150732,Sterna hirundo,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,240,234,"{:nil=>163, :B=>1, :E=>57, :S=>9, :T=>2, :Z=>2}"
1150735,Sterna paradisaea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,264,249,"{:nil=>194, :B=>1, :E=>30, :S=>18, :T=>5, :Z=>1}"
1150738,Sterna vittata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,3,0,
1167584,Sterna aurantia,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,2,0,
1167586,Sterna sumatrana,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sterna,2,0,
1167579,Ichthyaetus melanocephalus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Ichthyaetus,2,0,
1124480,Thalasseus elegans,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Thalasseus,1,0,
1150733,Thalasseus maximus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Thalasseus,9,7,"{:nil=>4, :B=>0, :E=>3, :S=>0, :T=>0, :Z=>0}"
1150736,Thalasseus sandvicensis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Thalasseus,8,5,"{:nil=>3, :B=>0, :E=>2, :S=>0, :T=>0, :Z=>0}"
1124488,Onychoprion lunatus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Onychoprion,1,0,
1124489,Onychoprion anaethetus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Onychoprion,2,0,
1150725,Onychoprion aleuticus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Onychoprion,4,4,"{:nil=>1, :B=>0, :E=>3, :S=>0, :T=>0, :Z=>0}"
1150730,Onychoprion fuscatus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Onychoprion,13,0,
1150727,Hydroprogne caspia,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Hydroprogne,41,40,"{:nil=>20, :B=>1, :E=>10, :S=>4, :T=>5, :Z=>0}"
1150726,Sternula antillarum,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sternula,13,11,"{:nil=>4, :B=>0, :E=>7, :S=>0, :T=>0, :Z=>0}"
1150596,Alca torda,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Alca,132,124,"{:nil=>84, :B=>1, :E=>24, :S=>4, :T=>10, :Z=>1}"
1150598,Alle alle,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Alle,150,52,"{:nil=>41, :B=>2, :E=>0, :S=>8, :T=>1, :Z=>0}"
1150601,Brachyramphus brevirostris,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Brachyramphus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150602,Brachyramphus marmoratus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Brachyramphus,45,44,"{:nil=>43, :B=>0, :E=>0, :S=>0, :T=>1, :Z=>0}"
1150603,Brachyramphus perdix,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Brachyramphus,3,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1124330,Jacana spinosa,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Jacanidae; Jacana,1,0,
1150671,Jacana jacana,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Jacanidae; Jacana,5,0,
1167566,Actophilornis africanus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Jacanidae; Actophilornis,1,0,
1167568,Irediparra gallinacea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Jacanidae; Irediparra,1,0,
1150752,Rostratula benghalensis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Rostratulidae; Rostratula,4,0,
1150737,Sternula superciliaris,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sternula,1,0,
1167585,Sternula albifrons,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Sternula,2,0,
1150734,Gelochelidon nilotica,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Laridae; Gelochelidon,8,7,"{:nil=>2, :B=>0, :E=>5, :S=>0, :T=>0, :Z=>0}"
1150591,Aethia cristatella,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Aethia,7,4,"{:nil=>3, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150592,Aethia psittacula,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Aethia,5,5,"{:nil=>3, :B=>0, :E=>1, :S=>0, :T=>1, :Z=>0}"
1150593,Aethia pusilla,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Aethia,9,8,"{:nil=>2, :B=>0, :E=>4, :S=>1, :T=>1, :Z=>0}"
1150594,Aethia pygmaea,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Aethia,5,5,"{:nil=>5, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150605,Cepphus columba,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Cepphus,54,47,"{:nil=>29, :B=>0, :E=>10, :S=>8, :T=>0, :Z=>0}"
1150606,Cepphus grylle,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Cepphus,475,460,"{:nil=>346, :B=>2, :E=>50, :S=>55, :T=>7, :Z=>0}"
1150759,Bartramia longicauda,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Bartramia,93,91,"{:nil=>80, :B=>1, :E=>6, :S=>4, :T=>0, :Z=>0}"
1150803,Numenius americanus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,51,44,"{:nil=>23, :B=>3, :E=>13, :S=>3, :T=>2, :Z=>0}"
1150804,Numenius arquata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,12,0,
1150805,Numenius borealis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,4,3,"{:nil=>3, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150806,Numenius madagascariensis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,1,0,
1150807,Numenius minutus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,1,0,
1150808,Numenius phaeopus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,116,104,"{:nil=>91, :B=>1, :E=>4, :S=>4, :T=>4, :Z=>0}"
1150809,Numenius tahitiensis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150810,Numenius tenuirostris,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Numenius,1,0,
1150797,Limosa fedoa,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Limosa,124,80,"{:nil=>66, :B=>2, :E=>4, :S=>4, :T=>4, :Z=>0}"
1150608,Cerorhinca monocerata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Cerorhinca,20,20,"{:nil=>16, :B=>0, :E=>1, :S=>2, :T=>1, :Z=>0}"
1150610,Fratercula arctica,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Fratercula,124,120,"{:nil=>69, :B=>1, :E=>40, :S=>6, :T=>4, :Z=>0}"
1150611,Fratercula cirrhata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Fratercula,21,17,"{:nil=>9, :B=>0, :E=>6, :S=>1, :T=>1, :Z=>0}"
1150612,Fratercula corniculata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Fratercula,5,4,"{:nil=>3, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150614,Pinguinus impennis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Pinguinus,8,3,"{:nil=>0, :B=>0, :E=>0, :S=>0, :T=>3, :Z=>0}"
1150616,Ptychoramphus aleuticus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Ptychoramphus,15,14,"{:nil=>10, :B=>1, :E=>2, :S=>0, :T=>1, :Z=>0}"
1150618,Synthliboramphus antiquus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Synthliboramphus,25,24,"{:nil=>21, :B=>1, :E=>1, :S=>0, :T=>1, :Z=>0}"
1167588,Synthliboramphus scrippsi,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Synthliboramphus,2,0,
1150620,Uria aalge,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Uria,284,260,"{:nil=>196, :B=>2, :E=>27, :S=>18, :T=>14, :Z=>3}"
1150621,Uria lomvia,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Alcidae; Uria,354,340,"{:nil=>271, :B=>2, :E=>27, :S=>35, :T=>0, :Z=>5}"
1150793,Gallinago stenura,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1183370,Gallinago delicata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,2,1,"{:nil=>0, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150802,Lymnocryptes minimus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Lymnocryptes,5,0,
1150817,Scolopax rusticola,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Scolopax,9,0,
1150816,Scolopax minor,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Scolopax,179,174,"{:nil=>128, :B=>1, :E=>13, :S=>26, :T=>3, :Z=>3}"
1150743,Syrrhaptes tibetanus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Pteroclididae; Syrrhaptes,1,0,
1167621,Pterocles alchata,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Pteroclididae; Pterocles,2,0,
1167622,Pterocles orientalis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Pteroclididae; Pterocles,1,0,
1167623,Pterocles quadricinctus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Pteroclididae; Pterocles,1,0,
1150798,Limosa haemastica,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Limosa,66,63,"{:nil=>61, :B=>1, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150799,Limosa lapponica,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Limosa,6,3,"{:nil=>3, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150800,Limosa limosa,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Limosa,9,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150818,Tringa erythropus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,5,0,
1150819,Tringa flavipes,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,229,223,"{:nil=>197, :B=>2, :E=>5, :S=>12, :T=>5, :Z=>2}"
1150820,Tringa glareola,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,5,0,
1150821,Tringa melanoleuca,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,222,218,"{:nil=>194, :B=>1, :E=>5, :S=>18, :T=>0, :Z=>0}"
1150822,Tringa nebularia,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,8,0,
1150823,Tringa ochropus,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,12,0,
1150824,Tringa solitaria,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Tringa,284,280,"{:nil=>271, :B=>2, :E=>2, :S=>4, :T=>1, :Z=>0}"
1174910,Coenocorypha aucklandica pusilla,,subspecies,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Coenocorypha; Coenocorypha aucklandica,1,0,
1150785,Gallinago gallinago,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,285,271,"{:nil=>224, :B=>2, :E=>16, :S=>23, :T=>5, :Z=>1}"
1150786,Gallinago hardwickii,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1150787,Gallinago jamesoni,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1150788,Gallinago media,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,2,0,
1150789,Gallinago megala,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1150790,Gallinago nobilis,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1150791,Gallinago paraguaiae,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,1,0,
1150792,Gallinago solitaria,,species,Animalia; Chordata; Vertebrata; Aves; Charadriiformes; Scolopacidae; Gallinago,3,0,
1150886,Chalcophaps indica,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Chalcophaps,3,0,
1150888,Claravis pretiosa,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Claravis,4,0,
1150893,Columba livia,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columba,68,62,"{:nil=>8, :B=>0, :E=>9, :S=>22, :T=>22, :Z=>1}"
1150894,Columba oenas,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columba,4,0,
1150895,Columba palumbus,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columba,7,0,
1150897,Columba rupestris,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columba,2,0,
1150910,Leptotila jamaicensis,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Leptotila,3,0,
1150911,Leptotila rufaxilla,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Leptotila,3,0,
1150913,Macropygia phasianella,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Macropygia,1,0,
1124561,Streptopelia risoria,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,3,2,"{:nil=>0, :B=>0, :E=>0, :S=>1, :T=>1, :Z=>0}"
1150915,Streptopelia decaocto,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,2,0,
1150916,Streptopelia semitorquata,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,2,0,
1150917,Streptopelia senegalensis,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,3,0,
1150918,Streptopelia turtur,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,3,0,
1167627,Streptopelia capicola,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Streptopelia,1,0,
1167626,Columba arquatrix,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columba,1,0,
1124572,Columbina inca,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columbina,2,1,"{:nil=>0, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150900,Columbina minuta,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columbina,3,0,
1150901,Columbina passerina,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columbina,10,3,"{:nil=>2, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1150902,Columbina squammata,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columbina,3,0,
1150903,Columbina talpacoti,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Columbina,4,0,
1150905,Ectopistes migratorius,,species,Animalia; Chordata; Vertebrata; Aves; Columbiformes; Columbidae; Ectopistes,18,12,"{:nil=>8, :B=>1, :E=>3, :S=>0, :T=>0, :Z=>0}"
