speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1151034,Haliaeetus leucocephalus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,57,53,"{:nil=>36, :B=>2, :E=>4, :S=>6, :T=>3, :Z=>2}"
1167522,Haliaeetus leucogaster,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,1,0,
1167523,Haliaeetus leucoryphus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Haliaeetus,1,0,
1167524,Gyps himalayensis,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Gyps,1,0,
501302,Terathopius ecaudatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Terathopius,1,0,
1167398,Tinamus major,,species,Animalia; Chordata; Vertebrata; Aves; Tinamiformes; Tinamidae; Tinamus,1,0,
1151086,Leipoa ocellata,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Megapodiidae; Leipoa,1,0,
1151088,Megapodius reinwardt,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Megapodiidae; Megapodius,2,0,
1151084,Pipile jacutinga,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Cracidae; Pipile,1,0,
1151092,Callipepla californica,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Odontophoridae; Callipepla,32,31,"{:nil=>24, :B=>0, :E=>5, :S=>0, :T=>2, :Z=>0}"
1151093,Callipepla gambelii,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Odontophoridae; Callipepla,4,2,"{:nil=>0, :B=>0, :E=>2, :S=>0, :T=>0, :Z=>0}"
1151094,Callipepla squamata,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Odontophoridae; Callipepla,5,5,"{:nil=>4, :B=>0, :E=>1, :S=>0, :T=>0, :Z=>0}"
1151026,Circus aeruginosus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Circus,2,0,
1151027,Circus cyaneus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Circus,172,168,"{:nil=>131, :B=>2, :E=>22, :S=>10, :T=>3, :Z=>0}"
1151029,Circus pygargus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Circus,3,0,
1167527,Kaupifalco monogrammicus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Kaupifalco,1,0,
1151038,Melierax metabates,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Melierax,1,0,
1167528,Micronisus gabar,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Micronisus,1,0,
502658,Accipiter tachiro,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,1,0,
502659,Accipiter fasciatus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,4,0,
502660,Accipiter minullus,,species,Animalia; Chordata; Vertebrata; Aves; Accipitriformes; Accipitridae; Accipiter,1,0,
1151116,Gallus lafayetii,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Gallus,1,0,
1151118,Gallus gallus × Phasianus colchicus,,hybrid,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Gallus × Phasianus,1,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151120,Lophophorus impejanus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Lophophorus,2,0,
1151122,Lophura nycthemera,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Lophura,2,0,
1151124,Pavo cristatus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Pavo,9,5,"{:nil=>2, :B=>0, :E=>2, :S=>1, :T=>0, :Z=>0}"
1151126,Perdix dauurica,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Perdix,1,0,
1151106,Alectoris chukar,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Alectoris,21,14,"{:nil=>8, :B=>1, :E=>0, :S=>1, :T=>4, :Z=>0}"
1151107,Alectoris rufa,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Alectoris,6,0,
1151109,Chrysolophus amherstiae,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Chrysolophus,3,3,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>2, :Z=>0}"
1151110,Chrysolophus pictus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Chrysolophus,7,4,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>3, :Z=>0}"
1124194,Coturnix japonica,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Coturnix,1,0,
