id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNAR 2062,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"",Shearman,"North America: Canada, Ontario, Ottawa (metro)",1942-08-17,,,"",Ottawa,"",45.416667,-75.683333,,
CMNAR 20762,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,56,,FWS9958,"Schueler, Frederick W.","North America: Canada, Alberta",1980-08-09,,,1980-379,"35.2 km. SE. of Hinton, Forestry Trunk Road","",53.133333,-116.9,,
CMNAR 20764,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,4,,FWS9960,"Schueler, Frederick W.","North America: Canada, Alberta",1980-08-09,,,1980-379,"37.2 km. SE. of Hinton, Forestry Trunk Road","",53.116667,-116.883333,,
CMNAR 20769,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,FWS9970,"Schueler, Frederick W.","North America: Canada, Alberta",1980-08-10,,,1980-379,"Coalspur Campsite, Forestry Trunk Road","",53.183333,-117.05,,
CMNAR 2087,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Rand, Austin L.","North America: Canada, Alberta",1945-07,,,"",Cypress Hills,"",49.633333,-110.2,,
CMNAR 20903,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,4,,"","Ross, Franklin D.; Baird, S.F.","North America: Canada, Manitoba",1980-05-27,,,1981-018,4 rd. km. W. of jct. Hwys. 391 & 392,"",54.616667,-99.85,,
CMNAR 20909,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,"","Ross, Franklin D.; Baird, S.F.","North America: Canada, Manitoba",1980-05-28,,,1981-018,58 rd. km. W. of jct. Hwy. 327 & Easterville Rd.,"",53.166667,-100.433333,,
CMNAR 20934,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,FWS5037,"Schueler, Frederick W.","North America: Canada, Ontario, Wellington Co. (ON)",1975-05-07,,,1975-300,"3 km. NW. of Oustic, Eramosa Twp.","",43.720833,-80.2925,,
CMNAR 20936,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,FWS5039,"Schueler, Frederick W.","North America: Canada, Ontario, Wellington Co. (ON)",1975-05-07,,,1975-300,"0.6 km. SE. of Oustic, Eramosa Twp.","",43.693889,-80.25,,
CMNAR 20938,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,2,,FWS5048,"Schueler, Frederick W.","North America: Canada, Ontario, Wellington Co. (ON)",1975-05-10,,,1975-300,"~ 3.5 km. WSW. of Oustic, Eramosa Twp.","",43.670833,-80.283333,,
CMNAR 20942,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,3,,FWS5060,"Schueler, Frederick W.","North America: Canada, Ontario, Wellington Co. (ON)",1975-05-11,,,1975-300,"5 km. WNW. of Oustic, Eramosa Twp.","",43.705556,-80.313333,,
CMNAR 21001,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Cook, Thomas W.; Schueler, Frederick W.; Karstad Schueler, Aleta","North America: Canada, Ontario, Leeds and Grenville United Co.",1979-10-20,,,1980-254,"Driveway, Maplestone Farm, 1.6 km. W. & 1.3 km. S. of Bishops Mills","",44.861111,-75.720833,,
CMNAR 21006,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,FWS9202,"Schueler, Frederick W.","North America: Canada, Ontario, Leeds and Grenville United Co.",1979-10-05,,,1980-279,"Old Hwy. 16, 3 km. N. of Kemptville","",45.041667,-75.675,,
CMNAR 21052,Pseudacris triseriata,Pseudacris triseriata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,2,,FWS9645,"Schueler, Frederick W.","North America: Canada, Ontario, Norfolk (ON)",1980-04-30,,,1981-,"Distal end of Squire's Ridge, Long Point","",42.5625,-80.220833,,
