id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
3446,1,catalogue,Loan to Printzen -Catillaria melanopotamica types,PUBLIC,,MBOUCHARD,,,2013-12-16 16:57:43 UTC,MBOUCHARD,2013-12-16 16:58:13 UTC
3447,1,catalogue,Loan to Printzen - Catillaria phaeolomiza,PUBLIC,,MBOUCHARD,,,2013-12-16 16:58:59 UTC,MBOUCHARD,2013-12-16 17:01:14 UTC
3512,1,catalogue,Test for Karen,PUBLIC,,MBOUCHARD,,,2014-01-21 11:30:50 UTC,MBOUCHARD,2014-01-21 11:30:54 UTC
3513,1,catalogue,Test,PRIVATE,Count my entries,MBOUCHARD,,,2014-01-22 14:01:10 UTC,,
3514,1,catalogue,Bennett lot,PUBLIC,,MBOUCHARD,,,2014-01-22 15:30:18 UTC,MBOUCHARD,2014-01-22 15:46:33 UTC
3519,1,catalogue,Arenaria rossii ssp. elegans for Shan.,PUBLIC,,MBOUCHARD,,,2014-01-27 15:04:08 UTC,MBOUCHARD,2014-01-28 17:02:19 UTC
3530,1,catalogue,Loan of Viola novae-angliae for Ballard,PUBLIC,,MBOUCHARD,,,2014-01-30 09:39:34 UTC,MBOUCHARD,2014-01-30 12:59:39 UTC
3541,1,catalogue,Extra,PUBLIC,,MBOUCHARD,,,2014-02-03 13:17:28 UTC,,
3551,1,catalogue,Xylographa loan to Spribille - 2014,PUBLIC,,MBOUCHARD,,,2014-02-05 09:06:00 UTC,MBOUCHARD,2014-02-05 10:34:40 UTC
3555,1,catalogue,A2010.0096,PUBLIC,,MBOUCHARD,,,2014-02-06 08:47:54 UTC,MBOUCHARD,2014-02-06 08:48:51 UTC
3567,1,catalogue,Oldham dup labels,PUBLIC,,MBOUCHARD,,,2014-02-10 13:15:16 UTC,MBOUCHARD,2014-02-11 14:15:53 UTC
3572,1,catalogue,Armeria loan to QC,PUBLIC,,MBOUCHARD,,,2014-02-11 11:53:49 UTC,MBOUCHARD,2014-02-13 15:57:33 UTC
3599,1,catalogue,Loan to Thailand,PUBLIC,,MBOUCHARD,,,2014-02-18 15:22:56 UTC,MBOUCHARD,2014-02-18 16:07:04 UTC
3605,1,catalogue,Duplicate label for Brinker,PUBLIC,,MBOUCHARD,,,2014-02-19 11:52:38 UTC,MBOUCHARD,2014-02-19 11:54:34 UTC
3628,1,catalogue,Dup of CANL 9035,PUBLIC,,MBOUCHARD,,,2014-02-26 10:34:40 UTC,MBOUCHARD,2014-02-27 08:12:44 UTC
3651,1,catalogue,"Dup CANM 330717,330808",PUBLIC,,MBOUCHARD,,,2014-03-05 14:51:58 UTC,MBOUCHARD,2014-03-05 14:52:19 UTC
3681,1,catalogue,Sokoloff loan Nature Talk 2014-03-18,PUBLIC,,MBOUCHARD,,,2014-03-14 16:58:21 UTC,MBOUCHARD,2014-03-14 17:05:27 UTC
3683,1,catalogue,Phalaris loan for DAO,PUBLIC,,MBOUCHARD,,,2014-03-17 14:47:11 UTC,MBOUCHARD,2014-05-22 13:23:30 UTC
3696,1,catalogue,Acorus loan to Cornell,PUBLIC,,MBOUCHARD,,,2014-03-24 10:40:35 UTC,MBOUCHARD,2014-04-09 07:55:45 UTC
3704,1,catalogue,Troy McMullin lichen loan,PUBLIC,,MBOUCHARD,,,2014-03-26 10:04:39 UTC,MBOUCHARD,2014-03-26 10:07:11 UTC
3719,1,catalogue,A2014.0002 CANM,PUBLIC,,MBOUCHARD,,,2014-04-01 15:04:37 UTC,MBOUCHARD,2014-04-01 15:04:44 UTC
3723,1,catalogue,Edible Arctic loan,PUBLIC,,MBOUCHARD,,,2014-04-02 13:53:27 UTC,MBOUCHARD,2014-04-02 14:15:09 UTC
3725,1,catalogue,Arctic Festival loan - CANM,PUBLIC,,MBOUCHARD,,,2014-04-02 17:29:21 UTC,MBOUCHARD,2014-04-02 17:38:26 UTC
3726,1,catalogue,Arctic Festival loan - CAN,PUBLIC,,MBOUCHARD,,,2014-04-02 17:32:03 UTC,MBOUCHARD,2014-04-02 17:35:34 UTC
3727,1,catalogue,Arctic Festival loan - CANL,PUBLIC,,MBOUCHARD,,,2014-04-02 17:38:57 UTC,MBOUCHARD,2014-04-02 17:39:30 UTC
3735,1,catalogue,Lendemer loan Porpidia,PUBLIC,,MBOUCHARD,,,2014-04-07 08:17:50 UTC,MBOUCHARD,2014-04-07 09:52:48 UTC
3761,1,catalogue,DAO loan Agropyron-Elaeagnus,PUBLIC,,MBOUCHARD,,,2014-04-14 15:05:18 UTC,MBOUCHARD,2014-04-24 15:55:28 UTC
3778,1,catalogue,Dup of CANM HBL,PUBLIC,,MBOUCHARD,,,2014-04-22 17:23:31 UTC,MBOUCHARD,2014-04-22 17:28:44 UTC
3782,1,catalogue,Dup CANM HBL,PUBLIC,,MBOUCHARD,,,2014-04-23 10:04:47 UTC,MBOUCHARD,2014-04-23 10:05:54 UTC
3810,1,catalogue,Loan returned from QFA,PUBLIC,,MBOUCHARD,,Specimens from Nunavut and NT returned as part of LP2001-0126,2014-05-06 15:42:23 UTC,MBOUCHARD,2014-05-07 14:22:52 UTC
3814,1,catalogue,A2013.0046,PUBLIC,,MBOUCHARD,,,2014-05-07 14:38:08 UTC,MBOUCHARD,2014-05-07 14:56:14 UTC
3818,1,catalogue,Luc Brouillet loan,PUBLIC,,MBOUCHARD,,,2014-05-08 09:12:55 UTC,KMADGE,2016-08-11 10:54:07 UTC
3836,1,catalogue,QFA loan return,PUBLIC,,MBOUCHARD,,,2014-05-14 09:17:45 UTC,MBOUCHARD,2014-05-15 15:33:25 UTC
3851,1,catalogue,Sphagnum russowii,PUBLIC,,MBOUCHARD,,,2014-05-21 14:40:31 UTC,MBOUCHARD,2014-05-21 14:40:33 UTC
3868,64,sites,Petawawa Forest,PUBLIC,,MBOUCHARD,,,2014-05-27 16:02:35 UTC,MBOUCHARD,2014-05-27 16:02:42 UTC
3869,64,sites,Albion Road Wetlands,PUBLIC,,MBOUCHARD,,,2014-05-27 16:27:21 UTC,MBOUCHARD,2014-05-27 16:27:27 UTC
3870,1,catalogue,Bells Swamp,PUBLIC,,MBOUCHARD,,,2014-05-28 07:19:07 UTC,MBOUCHARD,2014-05-28 07:19:18 UTC
3871,64,sites,Bell'S Swamp,PUBLIC,,MBOUCHARD,,,2014-05-28 07:19:50 UTC,MBOUCHARD,2014-05-28 07:19:56 UTC
3872,64,sites,Central Research Forest,PUBLIC,,MBOUCHARD,,,2014-05-28 07:30:10 UTC,MBOUCHARD,2014-05-28 07:30:16 UTC
3873,1,catalogue,Central Research Forest,PUBLIC,,MBOUCHARD,,,2014-05-28 07:42:44 UTC,DSHORTHOUSE,2017-02-03 12:42:22 UTC
3877,1,catalogue,CANL 81576 et al,PUBLIC,,MBOUCHARD,,,2014-05-28 11:50:40 UTC,MBOUCHARD,2014-05-28 11:51:06 UTC
3881,1,catalogue,A2013.0077,PUBLIC,,MBOUCHARD,,,2014-05-29 14:36:11 UTC,MBOUCHARD,2014-08-26 13:42:20 UTC
3882,1,catalogue,Hudson Lowlands vascular labels,PUBLIC,,MBOUCHARD,,,2014-05-29 15:03:12 UTC,MBOUCHARD,2014-05-29 15:03:17 UTC
3883,1,catalogue,Hudson missing,PUBLIC,,MBOUCHARD,,,2014-05-29 16:13:59 UTC,MBOUCHARD,2014-05-30 10:36:51 UTC
3885,1,catalogue,Hudson Lowland Duplicate labels,PUBLIC,,MBOUCHARD,,,2014-05-30 10:27:46 UTC,MBOUCHARD,2014-05-30 10:32:05 UTC
