id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
2581,1,catalogue,Senecia aureus type,PUBLIC,,BOTDATA1,,,2010-11-19 11:39:43 UTC,BOTDATA1,2010-11-19 11:40:48 UTC
2583,1,catalogue,Ontario Mosses,PUBLIC,,BOTDATA1,,,2010-11-22 15:17:13 UTC,JDOUBT,2014-02-28 09:32:31 UTC
2584,1,catalogue,A2009.0007,PUBLIC,,BOTDATA1,,,2010-11-24 09:30:54 UTC,BOTDATA1,2010-11-24 09:55:59 UTC
2586,1,catalogue,Windham loan,PUBLIC,,BOTDATA1,,,2010-11-29 11:43:42 UTC,BOTDATA1,2010-11-29 16:14:40 UTC
2595,1,catalogue,salix raupii info,PUBLIC,,BOTDATA1,,,2010-12-09 11:22:49 UTC,BOTDATA1,2010-12-09 11:22:50 UTC
2611,1,catalogue,Tonsberg loan,PUBLIC,,BOTDATA1,,,2011-01-10 12:31:53 UTC,BOTDATA1,2011-01-10 12:40:44 UTC
2612,1,catalogue,Laval loan - Robert Gauthier,PUBLIC,,BOTDATA1,,,2011-01-12 12:58:54 UTC,BOTDATA1,2011-01-12 13:23:38 UTC
2616,1,catalogue,UMO Allium loan,PUBLIC,study by Erica Wheeler,BOTDATA1,University of Missouri,,2011-01-14 09:49:54 UTC,BOTDATA1,2011-01-14 10:36:26 UTC
2618,1,catalogue,McMullin Loan 2,PUBLIC,,BOTDATA1,,,2011-01-17 14:01:28 UTC,BOTDATA1,2011-01-17 14:05:53 UTC
2619,1,catalogue,Leo Bruederle specimens,PUBLIC,,BOTDATA1,,,2011-01-18 09:56:37 UTC,BOTDATA1,2011-01-18 10:34:16 UTC
2622,1,catalogue,CMN CAE loan,PUBLIC,,BOTDATA1,,Canadian Arctic Expedition specimen on loan to the Canadian Museum of Civilization for exhibition,2011-01-20 09:50:24 UTC,BOTDATA1,2011-02-15 09:09:55 UTC
2631,1,catalogue,Diederich loan,PUBLIC,C. Freebury specimens for ident. by Paul Diederich,BOTDATA1,,,2011-01-26 10:44:13 UTC,BOTDATA1,2011-01-26 10:56:57 UTC
2638,1,catalogue,CFIA info request,PUBLIC,,BOTDATA1,,,2011-01-28 09:59:02 UTC,BOTDATA1,2011-02-04 15:26:01 UTC
2647,1,catalogue,MOR loan,PUBLIC,,BOTDATA1,,,2011-02-03 08:25:09 UTC,BOTDATA1,2011-02-03 11:05:29 UTC
2652,1,catalogue,trapas,PUBLIC,,BOTDATA1,,,2011-02-07 13:00:51 UTC,BOTDATA1,2011-02-07 13:00:52 UTC
2656,1,catalogue,Clarkia,PUBLIC,,BOTDATA1,,,2011-02-11 08:08:29 UTC,BOTDATA1,2011-02-11 08:31:26 UTC
2664,1,catalogue,Cyrtomnium loan return,PUBLIC,,BOTDATA1,,,2011-02-22 15:22:00 UTC,BOTDATA1,2011-02-22 15:36:25 UTC
2667,1,catalogue,UA Richard Caners loan,PUBLIC,,BOTDATA1,,,2011-02-24 13:41:11 UTC,BOTDATA1,2011-02-25 12:50:50 UTC
2669,1,catalogue,DAO erodium loan,PUBLIC,,BOTDATA1,,,2011-03-03 08:04:19 UTC,BOTDATA1,2011-03-03 10:16:39 UTC
