site_id,status
CMNFV 026930,missing other number LOC. 23S
CMNFV 026931,missing other number LOC. 23S
CMNFV 026932,missing other number LOC. 23S
CMNFV 026933,missing other number LOC. 23S
CMNFV 026934,missing other number LOC. 23S
CMNFV 026935,missing other number LOC. 23S
CMNFV 026936,missing other number LOC. 23S
CMNFV 026937,missing other number LOC. 23S
CMNFV 026938,missing other number LOC. 23S
CMNFV 026939,missing other number LOC. 23S
CMNFV 026940,missing other number LOC. 23S
CMNFV 026941,missing other number LOC. 23S
CMNFV 026942,missing other number LOC. 23S
CMNFV 026943,missing other number LOC. 23S
CMNFV 026944,missing other number LOC. 23S
CMNFV 026946,missing other number LOC. 23S
CMNFV 026947,missing other number LOC. 23S
CMNFV 026948,missing other number LOC. 23S
CMNFV 026949,missing other number LOC. 23S
CMNFV 026953,missing other number LOC. 23S
CMNFV 026954,missing other number LOC. 23S
CMNFV 019374,missing other number LOC. 14
CMNFV 026945,missing other number LOC. 23S
CMNFV 026956,missing other number LOC. 23S
CMNFV 026957,missing other number LOC. 23S
CMNFV 026958,missing other number LOC. 23S
CMNFV 026959,missing other number LOC. 23S
CMNFV 026994,missing other number LOC. 27W
CMNFV 016418,missing other number LOC. 49W
CMNFV 017037,missing other number LOC. 43
CMNFV 017038,missing other number LOC. 43
CMNFV 017039,missing other number LOC. 43
CMNFV 017040,missing other number LOC. 43
CMNFV 017063,missing other number LOC. 206HH
CMNFV 017064,missing other number LOC. 43 (AREA)
CMNFV 017065,missing other number LOC. 43 (AREA)
CMNFV 017066,missing other number LOC. 43 (AREA)
CMNFV 026990,missing other number LOC. 27W
CMNFV 032178,missing other number LOC. 65-S
CMNFV 032179,missing other number LOC. 65-S
CMNFV 008500,missing other number P-1502
CMNFV 008504,missing other number P-2106
CMNFV 008661,missing other number P-3001
CMNFV 008662,missing other number P-3001
CMNFV 008663,missing other number P-3001
CMNFV 008664,missing other number P-3001
CMNFV 008665,missing other number P-3001
CMNFV 008666,missing other number P-3001
CMNFV 008667,missing other number P-3001
CMNFV 008668,missing other number P-3001
CMNFV 008669,missing other number P-3001
CMNFV 008670,missing other number P-3001
CMNFV 024031,missing other number LOC. 23S
CMNFV 024627,missing other number LOC. 22
CMNFV 024628,missing other number LOC. 22
CMNFV 024629,missing other number LOC. 22
CMNFV 008711,missing other number 5-1928
CMNFV 030691,missing other number P-6122
CMNFV 030692,missing other number P-6122
CMNFV 030693,missing other number P-6122
CMNFV 030694,missing other number P-6122
CMNFV 030695,missing other number P-6122
CMNFV 030696,missing other number P-6122
CMNFV 030697,missing other number P-6122
CMNFV 030698,missing other number P-6122
CMNFV 030699,missing other number P-6122
CMNFV 030700,missing other number P-6122
CMNFV 030701,missing other number P-6122
CMNFV 030702,missing other number P-6122
CMNFV 030703,missing other number P-6122
CMNFV 030704,missing other number P-6122
CMNFV 030705,missing other number P-6122
CMNFV 030706,missing other number P-6122
CMNFV 030712,missing other number P-6122
CMNFV 030713,missing other number P-6122
CMNFV 030714,"missing other number P-6122, NS 378"
CMNFV 030715,missing other number P-6122
CMNFV 030716,missing other number P-6122
CMNFV 030717,missing other number P-6122
CMNFV 030734,missing other number P-6122
CMNFV 030735,"missing other number P-6122, NS 497"
CMNFV 030736,missing other number P-6122
CMNFV 030737,missing other number P-6122
CMNFV 030738,missing other number P-6122
CMNFV 028930,missing other number LOC. 1
CMNFV 028931,missing other number LOC. 2
CMNFV 028932,missing other number LOC. 2
CMNFV 028934,missing other number LOC. 2
CMNFV 028935,missing other number LOC. 2
CMNFV 028936,missing other number LOC. 2
CMNFV 028943,missing other number LOC. 4
CMNFV 028945,missing other number LOC. 4
CMNFV 028944,missing other number LOC. 4
CMNFV 028946,missing other number LOC. 4
CMNFV 028947,missing other number LOC. 4
CMNFV 028948,missing other number LOC. 4
CMNFV 028949,missing other number LOC. 4
CMNFV 028950,missing other number LOC. 4
CMNFV 028951,missing other number LOC. 4
CMNFV 028952,missing other number LOC. 4
CMNFV 028953,missing other number LOC. 4
CMNFV 031934,missing other number LOC. 74
CMNFV 032190,missing other number LOC. 65-S
CMNFV 032191,missing other number LOC. 65-S
CMNFV 032192,missing other number LOC. 65-S
CMNFV 032206,missing other number LOC. 11A
CMNFV 032207,missing other number LOC. 11A
CMNFV 032208,missing other number LOC. 11A
CMNFV 008703,missing other number P-2803
