site_id,status
CMNFV 030636,missing other number P-6122
CMNFV 030637,missing other number P-6122
CMNFV 030638,missing other number P-6122
CMNFV 030639,missing other number P-6122
CMNFV 030640,missing other number P-6122
CMNFV 030641,missing other number P-6122
CMNFV 030642,missing other number P-6122
CMNFV 030643,missing other number P-6122
CMNFV 030644,missing other number P-6122
CMNFV 030645,missing other number P-6122
CMNFV 030646,missing other number P-6122
CMNFV 030647,missing other number P-6122
CMNFV 030648,missing other number P-6122
CMNFV 030649,missing other number P-6122
CMNFV 030650,missing other number P-6122
CMNFV 030658,missing other number P-6122
CMNFV 030659,missing other number P-6122
CMNFV 030660,missing other number P-6122
CMNFV 030661,missing other number P-6122
CMNFV 030677,missing other number P-6122
CMNFV 030678,missing other number P-6122
CMNFV 030679,missing other number P-6122
CMNFV 030680,missing other number P-6122
CMNFV 030681,missing other number P-6122
CMNFV 030682,missing other number P-6122
CMNFV 030683,missing other number P-6122
CMNFV 026386,missing other number LOC. 11?; LOC. 12?
CMNFV 026387,missing other number LOC. 11?; LOC. 12?
CMNFV 026388,missing other number LOC. 11?; LOC. 12?
CMNFV 026389,missing other number LOC. 11?; LOC. 12?
CMNFV 031862,missing other number LOC. 135-136
CMNFV 031863,missing other number LOC. 135-136
CMNFV 008631,missing other number 11-1919
CMNFV 008632,"missing other number P-1602, 9-1919"
CMNFV 008651,missing other number P-3001
CMNFV 008652,missing other number P-3001
CMNFV 008653,missing other number P-3001
CMNFV 008654,missing other number P-3001
CMNFV 008655,missing other number P-3001
CMNFV 008656,missing other number P-3001
CMNFV 008657,missing other number P-3001
CMNFV 008658,missing other number P-3001
CMNFV 008659,missing other number P-3001
CMNFV 008660,missing other number P-3001
CMNFV 064612,missing object CMNFV 64612
CMNFV 034474,missing other number 4325-O
CMNFV 034477,missing other number G.S.C. LOC. 5570
CMNFV 034496,missing other number P-5904
CMNFV 034497,"missing other number P-5904, 9891"
CMNFV 034498,"missing other number P-5904, 9891"
CMNFV 034499,"missing other number P-5904, 9891"
CMNFV 030662,missing other number P-6122
CMNFV 030663,missing other number P-6122
CMNFV 030664,missing other number NS 675; NS 676
CMNFV 030665,missing other number P-6122
CMNFV 030666,missing other number P-6122
CMNFV 030667,missing other number P-6122
CMNFV 030668,missing other number P-6122
CMNFV 030669,missing other number P-6122
CMNFV 030670,missing other number P-6122
CMNFV 030671,missing other number P-6122
CMNFV 030672,missing other number P-6122
CMNFV 030673,missing other number P-6122
CMNFV 030674,missing other number P-6122
CMNFV 030675,missing other number P-6122
CMNFV 030676,missing other number P-6122
CMNFV 030690,missing other number P-6122
CMNFV 030684,missing other number P-6122
CMNFV 030685,missing other number P-6122
CMNFV 030686,missing other number P-6122
CMNFV 030687,missing other number P-6122
CMNFV 030688,missing other number P-6122
CMNFV 030689,missing other number P-6122
CMNFV 045462,missing other number CR-8817
CMNFV 030707,missing other number P-6122
CMNFV 030708,missing other number P-6122
CMNFV 030709,missing other number P-6122
CMNFV 030710,missing other number P-6122
CMNFV 030711,missing other number P-6122
CMNFV 031884,missing other number LOC. 22
CMNFV 045908,missing other number A-239
CMNFV 045909,"missing other number LOC. 11.1, A-323"
CMNFV 045911,"missing other number LOC. 11A; S30-E90, 2887"
CMNFV 045912,missing other number A-419
CMNFV 045913,missing other number 120
CMNFV 045914,"missing other number LOC. 311, 8"
CMNFV 045915,"missing other number LOC. 11A; S25-E85, 1484"
CMNFV 045916,"missing other number LOC. 11A; S30-E80, 2585"
CMNFV 045917,"missing other number LOC. 11A; S35-E105, 3434"
CMNFV 045918,missing other number A-168
CMNFV 045919,missing other number A-7308
CMNFV 045920,"missing other number LOC. 11A; S25-E125, 2779"
CMNFV 045921,"missing other number LOC. 11A; S25-E125, 1763"
CMNFV 045922,"missing other number LOC. 11A; S15-E95, 527"
CMNFV 045923,missing other number 2060
CMNFV 045924,"missing other number LOC. 11A; S25-E90, 1384"
CMNFV 045925,missing other number 212
CMNFV 045926,"missing other number LOC. 11A; S25-E115, 2672"
CMNFV 045927,"missing other number LOC. 11A; S25-E115, 1208"
CMNFV 045968,"missing other number LOC. 11A; S20-E90, 95"
CMNFV 045969,"missing other number LOC. 11A; S25-E80, 1621"
CMNFV 045970,"missing other number LOC. 11A; S35-E120, 4004"
CMNFV 045971,missing other number A-140
CMNFV 045972,missing other number A-103
CMNFV 045973,"missing other number LOC. 11A; S30-E80, 2685"
CMNFV 045974,"missing other number LOC. 11A; S25-E135, 4567"
CMNFV 045975,missing other number A-138
CMNFV 045976,"missing other number LOC. 11A; S30-E80, 2665"
CMNFV 045978,"missing other number LOC. 11A; S30-E80, 2675"
CMNFV 045939,"missing other number LOC. 11A N, A-118"
CMNFV 045940,missing other number 1743
CMNFV 045941,"missing other number LOC. 11A; S20-E70, 550"
CMNFV 045942,"missing other number LOC. 11A; S15-E130, 1101"
CMNFV 045943,"missing other number LOC. 11A; S15-E60, 213"
CMNFV 045944,"missing other number LOC. 11A N, A-115"
CMNFV 045945,missing other number A-420
CMNFV 045946,missing other number 2207
CMNFV 045947,missing other number 1860
CMNFV 045948,missing other number A-257
CMNFV 012035,missing other number P-6618
CMNFV 012036,missing other number P-6618
CMNFV 012039,missing other number P-6618
CMNFV 012040,missing other number P-6618
CMNFV 012042,missing other number P-6618
CMNFV 012043,missing other number P-6618
CMNFV 012046,missing other number P-6618
CMNFV 011593,missing other number 1917-20
CMNFV 011594,missing other number 1937-13
CMNFV 012058,missing other number P-6618
CMNFV 012059,missing other number P-6618
CMNFV 012060,missing other number P-6618
CMNFV 045949,missing other number A-3764
CMNFV 045950,"missing other number LOC. 11A; S30-E80, 2646"
CMNFV 045951,missing other number A-2949
CMNFV 045952,missing other number 1624
CMNFV 045953,missing other number 2659
CMNFV 045954,"missing other number LOC. 311, 13"
CMNFV 045955,missing other number 2668
CMNFV 045956,"missing other number LOC. 11A; S20-E95, 1970"
CMNFV 045957,missing other number A-660
CMNFV 045958,"missing other number LOC. 11A; S20-E95, 1989"
CMNFV 045959,missing other number A-798
CMNFV 045960,"missing other number LOC. 11A; S35-E105, 3459"
CMNFV 045961,"missing other number LOC. 11A; S25-E90, 1387"
CMNFV 045962,missing other number A-388
CMNFV 045963,"missing other number LOC. 11A; S10-E60, 4330"
CMNFV 045964,"missing other number LOC. 11A; S25-E135, 4568"
CMNFV 045965,missing other number A-2953
CMNFV 045966,missing other number 319
CMNFV 045967,missing other number 444
CMNFV 044553,missing other number LOC. 10; 80 PUP
CMNFV 044554,missing other number LOC. 10; 80 PUP
CMNFV 044555,missing other number LOC. 10; 80 PUP
CMNFV 045979,missing other number A-110
CMNFV 045980,missing other number 117
CMNFV 045981,missing other number 6
CMNFV 045982,missing other number 819
CMNFV 045983,"missing other number LOC. 11.1, A-198"
CMNFV 045984,missing other number 1695
CMNFV 045985,missing other number 182
CMNFV 045986,missing other number 1035
CMNFV 045987,missing other number 1700
CMNFV 046012,"missing other number LOC. 11.1, A-309"
CMNFV 046013,"missing other number LOC. 11A; S25-E95, 971"
CMNFV 046014,missing other number 3291
CMNFV 046015,"missing other number LOC. 11A; S25-E80, 1619"
CMNFV 046016,"missing other number LOC. 11A; S30-E80, 2663"
CMNFV 046017,"missing other number LOC. 11A; S35-E130, 194"
CMNFV 046018,"missing other number LOC. 11A; S25-E120, 833"
CMNFV 046019,"missing other number LOC. 11A; S35-E120, 3551"
CMNFV 046020,missing other number A-225
CMNFV 046021,missing other number 1742
CMNFV 012095,missing other number GSC-64443
CMNFV 012096,missing other number 4254
CMNFV 012099,missing other number P-6618
CMNFV 012101,missing other number P-6618
CMNFV 012061,missing other number P-6618
CMNFV 012178,missing other number P-6618
CMNFV 012062,missing other number P-6701
CMNFV 012064,missing other number P-6618
CMNFV 012065,missing other number P-6618
CMNFV 012066,missing other number P-6618
CMNFV 012067,missing other number P-6618
CMNFV 012106,missing other number P-6618
CMNFV 012111,missing other number P-6618
CMNFV 012113,missing other number P-6618
CMNFV 012114,missing other number P-6618
CMNFV 012115,missing other number P-6618
CMNFV 012116,missing other number P-6618
CMNFV 012118,missing other number P-6618
CMNFV 012119,missing other number P-6618
CMNFV 044556,missing other number LOC. 10; 80 PUP
CMNFV 044557,missing other number LOC. 10; 80 PUP
CMNFV 044558,missing other number LOC. 10; 80 PUP
CMNFV 045989,missing other number 1244
CMNFV 045990,"missing other number LOC. 11A; S35-E135, 3859"
CMNFV 045991,missing other number 1968
CMNFV 045992,missing other number 80
CMNFV 045993,missing other number A-2672
CMNFV 045994,missing other number 3833
CMNFV 045995,missing other number 2986
CMNFV 045996,missing other number 3285
CMNFV 045997,missing other number 19730000
CMNFV 045998,missing other number 1503
CMNFV 045999,missing other number A404
CMNFV 046000,missing other number 316
CMNFV 046001,"missing other number LOC. 11.1, A-157"
CMNFV 046002,missing other number 4236
CMNFV 046003,missing other number A-9
CMNFV 046004,missing other number 2267
CMNFV 046005,missing other number A-3795
CMNFV 046006,missing other number A-467
CMNFV 046007,"missing other number LOC. 11A; S35-E130, 3735"
CMNFV 046008,missing other number LOC. 11A; S25-E85
CMNFV 046009,missing other number A-101
CMNFV 046010,"missing other number LOC. 11A; S25-E95, 976"
CMNFV 046022,"missing other number LOC. 11A; S30-E140, 3713"
CMNFV 046023,missing other number A-201
CMNFV 046024,"missing other number LOC. 11A; S35-E125, 3869"
CMNFV 046025,missing other number 2171
CMNFV 046026,missing other number A-530
CMNFV 046027,"missing other number LOC. 11.1, A-812"
CMNFV 046028,"missing other number LOC. 11A; S25-E105, 3896"
CMNFV 046048,missing other number 8235
CMNFV 046049,missing other number A-908
CMNFV 046050,"missing other number LOC. 11.1, A-215"
CMNFV 046051,"missing other number LOC. 11A; S30-E105, 3367"
CMNFV 046052,"missing other number LOC. 11A; S20-E75, 1401"
CMNFV 046053,missing other number A-421
CMNFV 046054,missing other number A-226
CMNFV 046055,missing other number A-76
CMNFV 046056,missing other number A-1444
CMNFV 046057,"missing other number LOC. 11A; S15-E65, 282"
CMNFV 046058,missing other number LOC. 11.1
CMNFV 014296,missing other number LOC. 14N
CMNFV 012104,missing other number P-6618
CMNFV 012105,missing other number P-6618
CMNFV 012121,missing other number P-6618
CMNFV 012123,missing other number P-6618
CMNFV 012124,missing other number P-6618
CMNFV 012125,missing other number P-6618
CMNFV 012126,missing other number P-6618
CMNFV 012129,missing other number P-6618
CMNFV 012131,missing other number P-6618
CMNFV 012136,missing other number P-6618
CMNFV 012139,missing other number P-6618
CMNFV 012142,missing other number P-6618
CMNFV 012144,missing other number P-6618
CMNFV 012145,missing other number P-6618
CMNFV 012148,missing other number P-6618
CMNFV 012149,missing other number P-6618
CMNFV 044559,missing other number LOC. 10; 80 PUP
CMNFV 044560,missing other number LOC. 10; 80 PUP
CMNFV 044561,missing other number LOC. 10; 80 PUP
CMNFV 044562,missing other number LOC. 10; 80 PUP
CMNFV 044563,missing other number LOC. 10; 80 PUP
CMNFV 044564,missing other number LOC. 10; 80 PUP
CMNFV 044565,missing other number LOC. 10; 80 PUP
CMNFV 044566,missing other number LOC. 10; 80 PUP
CMNFV 044567,missing other number LOC. 10; 80 PUP
CMNFV 044568,missing other number LOC. 10; 80 PUP
CMNFV 044569,missing other number LOC. 10; 80 PUP
CMNFV 044570,missing other number LOC. 10; 80 PUP
CMNFV 044571,missing other number LOC. 10; 80 PUP
CMNFV 044575,missing other number LOC. 10; 80 PUP
CMNFV 046029,missing other number A-64
CMNFV 046031,"missing other number LOC. 11A N, A-191"
CMNFV 046032,"missing other number LOC. 11A; S15-E110, 815"
CMNFV 046033,"missing other number LOC. 11A; S20-E95, 1993"
CMNFV 046034,missing other number 2118
CMNFV 046035,"missing other number LOC. 11A; S30-E80, 2544"
CMNFV 046036,"missing other number LOC. 11A; S25-E140, 2074"
CMNFV 046037,missing other number A-3068
CMNFV 046038,"missing other number LOC. 11A; S25-E105, 3880"
CMNFV 046039,"missing other number LOC. 11A; S25-E90, 1378"
CMNFV 046040,missing other number A-1843
CMNFV 046041,missing other number MISC. 25
CMNFV 046042,missing other number A-397
CMNFV 046043,missing other number A-553
CMNFV 046044,missing other number A-1946
CMNFV 046045,"missing other number LOC. 11A; S30-E125, 3684"
CMNFV 046046,missing other number A-758
CMNFV 046047,"missing other number LOC. 11A; S35-E130, 3706"
CMNFV 046059,missing other number A-389
CMNFV 046060,missing other number A-1844
CMNFV 046061,missing other number A-1135
CMNFV 046062,missing other number A-423
CMNFV 046063,missing other number A-2827
CMNFV 046064,"missing other number LOC. 11A N, A-42"
CMNFV 046066,missing other number 206
CMNFV 046067,"missing other number LOC. 11A; S25-E100, 3850"
CMNFV 046068,"missing other number LOC. 11A; S25-E75, 2288"
CMNFV 046088,"missing other number LOC. 11A N, A-189"
CMNFV 046089,missing other number A-3931
CMNFV 046090,"missing other number LOC. 11A; S20-E90, 92"
CMNFV 046091,missing other number A-7755
CMNFV 046092,"missing other number LOC. 11A; S35-E110, 3500"
CMNFV 046093,missing other number A-244
CMNFV 046094,missing other number A-228
CMNFV 046095,missing other number A-1753
CMNFV 046096,missing other number A-3756
CMNFV 046097,missing other number A-380
CMNFV 046098,"missing other number LOC. 11A; S15-E120, 995"
CMNFV 014938,missing other number CAMP 3
CMNFV 014939,missing other number CAMP 3
CMNFV 014940,missing other number CAMP 3
CMNFV 012132,missing other number P-6618
CMNFV 012133,missing other number P-6618
CMNFV 012135,missing other number P-6618
CMNFV 012152,missing other number P-6618
CMNFV 012153,missing other number P-6618
CMNFV 012154,missing other number P-6618
CMNFV 012159,missing other number P-6618
CMNFV 012160,missing other number P-6618
CMNFV 012169,missing other number P-6618
CMNFV 012171,missing other number P-6618
CMNFV 012172,missing other number P-6618
CMNFV 012174,missing other number P-6618
CMNFV 012175,missing other number P-6618
CMNFV 012177,missing other number P-6618
CMNFV 012180,missing other number P-6618
CMNFV 046069,missing other number A-1523
CMNFV 046070,"missing other number LOC. 11A; S25-E100, 3847"
CMNFV 046071,missing other number A-1332
CMNFV 046072,"missing other number LOC. 11A; S25-E90, 1388"
CMNFV 046073,missing other number A-41
CMNFV 046074,missing other number A-547
CMNFV 046075,missing other number A-1823
CMNFV 046076,"missing other number LOC. 311, 14"
CMNFV 046077,missing other number A-503
CMNFV 046078,"missing other number LOC. 11.1, A-370"
CMNFV 046079,missing other number A-678
CMNFV 046080,missing other number A-575
CMNFV 046081,missing other number A-3192
CMNFV 046082,missing other number A-7923
CMNFV 046083,missing other number A-476
CMNFV 046084,missing other number A-64
CMNFV 046085,"missing other number LOC. 11A; S25-E125, 2733"
CMNFV 046087,"missing other number LOC. 11A; S20-E90, 151"
CMNFV 046099,"missing other number LOC. 11A; S25-E125, 2778"
CMNFV 046100,missing other number A-341
CMNFV 046101,missing other number 2346
CMNFV 046102,missing other number A-3770
CMNFV 046103,missing other number A-2906
CMNFV 046105,missing other number A-3755
CMNFV 046106,missing other number A-1605
CMNFV 046107,missing other number A-3771
CMNFV 046108,missing other number A-3759
CMNFV 012164,missing other number P-6618
CMNFV 012166,missing other number P-6618
CMNFV 011705,missing other number P-6623; DA LOC. 02
CMNFV 012186,missing other number P-6618
CMNFV 012190,missing other number P-6618
CMNFV 012192,missing other number P-6618
CMNFV 012193,missing other number P-6618
CMNFV 012201,missing other number P-6618
CMNFV 012203,missing other number P-6618
CMNFV 012204,missing other number P-6618
CMNFV 012207,missing other number P-6618
CMNFV 012209,missing other number CB-09; CB-10
CMNFV 012210,missing other number P-6618
CMNFV 012211,missing other number P-6618
CMNFV 012212,missing other number P-6618
CMNFV 046109,missing other number A-2889
CMNFV 046110,missing other number A-1096
CMNFV 046111,"missing other number LOC. 11A; S25-E105, 3893"
CMNFV 046112,"missing other number LOC. 11A; S25-E115, 1202"
CMNFV 046113,missing other number A-563
CMNFV 046114,missing other number A-2709
CMNFV 046115,missing other number 168
CMNFV 046116,missing other number 691
CMNFV 014368,missing other number LOC. 19W
CMNFV 014369,missing other number LOC. 19W
CMNFV 012195,missing other number P-6618
CMNFV 012196,missing other number P-6618
CMNFV 012215,missing other number P-6618
CMNFV 012217,missing other number P-6122
CMNFV 012218,missing other number P-6618
CMNFV 012219,missing other number P-6618
CMNFV 012220,missing other number P-6122
CMNFV 012221,missing other number P-6122
CMNFV 012222,missing other number P-6122
CMNFV 012223,missing other number P-6618
CMNFV 046613,missing other number LOC.62
CMNFV 046615,missing other number LOC.62
CMNFV 046618,missing other number LOC.62
CMNFV 046626,missing other number LOC.3
CMNFV 046627,missing other number LOC.3
CMNFV 046628,missing other number LOC.3
CMNFV 044686,missing other number LOC. 3
CMNFV 012224,missing other number 1919-5
CMNFV 012228,"missing other number P-2401, 1924-1"
CMNFV 012229,missing other number 1921-7
CMNFV 046629,missing other number LOC.3
CMNFV 046630,missing other number LOC.3
CMNFV 046631,missing other number LOC.3
CMNFV 046632,missing other number LOC.3
CMNFV 046633,missing other number LOC.3
CMNFV 046634,missing other number LOC.3
CMNFV 046635,missing other number LOC.3
CMNFV 046636,missing other number LOC.3
CMNFV 046649,missing other number LOC.3
CMNFV 046650,missing other number LOC.3
CMNFV 046651,missing other number LOC.3
CMNFV 046366,missing other number LOC. 51; 24 PUP
CMNFV 046367,missing other number LOC. 51; 24 PUP
CMNFV 046637,missing other number LOC.3
CMNFV 046638,missing other number LOC.3
CMNFV 046639,missing other number LOC.3
CMNFV 046640,missing other number LOC.3
CMNFV 046641,missing other number LOC.3
CMNFV 046642,missing other number LOC.3
CMNFV 046643,missing other number LOC.3
CMNFV 046644,missing other number LOC.3
CMNFV 046646,missing other number LOC.3
CMNFV 046647,missing other number LOC.3
CMNFV 046648,missing other number LOC.3
CMNFV 044806,missing object CMNFV 44806
CMNFV 044807,missing object CMNFV 44807
CMNFV 044808,missing object CMNFV 44808
CMNFV 044809,missing object CMNFV 44809
CMNFV 044802,missing other number LOC. 10; 80 PUP
CMNFV 045692,missing other number 15-78-A-31
CMNFV 045694,missing other number 11A-76-1576
CMNFV 045695,missing other number 11A-76-3029
CMNFV 045696,missing other number 11A-78-36
CMNFV 045697,missing other number 11A-77-935
CMNFV 001423,missing other number LOC. 22
CMNFV 011835,missing other number WL-229
CMNFV 011836,missing other number WL-220
CMNFV 011839,missing other number 26-E
CMNFV 011840,missing other number WL-232
CMNFV 011843,missing other number 2MK; 44/66
CMNFV 011844,missing other number P-6618
CMNFV 011847,missing other number P-6618
CMNFV 011845,missing other number P-6122
CMNFV 011846,missing other number P-6122
CMNFV 011848,missing other number P-6618
CMNFV 011849,missing other number P-6618
CMNFV 011850,missing other number P-6618
CMNFV 011851,missing other number P-6618
CMNFV 011852,missing other number P-6618
CMNFV 046393,missing other number LOC. 11-1
CMNFV 011878,missing other number P-6618
CMNFV 011883,missing other number P-6618
CMNFV 011884,missing other number P-6618
CMNFV 011885,missing other number P-6618
CMNFV 011886,missing other number P-6618
CMNFV 011887,missing other number P-6618
CMNFV 011888,missing other number P-6618
CMNFV 011890,missing other number P-6618
CMNFV 045727,missing other number 442
CMNFV 045728,missing other number A-254
CMNFV 045729,"missing other number LOC. 11A; S25-E70, 2386"
CMNFV 045730,"missing other number LOC. 11A; S30-E100, 3090"
CMNFV 045731,missing other number 125
CMNFV 045732,"missing other number LOC. 11A; S35-E135, 3861"
CMNFV 045733,"missing other number LOC. 11A; S35-E115, 3702"
CMNFV 045734,"missing other number LOC. 11A; S20-E95, 1953"
CMNFV 045735,"missing other number LOC. 11A; S25-E65, 2265"
CMNFV 045736,missing other number 400
CMNFV 045737,"missing other number LOC. 11A; S26-E65, 2138"
CMNFV 045738,missing other number A-255
CMNFV 045739,missing other number A-394
CMNFV 045740,missing other number A-2030
CMNFV 045741,missing other number A-74
CMNFV 045743,"missing other number LOC. 11A; S25-E110, 2614"
CMNFV 045744,missing other number 1467
CMNFV 045745,missing other number 217
CMNFV 045698,missing other number 11A-77-618
CMNFV 045699,missing other number 11A-76-2569
CMNFV 045701,missing other number 11A-78-132
CMNFV 045702,missing other number 11A-75-3695
CMNFV 045703,missing other number 11A-76-2888
CMNFV 045704,missing other number 11A-76-2477
CMNFV 045705,"missing other number LOC. 11A, 11A-75-1-266"
CMNFV 045706,missing other number 11A-75-9013
CMNFV 045707,missing other number 11A-76-4200
CMNFV 011891,missing other number P-6618
CMNFV 001892,missing other number P-6618
CMNFV 011893,missing other number P-6618
CMNFV 011900,missing other number P-6618
CMNFV 011853,missing other number P-6618
CMNFV 011854,missing other number P-6618
CMNFV 011855,missing other number P-6618
CMNFV 011856,missing other number P-6618
CMNFV 011857,missing other number P-6122
CMNFV 011858,missing other number P-6618
CMNFV 011859,missing other number P-6618
CMNFV 011860,missing other number P-6618
CMNFV 011861,missing other number P-6122
CMNFV 011862,missing other number P-6122
CMNFV 011863,missing other number P-5805
CMNFV 011864,missing other number P-5907
CMNFV 011865,missing other number P-6618
CMNFV 011866,missing other number P-6618
CMNFV 011867,missing other number P-6618
CMNFV 011868,missing other number P-5907
CMNFV 011869,missing other number P-6618
CMNFV 011870,missing other number P-6618
CMNFV 011871,missing other number P-6618
CMNFV 011872,missing other number P-5907
CMNFV 011876,missing other number P-6618
CMNFV 011877,missing other number P-6618
CMNFV 046433,missing other number LOC. 3
CMNFV 045746,missing other number 1526
CMNFV 045747,missing other number 4164
CMNFV 011901,missing other number P-6618
CMNFV 011902,missing other number P-6618
CMNFV 011903,missing other number P-6618
CMNFV 011904,missing other number P-6618
CMNFV 011907,missing other number P-6618
CMNFV 045768,missing other number 1206
CMNFV 045769,missing other number 4152
CMNFV 045770,missing other number 2165
CMNFV 045771,missing other number 2349
CMNFV 045772,missing other number 23
CMNFV 045773,missing other number A-41
CMNFV 045774,missing other number A-221
CMNFV 045775,missing other number 3231
CMNFV 045776,missing other number 493
CMNFV 045777,missing other number 903
CMNFV 045778,missing other number 2370
CMNFV 045779,missing other number 2070
CMNFV 045708,missing other number 9432
CMNFV 045709,"missing other number LOC. 11A; S25-E70, 3124"
CMNFV 045717,missing other number 3715
CMNFV 045718,"missing other number LOC. 11A(1), 3"
CMNFV 045719,missing other number 1745
CMNFV 045720,missing other number 1743
CMNFV 045721,missing other number 3688
CMNFV 045722,missing other number 3171
CMNFV 045723,missing other number A-109
CMNFV 045724,missing other number 238
CMNFV 045725,missing other number 219
CMNFV 045726,missing other number 1213
CMNFV 014018,missing other number LOC. 1-2
CMNFV 014019,missing other number LOC. 1-2
CMNFV 014659,missing other number LOC. 25
CMNFV 044308,missing other number CR-87-27
CMNFV 045748,missing other number 138
CMNFV 045749,missing other number A-11
CMNFV 045750,missing other number A-50
CMNFV 045751,missing other number A-2789
CMNFV 045752,missing other number 1776
CMNFV 045753,missing other number A-1307
CMNFV 045754,missing other number A-1527
CMNFV 045755,missing other number 4300
CMNFV 045756,missing other number 79
CMNFV 045757,missing other number 288
CMNFV 045758,missing other number 1268
CMNFV 045759,missing other number A-199
CMNFV 045760,missing other number 3359
CMNFV 045761,missing other number 716
CMNFV 045762,missing other number 4850
CMNFV 045763,missing other number A-637
CMNFV 045765,missing other number 420
CMNFV 045766,missing other number 3407
CMNFV 045767,missing other number 4073
CMNFV 045780,missing other number 79
CMNFV 045781,missing other number 1736
CMNFV 045782,missing other number 1876
CMNFV 045783,missing other number 2815
CMNFV 045784,missing other number 1966
CMNFV 045785,missing other number 1671
CMNFV 045786,missing other number 3771
CMNFV 045787,"missing other number LOC. 11A N, A-45"
CMNFV 046368,missing other number LOC. 51; 24 PUP
CMNFV 014016,missing other number LOC. 1-2
CMNFV 014017,missing other number LOC. 1-2
CMNFV 045809,"missing other number LOC. 11A N, A-121"
CMNFV 045810,missing other number A-1681
CMNFV 045811,missing other number A-1497
CMNFV 045812,missing other number A-1872
CMNFV 045813,missing other number A-2991
CMNFV 045814,missing other number A-3190
CMNFV 045815,missing other number A-1493
CMNFV 045816,missing other number 2
CMNFV 045817,missing other number 83
CMNFV 045818,missing other number 450
CMNFV 045819,missing other number 2562
CMNFV 011941,missing other number P-6618
CMNFV 011959,missing other number P-6618
CMNFV 011960,missing other number P-6618
CMNFV 011961,missing other number P-6618
CMNFV 011962,missing other number P-6618
CMNFV 011964,missing other number P-6618
CMNFV 011967,missing other number P-6618
CMNFV 011969,missing other number P-6618
CMNFV 011970,missing other number P-6618
CMNFV 044372,missing other number LOC. 10; 80 PUP
CMNFV 044373,missing other number LOC. 10; 80 PUP
CMNFV 045788,"missing other number LOC. 11A N, A-174"
CMNFV 045789,missing other number A-841
CMNFV 045790,"missing other number LOC. 11A N, A-141"
CMNFV 045791,missing other number 447
CMNFV 045792,missing other number A-270
CMNFV 045793,missing other number 62
CMNFV 045794,missing other number 5
CMNFV 045795,missing other number 208
CMNFV 045796,missing other number MISC.22
CMNFV 045797,"missing other number LOC. 11A N, A-130"
CMNFV 045798,"missing other number LOC. 11A N, A-158"
CMNFV 045799,missing other number A-228
CMNFV 045800,missing other number 3683
CMNFV 045801,missing other number 3693
CMNFV 045802,missing other number 1737
CMNFV 045803,missing other number 80
CMNFV 045804,missing other number 2050
CMNFV 045805,missing other number 3555
CMNFV 045806,missing other number 3580
CMNFV 045807,missing other number 9639
CMNFV 045808,missing other number 2686
CMNFV 044395,missing other number LOC. 10; 80 PUP
CMNFV 044396,missing other number LOC. 10; 80 PUP
CMNFV 044397,missing other number LOC. 10; 80 PUP
CMNFV 044398,missing other number LOC. 10; 80 PUP
CMNFV 044399,missing other number LOC. 10; 80 PUP
CMNFV 044400,missing other number LOC. 10; 80 PUP
CMNFV 044402,missing other number LOC. 10; 80 PUP
CMNFV 044403,missing other number LOC. 10; 80 PUP
CMNFV 045821,missing other number 2983
CMNFV 045822,missing other number 1988
CMNFV 045823,missing other number 1649
CMNFV 045824,missing other number 17
CMNFV 045825,missing other number 699
CMNFV 045826,missing other number 1906
CMNFV 045827,missing other number 449
CMNFV 045850,missing other number A-356; A-418
CMNFV 045851,"missing other number LOC. 11A; S25-E130, 1488"
CMNFV 045852,missing other number A-529
CMNFV 045853,missing other number 2061
CMNFV 045854,missing other number A-256
CMNFV 045855,missing other number A-2003
CMNFV 045856,"missing other number LOC. 11A; S25-E110, 429"
CMNFV 045857,"missing other number LOC. 11A; S20-E85, 1468"
CMNFV 045858,"missing other number LOC. 11A; S35-E130, 3704"
CMNFV 045859,missing other number 31
CMNFV 045860,missing other number 11A-77-3521
CMNFV 011946,missing other number P-6618
CMNFV 011949,missing other number P-6618
CMNFV 011950,missing other number P-6618
CMNFV 011951,missing other number P-6618
