emu_module,emu_column,type,kind,lookup_parent,lookup_name,lookup_level,reference_module,reference_column,reference_link,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDateReceivedLower,dtDate,dkAtom,,,,,,,Earliest date in a range of circa dates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDateReceivedLowerOrig,dtInteger,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDateReceivedUpper,dtDate,dkAtom,,,,,,,Latest date in a range of circa dates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDateReceivedUpperOrig,dtInteger,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDeedOfGift,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDeedOfGiftPurchaseAgreement,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDescriptionOfOtherMaterials,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDescriptionOfRationale,dtText,dkAtom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDetailedObjectList,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDocumentingNaturalDiversity,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDocumentingResearch,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaccessionlots,AcqDrawings,dtText,dkAtom,,YesNo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
